Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
170280,Brunyola i Sant Martí Sapresa,27,126,43,31,103,45,58,229,88,
430350,Cabacés,21,107,38,25,88,47,46,195,85,
250609,Cabanabona,2,25,9,2,21,18,4,46,27,
170314,Cabanelles,24,94,28,21,59,31,45,153,59,
170307,Cabanes,74,320,100,61,262,98,135,582,198,
080272,"Cabanyes, les",106,321,56,88,304,68,194,625,124,
250616,Cabó,3,31,14,5,25,14,8,56,28,
430363,Cabra del Camp,93,379,109,75,350,107,168,729,216,
080288,Cabrera d'Anoia,123,491,98,102,434,103,225,925,201,
080291,Cabrera de Mar,387,1568,344,349,1527,378,736,3095,722,
080305,Cabrils,679,2457,467,678,2527,479,1357,4984,946,
170329,Cadaqués,219,947,213,220,964,274,439,1911,487,
080312,Calaf,279,1156,317,275,1012,385,554,2168,702,
430379,Calafell,1999,8090,2103,1781,7927,2389,3780,16017,4492,
080348,Calders,69,347,78,79,287,93,148,634,171,
080327,Caldes d'Estrac,206,904,231,207,894,324,413,1798,555,
170335,Caldes de Malavella,641,2426,544,619,2346,644,1260,4772,1188,
080333,Caldes de Montbui,1479,5768,1276,1360,5535,1719,2839,11303,2995,
080351,Calella,1371,6099,1509,1303,5873,2162,2674,11972,3671,
080370,Calldetenes,197,867,169,187,795,203,384,1662,372,
080386,Callús,192,673,143,187,640,222,379,1313,365,
080364,Calonge de Segarra,11,62,23,9,51,35,20,113,58,
170340,Calonge i Sant Antoni,858,3533,977,747,3513,1081,1605,7046,2058,
250621,Camarasa,50,285,113,38,250,143,88,535,256,
439039,Camarles,274,1077,356,230,980,432,504,2057,788,
430385,Cambrils,3019,11025,2273,2958,11230,2768,5977,22255,5041,
170353,Camós,55,213,72,46,204,93,101,417,165,
170366,Campdevànol,242,1016,372,201,978,505,443,1994,877,
170372,Campelles,5,47,18,9,43,15,14,90,33,
080399,Campins,32,183,31,36,150,38,68,333,69,
170388,Campllong,55,177,26,62,164,32,117,341,58,
170391,Camprodon,134,710,253,137,655,332,271,1365,585,
250637,Canejan,0,37,17,5,29,9,5,66,26,
170405,Canet d'Adri,66,230,57,55,220,74,121,450,131,
080403,Canet de Mar,1197,4515,1224,1115,4544,1689,2312,9059,2913,
439076,"Canonja, la",506,2006,374,535,1956,469,1041,3962,843,
080410,Canovelles,1545,5625,1080,1436,4990,1261,2981,10615,2341,
080425,Cànoves i Samalús,231,985,236,250,909,262,481,1894,498,
170412,Cantallops,22,103,35,22,93,42,44,196,77,
080431,Canyelles,408,1545,293,413,1443,305,821,2988,598,
430398,Capafonts,3,38,17,6,33,15,9,71,32,
430402,Capçanes,16,117,59,24,119,57,40,236,116,
080446,Capellades,412,1701,459,398,1633,624,810,3334,1083,
170427,Capmany,43,193,70,46,164,80,89,357,150,
080459,Capolat,10,27,8,10,29,9,20,56,17,
080462,Cardedeu,1773,6008,1177,1636,6042,1522,3409,12050,2699,
080478,Cardona,294,1548,509,305,1391,728,599,2939,1237,
080484,Carme,70,261,80,55,237,88,125,498,168,
430419,Caseres,7,76,44,12,71,43,19,147,87,
170448,Cassà de la Selva,866,3557,678,850,3116,958,1716,6673,1636,
080497,Casserres,93,485,182,82,469,217,175,954,399,
080575,Castell de l'Areny,5,25,10,1,25,3,6,50,13,
259046,Castell de Mur,7,63,24,7,46,28,14,109,52,
250642,Castellar de la Ribera,14,37,20,14,38,19,28,75,39,
080522,Castellar de n'Hug,5,63,15,6,46,22,11,109,37,
080500,Castellar del Riu,17,59,21,11,51,17,28,110,38,
080517,Castellar del Vallès,2199,7878,1562,2021,7967,2006,4220,15845,3568,
080538,Castellbell i el Vilar,293,1207,320,307,1083,374,600,2290,694,
080543,Castellbisbal,1260,4229,717,1178,4067,826,2438,8296,1543,
080556,Castellcir,60,258,49,72,229,58,132,487,107,
250674,Castelldans,55,363,106,53,267,114,108,630,220,
080569,Castelldefels,5801,22260,3973,5374,22409,5075,11175,44669,9048,
080581,Castellet i la Gornal,158,736,210,164,695,230,322,1431,440,
170464,Castellfollit de la Roca,83,303,108,62,281,133,145,584,241,
080608,Castellfollit de Riubregós,9,66,21,5,42,22,14,108,43,
080594,Castellfollit del Boix,42,146,37,35,144,44,77,290,81,
080615,Castellgalí,190,682,167,174,619,163,364,1301,330,
080620,Castellnou de Bages,121,435,91,143,411,86,264,846,177,
250680,Castellnou de Seana,50,257,86,45,193,105,95,450,191,
