Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
430363,Cabra del Camp,89,355,93,62,335,77,151,690,170
080288,Cabrera d'Anoia,106,454,68,98,399,67,204,853,135
080291,Cabrera de Mar,392,1541,252,347,1452,285,739,2993,537
080305,Cabrils,728,2272,296,746,2319,337,1474,4591,633
170329,Cadaqués,226,984,174,213,978,231,439,1962,405
080312,Calaf,228,1301,280,242,1034,350,470,2335,630
430379,Calafell,1634,8133,1387,1503,7667,1547,3137,15800,2934
080348,Calders,65,298,80,72,271,82,137,569,162
080327,Caldes d'Estrac,192,923,179,173,911,294,365,1834,473
170335,Caldes de Malavella,524,2100,404,513,2029,497,1037,4129,901
080333,Caldes de Montbui,1374,5718,1016,1211,5457,1383,2585,11175,2399
080351,Calella,1312,6498,1176,1260,6062,1726,2572,12560,2902
080370,Calldetenes,172,850,138,170,751,171,342,1601,309
080386,Callús,129,527,128,115,522,189,244,1049,317
080364,Calonge de Segarra,19,59,28,8,59,32,27,118,60
170340,Calonge i Sant Antoni,743,3608,749,730,3372,807,1473,6980,1556
250621,Camarasa,42,319,125,29,268,150,71,587,275
439039,Camarles,237,1230,329,238,1063,382,475,2293,711
430385,Cambrils,2421,10537,1550,2406,10273,1925,4827,20810,3475
170353,Camós,49,236,66,40,224,83,89,460,149
170366,Campdevànol,234,1171,378,180,1086,470,414,2257,848
170372,Campelles,2,44,12,4,39,10,6,83,22
080399,Campins,29,139,24,38,125,23,67,264,47
170388,Campllong,40,127,34,40,123,36,80,250,70
170391,Camprodon,144,848,254,160,785,325,304,1633,579
250637,Canejan,1,37,17,5,27,17,6,64,34
170405,Canet d'Adri,35,234,43,30,195,62,65,429,105
080403,Canet de Mar,1008,4592,910,914,4438,1319,1922,9030,2229
080410,Canovelles,1318,6144,839,1189,5194,1020,2507,11338,1859
080425,Cànoves i Samalús,217,969,175,238,851,188,455,1820,363
170412,Cantallops,16,99,36,11,92,41,27,191,77
080431,Canyelles,372,1410,181,344,1294,182,716,2704,363
430398,Capafonts,0,44,20,5,34,19,5,78,39
430402,Capçanes,20,134,43,18,128,58,38,262,101
080446,Capellades,420,1826,417,381,1791,551,801,3617,968
170427,Capmany,26,184,60,31,154,63,57,338,123
080459,Capolat,2,31,8,7,20,13,9,51,21
080462,Cardedeu,1484,5523,825,1322,5467,1154,2806,10990,1979
080478,Cardona,292,1734,506,294,1586,752,586,3320,1258
080484,Carme,59,289,77,45,243,98,104,532,175
430419,Caseres,16,85,49,16,87,54,32,172,103
170448,Cassà de la Selva,744,3211,667,681,2801,890,1425,6012,1557
080497,Casserres,87,519,176,71,507,239,158,1026,415
080575,Castell de l'Areny,5,31,10,6,18,6,11,49,16
259046,Castell de Mur,12,54,29,14,49,27,26,103,56
250642,Castellar de la Ribera,13,45,23,14,46,24,27,91,47
080522,Castellar de n'Hug,11,84,14,11,76,25,22,160,39
080500,Castellar del Riu,10,49,17,13,43,11,23,92,28
080517,Castellar del Vallès,2089,7805,1123,1921,7557,1512,4010,15362,2635
080538,Castellbell i el Vilar,239,1274,261,246,1114,345,485,2388,606
080543,Castellbisbal,1205,4186,540,1096,3899,614,2301,8085,1154
080556,Castellcir,55,210,38,54,171,56,109,381,94
250674,Castelldans,47,390,115,50,272,128,97,662,243
080569,Castelldefels,5064,21811,2657,4849,21125,3449,9913,42936,6106
080581,Castellet i la Gornal,175,719,163,161,649,177,336,1368,340
170464,Castellfollit de la Roca,65,346,105,53,288,140,118,634,245
080608,Castellfollit de Riubregós,8,73,20,6,57,30,14,130,50
080594,Castellfollit del Boix,35,132,36,33,130,52,68,262,88
080615,Castellgalí,159,583,108,133,510,118,292,1093,226
080620,Castellnou de Bages,82,348,44,87,302,44,169,650,88
250680,Castellnou de Seana,46,248,98,36,214,108,82,462,206
170470,Castelló d'Empúries,845,3864,767,824,3508,821,1669,7372,1588
250693,Castelló de Farfanya,23,204,76,26,166,84,49,370,160
080636,Castellolí,29,159,34,47,153,46,76,312,80
170486,Castell-Platja d'Aro,660,3690,638,643,3459,676,1303,7149,1314
250707,Castellserà,52,370,149,64,321,162,116,691,311
080641,Castellterçol,153,746,204,167,696,272,320,1442,476
430424,Castellvell del Camp,255,888,113,245,850,123,500,1738,236
080654,Castellví de la Marca,123,537,132,125,497,182,248,1034,314
080667,Castellví de Rosanes,139,567,93,165,519,93,304,1086,186
430430,"Catllar, el",340,1408,201,283,1319,200,623,2727,401
250714,Cava,0,23,10,1,15,6,1,38,16
171899,"Cellera de Ter, la",168,729,177,150,654,246,318,1383,423
170499,Celrà,378,1388,186,409,1347,239,787,2735,425
080673,Centelles,517,2374,490,483,2315,730,1000,4689,1220
082687,Cercs,77,446,155,54,400,199,131,846,354
082665,Cerdanyola del Vallès,4448,21045,3071,4308,20922,3964,8756,41967,7035
080689,Cervelló,644,3017,390,602,2795,496,1246,5812,886
250729,Cervera,778,3290,616,731,2854,824,1509,6144,1440
250735,Cervià de les Garrigues,44,284,124,42,241,130,86,525,254
170502,Cervià de Ter,75,268,79,73,264,91,148,532,170
170519,Cistella,8,87,32,16,73,26,24,160,58
250740,Ciutadilla,20,77,32,6,62,30,26,139,62
250753,Clariana de Cardener,11,61,7,12,47,9,23,108,16
250766,"Cogul, el",5,78,36,9,57,29,14,135,65
170545,Colera,28,205,69,26,188,76,54,393,145
250772,Coll de Nargó,33,225,75,27,182,84,60,407,159
080692,Collbató,433,1378,154,359,1272,184,792,2650,338
430458,Colldejou,4,82,17,8,60,16,12,142,33
080706,Collsuspina,31,118,24,24,105,21,55,223,45
170558,Colomers,11,63,28,5,61,35,16,124,63
251636,"Coma i la Pedra, la",10,114,26,11,65,26,21,179,52
251615,Conca de Dalt,18,145,59,18,119,75,36,264,134
430461,Conesa,7,46,18,7,37,22,14,83,40
430477,Constantí,520,2453,376,452,1955,427,972,4408,803
080713,Copons,18,106,24,31,97,31,49,203,55
430483,Corbera d'Ebre,81,409,131,58,337,145,139,746,276
080728,Corbera de Llobregat,1261,4808,618,1113,4572,761,2374,9380,1379
250788,Corbins,92,519,106,84,405,134,176,924,240
170577,Corçà,79,438,105,72,438,123,151,876,228
080734,Cornellà de Llobregat,6137,29800,6091,5861,28320,8268,11998,58120,14359
170561,Cornellà del Terri,162,714,180,137,696,217,299,1410,397
430496,Cornudella de Montsant,47,365,114,62,283,135,109,648,249
430509,Creixell,214,1064,247,183,963,281,397,2027,528
170583,Crespià,19,81,30,13,76,28,32,157,58
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",85,466,94,102,432,112,187,898,206
080749,Cubelles,1196,5034,750,837,4153,803,2033,9187,1553
250791,Cubells,24,118,60,23,95,65,47,213,125
430516,Cunit,877,4056,788,850,3709,822,1727,7765,1610
170600,Darnius,25,182,63,29,163,75,54,345,138
170617,Das,16,74,17,13,57,16,29,131,33
439018,Deltebre,748,3874,989,652,3596,1204,1400,7470,2193
080752,Dosrius,403,1757,189,431,1632,246,834,3389,435
430537,Duesaigües,12,90,35,11,57,29,23,147,64
170622,"Escala, l'",644,3381,830,577,3067,831,1221,6448,1661
080765,Esparreguera,1876,7899,1127,1721,7173,1464,3597,15072,2591
170638,Espinelves,11,65,18,9,51,29,20,116,47
250812,"Espluga Calba, l'",13,167,53,19,117,69,32,284,122
430542,"Espluga de Francolí, l'",277,1296,364,237,1221,496,514,2517,860
080771,Esplugues de Llobregat,3183,16150,3357,2904,16518,4174,6087,32668,7531
170643,Espolla,14,138,44,28,120,60,42,258,104
170656,Esponellà,28,147,38,37,142,49,65,289,87
250827,Espot,20,151,25,24,106,33,44,257,58
080787,"Espunyola, l'",16,79,34,18,82,31,34,161,65
082541,"Esquirol, l'",166,763,206,179,677,263,345,1440,469
250886,Estamariu,4,39,21,8,30,20,12,69,41
080790,"Estany, l'",18,116,46,17,122,60,35,238,106
250851,Estaràs,9,70,22,10,44,24,19,114,46
250864,Esterri d'Àneu,52,294,71,51,267,80,103,561,151
250870,Esterri de Cardós,0,24,7,7,24,9,7,48,16
430555,Falset,198,943,236,192,870,303,390,1813,539
170059,"Far d'Empordà, el",47,173,40,48,157,45,95,330,85
250899,Farrera,5,47,14,8,32,6,13,79,20
430568,"Fatarella, la",49,387,151,60,328,195,109,715,346
430574,"Febró, la",1,27,7,1,17,3,2,44,10
081347,Figaró-Montmany,80,353,88,79,286,123,159,639,211
080804,Fígols,1,16,11,2,11,8,3,27,19
259084,Fígols i Alinyà,9,92,45,7,63,49,16,155,94
430580,"Figuera, la",7,62,20,6,49,20,13,111,40
170669,Figueres,3321,14542,2526,3191,13782,3753,6512,28324,6279
430593,Figuerola del Camp,24,102,27,37,104,36,61,206,63
170675,Flaçà,66,341,97,71,332,111,137,673,208
430607,Flix,209,1423,419,198,1270,487,407,2693,906
250925,"Floresta, la",16,58,28,9,49,31,25,107,59
080826,Fogars de la Selva,131,518,94,131,478,85,262,996,179
080811,Fogars de Montclús,46,158,37,30,136,41,76,294,78
170681,Foixà,27,102,39,16,97,43,43,199,82
080832,Folgueroles,208,697,133,198,670,152,406,1367,285
250931,Fondarella,59,289,52,47,277,64,106,566,116
080847,Fonollosa,105,468,86,93,433,94,198,901,180
170694,Fontanals de Cerdanya,22,168,36,20,159,41,42,327,77
170708,Fontanilles,12,62,22,7,45,15,19,107,37
170715,Fontcoberta,83,438,69,104,441,77,187,879,146
080850,Font-rubí,111,487,153,106,416,157,217,903,310
250946,Foradada,11,72,32,6,47,24,17,119,56
179026,Forallac,111,614,132,109,598,172,220,1212,304
430614,Forès,0,19,13,0,9,14,0,28,27
170736,Fornells de la Selva,183,674,95,201,687,131,384,1361,226
170741,Fortià,38,217,58,48,178,66,86,395,124
080863,"Franqueses del Vallès, les",1373,6222,815,1256,5618,1041,2629,11840,1856
430629,Freginals,23,156,59,20,130,63,43,286,122
250962,"Fuliola, la",73,411,138,67,378,174,140,789,312
250978,Fulleda,2,42,17,6,31,17,8,73,34
080902,Gaià,16,54,13,10,51,14,26,105,27
430635,"Galera, la",54,289,91,49,257,112,103,546,203
080879,Gallifa,20,82,14,16,76,16,36,158,30
430640,Gandesa,202,1065,293,193,919,368,395,1984,661
430653,Garcia,24,188,74,22,153,92,46,341,166
430666,"Garidells, els",12,69,21,12,65,19,24,134,40
080885,"Garriga, la",1231,4807,825,1204,4948,1168,2435,9755,1993
170754,Garrigàs,25,132,45,18,90,45,43,222,90
170767,Garrigoles,9,64,17,6,45,25,15,109,42
170773,Garriguella,59,275,76,50,252,83,109,527,159
080898,Gavà,3620,15957,2666,3403,15650,3382,7023,31607,6048
250984,Gavet de la Conca,14,78,52,10,88,59,24,166,111
080919,Gelida,535,2219,377,494,2025,501,1029,4244,878
170789,Ger,38,157,44,25,155,25,63,312,69
259123,Gimenells i el Pla de la Font,74,401,119,66,343,140,140,744,259
430672,Ginestar,60,385,113,63,301,130,123,686,243
170792,Girona,7560,32448,5021,7166,32555,7436,14726,65003,12457
080924,Gironella,260,1591,492,296,1506,699,556,3097,1191
080930,Gisclareny,0,16,2,0,15,1,0,31,3
430688,Godall,46,256,118,46,228,123,92,484,241
250997,Golmés,144,560,123,114,514,155,258,1074,278
170806,Gombrèn,15,77,21,11,76,29,26,153,50
251001,Gósol,9,84,27,3,70,30,12,154,57
080945,"Granada, la",151,673,122,151,619,150,302,1292,272
251018,"Granadella, la",35,247,105,33,198,130,68,445,235
080958,Granera,1,39,10,1,19,6,2,58,16
251023,"Granja d'Escarp, la",51,386,113,54,303,136,105,689,249
080961,Granollers,4530,21401,3443,4318,20253,4909,8848,41654,8352
251039,Granyanella,8,61,21,9,55,20,17,116,41
251057,Granyena de les Garrigues,5,61,22,5,42,28,10,103,50
251044,Granyena de Segarra,2,48,27,2,38,32,4,86,59
430691,Gratallops,22,87,28,8,74,34,30,161,62
080977,Gualba,84,401,66,82,359,73,166,760,139
170813,Gualta,31,139,28,20,95,36,51,234,64
080996,Guardiola de Berguedà,68,323,106,49,277,125,117,600,231
430705,"Guiamets, els",16,117,39,14,90,56,30,207,95
170828,Guils de Cerdanya,29,187,25,24,156,31,53,343,56
251095,Guimerà,6,106,61,6,82,74,12,188,135
259031,"Guingueta d'Àneu, la",26,143,38,16,108,39,42,251,77
251109,Guissona,497,2064,242,458,1667,325,955,3731,567
251116,Guixers,5,61,21,4,39,20,9,100,41
081000,Gurb,237,810,144,217,771,165,454,1581,309
430712,Horta de Sant Joan,80,432,163,60,344,174,140,776,337
081017,"Hospitalet de Llobregat, l'",15702,88583,19409,14841,87158,26155,30543,175741,45564
081629,"Hostalets de Pierola, els",195,846,123,187,721,147,382,1567,270
170834,Hostalric,305,1388,243,293,1233,311,598,2621,554
081022,Igualada,2854,12855,2555,2732,12105,3822,5586,24960,6377
251155,Isona i Conca Dellà,75,376,168,47,310,177,122,686,345
170849,Isòvol,16,126,19,6,78,33,22,204,52
251137,Ivars d'Urgell,103,644,192,104,500,243,207,1144,435
251121,Ivars de Noguera,11,124,49,14,95,47,25,219,96
251142,Ivorra,8,46,18,5,43,27,13,89,45
170852,Jafre,21,164,43,14,106,55,35,270,98
170865,"Jonquera, la",223,1199,168,195,1073,217,418,2272,385
081038,Jorba,66,238,58,75,225,80,141,463,138
259101,Josa i Tuixén,9,65,20,3,55,20,12,120,40
170871,Juià,28,91,33,20,89,36,48,180,69
251180,Juncosa,20,177,78,32,131,82,52,308,160
251193,Juneda,215,1141,318,193,977,378,408,2118,696
251214,Les,68,356,49,58,338,75,126,694,124
251229,Linyola,201,914,247,185,817,291,386,1731,538
081043,"Llacuna, la",51,332,91,47,253,104,98,585,195
170887,Lladó,42,209,62,41,187,64,83,396,126
251235,Lladorre,12,76,23,16,74,24,28,150,47
251240,Lladurs,10,68,31,9,58,24,19,126,55
081056,"Llagosta, la",1042,4978,805,967,4691,1034,2009,9669,1839
170890,Llagostera,567,2681,550,555,2264,697,1122,4945,1247
170904,Llambilles,51,239,46,53,199,53,104,438,99
170911,Llanars,38,210,50,25,182,64,63,392,114
170926,Llançà,316,1704,397,336,1592,517,652,3296,914
251253,Llardecans,26,177,85,27,147,92,53,324,177
251266,Llavorsí,18,110,40,17,109,36,35,219,76
251207,Lleida,9493,45392,8168,9313,42991,11957,18806,88383,20125
170932,Llers,84,397,96,89,366,112,173,763,208
251272,Lles de Cerdanya,12,86,31,3,56,32,15,142,63
081075,Lliçà d'Amunt,1331,4805,757,1255,4542,801,2586,9347,1558
081081,Lliçà de Vall,555,2221,360,497,2101,354,1052,4322,714
251288,Llimiana,7,57,25,5,47,23,12,104,48
081069,Llinars del Vallès,739,3056,500,660,2935,691,1399,5991,1191
170947,Llívia,99,571,85,62,467,104,161,1038,189
430727,"Lloar, el",7,36,21,4,31,14,11,67,35
251291,Llobera,14,78,25,8,61,35,22,139,60
430733,Llorac,5,42,15,5,29,17,10,71,32
430748,Llorenç del Penedès,196,703,138,173,696,179,369,1399,317
170950,Lloret de Mar,2778,14211,1512,2434,12168,1894,5212,26379,3406
170963,"Llosses, les",11,92,27,9,78,21,20,170,48
081094,Lluçà,20,89,22,20,75,26,40,164,48
171024,Maçanet de Cabrenys,30,249,101,30,201,111,60,450,212
171030,Maçanet de la Selva,494,2345,386,515,2080,434,1009,4425,820
170979,Madremanya,11,66,25,18,75,24,29,141,49
170985,Maià de Montcal,24,127,43,24,122,38,48,249,81
251333,Maials,51,312,129,50,258,166,101,570,295
251305,Maldà,16,82,53,13,74,39,29,156,92
081108,Malgrat de Mar,1377,6399,1232,1216,5915,1683,2593,12314,2915
081115,Malla,16,91,17,14,104,25,30,195,42
081120,Manlleu,1751,7102,1346,1662,6364,1866,3413,13466,3212
081136,Manresa,5401,24898,5624,4990,23726,8501,10391,48624,14125
430764,Marçà,49,203,83,48,189,90,97,392,173
430751,Margalef,9,42,19,1,29,22,10,71,41
082423,Marganell,21,93,22,20,95,41,41,188,63
081141,Martorell,2275,9509,1529,2092,8403,2036,4367,17912,3565
081154,Martorelles,368,1770,359,298,1659,439,666,3429,798
430770,Mas de Barberans,30,217,88,34,198,100,64,415,188
171002,Masarac,19,93,28,13,77,39,32,170,67
430786,Masdenverge,68,374,127,76,337,116,144,711,243
081167,"Masies de Roda, les",50,272,59,49,264,73,99,536,132
081173,"Masies de Voltregà, les",272,1081,201,265,1061,272,537,2142,473
430799,Masllorenç,31,175,50,33,142,72,64,317,122
081189,"Masnou, el",1690,7562,1312,1606,7699,2066,3296,15261,3378
430803,"Masó, la",10,100,34,18,94,31,28,194,65
430810,Maspujols,46,167,66,48,154,61,94,321,127
081192,Masquefa,745,2762,396,761,2626,457,1506,5388,853
430825,"Masroig, el",32,164,65,24,157,83,56,321,148
251312,Massalcoreig,36,223,73,34,166,93,70,389,166
171019,Massanes,49,274,46,43,221,60,92,495,106
251327,Massoteres,21,77,24,18,60,21,39,137,45
081206,Matadepera,984,2803,409,772,2778,520,1756,5581,929
081213,Mataró,9082,43469,7245,8469,40550,10220,17551,84019,17465
081228,Mediona,162,810,205,165,668,241,327,1478,446
251348,Menàrguens,43,275,115,47,224,131,90,499,246
170998,Meranges,5,36,14,1,21,10,6,57,24
171058,Mieres,24,119,29,21,86,41,45,205,70
430831,"Milà, el",10,53,21,14,58,21,24,111,42
251351,Miralcamp,86,470,120,94,444,154,180,914,274
430846,Miravet,48,306,72,35,219,115,83,525,187
081385,Moià,500,1929,365,460,1745,487,960,3674,852
430859,"Molar, el",17,99,44,11,74,45,28,173,89
081234,Molins de Rei,1869,8277,1429,1815,8216,1938,3684,16493,3367
251370,Mollerussa,1165,4916,705,1065,4270,965,2230,9186,1670
171061,Mollet de Peralada,10,59,18,8,47,32,18,106,50
081249,Mollet del Vallès,4205,19149,2600,4118,17896,3397,8323,37045,5997
171077,Molló,11,119,38,14,107,51,25,226,89
251364,"Molsosa, la",5,44,15,6,41,17,11,85,32
081287,Monistrol de Calders,53,241,57,50,230,71,103,471,128
081271,Monistrol de Montserrat,199,1075,242,147,956,284,346,2031,526
171096,Montagut i Oix,65,331,96,69,272,107,134,603,203
430862,Montblanc,522,2424,509,423,2251,689,945,4675,1198
430884,Montbrió del Camp,151,669,158,137,605,197,288,1274,355
081252,Montcada i Reixac,2655,11461,1901,2544,10961,2589,5199,22422,4490
