Codi,Literal,De propietat. Per compra pagada,De propietat. Per compra amb pagaments pendents,De propietat. Per herència o donació,De lloguer,Cedit gratis o a baix preu,Altres formes,Total
252038,Seu d'Urgell la,1722,1080,408,1618,146,287,5262
082690,Seva,384,552,0,180,0,0,1282
171931,Sils,554,1019,0,402,0,78,2126
082704,Sitges,3659,3908,638,3010,576,449,12240
252075,Solsona,1074,966,224,1146,110,161,3680
252094,Sort,292,276,107,172,0,0,949
252108,Soses,170,229,132,0,0,58,659
082732,Subirats,221,390,299,62,0,81,1089
082747,Súria,861,771,260,304,0,155,2400
082785,Taradell,754,650,261,428,0,101,2257
431482,Tarragona,18996,20561,1446,9202,414,1772,52391
252173,Tàrrega,1783,2104,511,1480,0,245,6193
082819,Teià,762,806,189,259,0,0,2164
252206,Térmens,137,105,156,93,0,61,573
082798,Terrassa,28014,36688,3781,11207,1040,2517,83249
082824,Tiana,853,1413,0,351,0,137,2887
431508,Tivissa,176,169,239,0,0,47,684
082830,Tona,967,1068,181,659,0,120,3048
252234,Torà,163,115,99,67,0,0,478
082845,Tordera,1659,2620,562,765,0,532,6275
082858,Torelló,2160,1686,267,835,0,312,5363
082861,Torre de Claramunt la,488,716,0,0,0,0,1375
431536,Torredembarra,1935,2441,258,1251,0,160,6198
252287,Torrefarrera,294,809,124,180,0,97,1537
252304,Torregrossa,259,179,214,0,0,0,797
082877,Torrelavit,161,128,118,53,0,0,506
082883,Torrelles de Foix,302,421,58,87,0,0,983
082896,Torrelles de Llobregat,511,1068,94,180,0,161,2057
252326,Torres de Segre,235,284,164,0,0,0,792
171997,Torroella de Montgrí,1466,1293,492,899,0,0,4404
431554,Tortosa,3951,3705,1552,2438,278,1060,12984
172023,Tossa de Mar,740,747,335,509,0,0,2458
252347,Tremp,1000,667,282,373,0,0,2489
172044,Ullà,144,100,0,0,0,0,335
082900,Ullastrell,161,350,83,0,0,0,688
431567,Ulldecona,658,749,415,624,0,155,2632
082917,Vacarisses,542,1337,0,106,0,189,2259
172076,Vall d'en Bas la,329,242,244,173,0,0,1042
172082,Vall de Bianya la,127,123,81,93,0,50,505
250432,Vall de Boí la,88,177,91,0,0,0,488
082922,Vallbona d'Anoia,178,255,0,0,0,0,543
252402,Vallfogona de Balaguer,194,240,100,86,0,69,712
082943,Vallgorguina,150,569,0,132,0,0,995
082956,Vallirana,1516,2579,234,328,0,385,5100
431606,Vallmoll,185,300,90,0,0,0,646
082969,Vallromanes,232,463,0,85,0,0,896
431613,Valls,3542,3407,423,1721,0,297,9523
431628,Vandellòs i l'Hospitalet de l'Infant,586,792,318,547,0,95,2393
431634,Vendrell el,4278,6201,706,2392,0,659,14397
252424,Verdú,90,82,110,0,0,31,364
172116,Verges,181,86,67,72,0,35,451
082981,Vic,4908,4938,692,4322,330,553,15744
172137,Vidreres,781,1308,154,454,0,103,2832
252430,Vielha e Mijaran,632,422,0,789,0,0,2075
172155,Vilablareix,319,363,56,58,0,0,836
083015,Viladecans,8892,11103,573,2557,324,783,24231
083008,Viladecavalls,911,1290,0,0,0,0,2451
172207,Viladrau,119,150,50,62,0,0,406
172214,Vilafant,840,717,0,113,0,127,1844
083054,Vilafranca del Penedès,5359,6009,747,2278,219,527,15138
172235,Vilajuïga,113,147,68,77,0,35,457
431665,Vilallonga del Camp,210,411,70,0,0,0,829
172266,Vilamalla,139,160,0,0,0,0,387
252483,Vilanova de Bellpuig,140,98,156,0,0,0,465
252542,Vilanova de la Barca,110,118,103,0,0,39,427
083020,Vilanova del Camí,1529,1803,353,480,0,232,4495
089024,Vilanova del Vallès,308,1117,114,166,0,0,1789
083073,Vilanova i la Geltrú,8903,9371,1239,5268,662,1142,26586
431704,Vila-rodona,165,153,85,0,0,0,511
431711,Vila-seca,2129,4532,319,1132,0,175,8401
082140,Vilassar de Dalt,1117,1296,318,497,0,138,3440
082191,Vilassar de Mar,2694,2784,222,1618,0,265,7666
172333,Vilobí d'Onyar,357,404,141,159,0,88,1155
083041,Vilobí del Penedès,113,129,63,0,0,0,380
431763,Vimbodí i Poblet,127,116,92,0,0,40,409
431785,Vinyols i els Arcs,196,311,0,174,0,0,771
430521,Xerta,213,71,102,0,0,41,460
