Codi,Literal,De propietat. Per compra pagada,De propietat. Per compra amb pagaments pendents,De propietat. Per herència o donació,De lloguer,Cedit gratis o a baix preu,Altres formes,Total
170427,Capmany,53,30,53,28,4,11,179
080459,Capolat,12,2,2,7,0,1,24
080462,Cardedeu,1555,1684,224,718,60,172,4413
080478,Cardona,827,337,90,581,21,90,1946
080484,Carme,176,9,12,27,1,6,231
430419,Caseres,28,5,71,6,2,4,116
170448,Cassà de la Selva,1344,619,284,354,26,111,2738
080497,Casserres,163,21,94,96,41,149,564
080575,Castell de l'Areny,11,3,6,4,1,1,26
259046,Castell de Mur,28,3,23,4,4,4,66
250642,Castellar de la Ribera,2,0,16,4,2,15,39
080522,Castellar de n'Hug,23,9,17,7,5,0,61
080500,Castellar del Riu,14,5,7,4,0,18,48
080517,Castellar del Vallès,2439,2795,251,438,76,172,6171
080538,Castellbell i el Vilar,654,158,40,135,15,59,1061
080543,Castellbisbal,1038,1517,180,226,28,91,3080
080556,Castellcir,62,27,18,19,5,13,144
250674,Castelldans,184,16,127,18,3,7,355
080569,Castelldefels,6086,6897,325,2638,213,426,16585
080581,Castellet i la Gornal,219,147,126,36,9,34,571
170464,Castellfollit de la Roca,201,48,46,59,26,2,382
080608,Castellfollit de Riubregós,15,3,43,5,4,2,72
080594,Castellfollit del Boix,30,19,55,15,4,9,132
080615,Castellgalí,148,81,59,34,9,9,340
080620,Castellnou de Bages,79,106,7,5,1,11,209
250680,Castellnou de Seana,62,11,100,18,9,53,253
170470,Castelló d'Empúries,1027,553,145,505,56,85,2371
250693,Castelló de Farfanya,95,13,83,4,2,8,205
080636,Castellolí,39,15,57,20,3,11,145
170486,Castell-Platja d'Aro,1184,847,137,447,113,121,2849
250707,Castellserà,166,52,106,18,10,32,384
080641,Castellterçol,487,65,15,121,9,39,736
430424,Castellvell del Camp,224,215,26,5,2,12,484
080654,Castellví de la Marca,148,62,156,41,24,43,474
080667,Castellví de Rosanes,126,162,22,27,14,56,407
430430,"Catllar, el",368,348,69,55,21,34,895
250714,Cava,12,1,10,0,0,1,24
171899,"Cellera de Ter, la",403,131,47,73,8,15,677
170499,Celrà,347,269,101,164,27,41,949
080673,Centelles,962,452,204,266,50,122,2056
082687,Cercs,298,69,35,127,20,12,561
082665,Cerdanyola del Vallès,8324,7450,419,1484,173,428,18278
080689,Cervelló,909,842,73,171,12,43,2050
250729,Cervera,1123,815,186,484,31,71,2710
250735,Cervià de les Garrigues,82,39,177,11,5,14,328
170502,Cervià de Ter,118,29,53,18,10,12,240
170519,Cistella,30,13,19,13,4,3,82
250740,Ciutadilla,26,1,41,4,3,4,79
250753,Clariana de Cardener,2,2,15,4,6,14,43
250766,"Cogul, el",13,1,65,1,1,2,83
170545,Colera,74,33,39,35,15,25,221
250772,Coll de Nargó,45,16,137,15,4,5,222
080692,Collbató,346,417,39,67,7,49,925
430458,Colldejou,12,7,35,1,3,0,58
080706,Collsuspina,38,18,11,20,4,3,94
170558,Colomers,37,8,16,11,1,2,75
251636,"Coma i la Pedra, la",68,0,14,7,10,0,99
251615,Conca de Dalt,39,6,106,6,3,2,162
430461,Conesa,16,5,30,2,5,1,59
430477,Constantí,680,628,127,161,33,63,1692
080713,Copons,67,9,17,18,3,4,118
430483,Corbera d'Ebre,129,9,162,20,5,15,340
080728,Corbera de Llobregat,1065,1488,107,419,50,156,3285
250788,Corbins,110,63,127,11,28,47,386
170577,Corçà,255,29,54,34,6,8,386
080734,Cornellà de Llobregat,16113,7500,689,3779,278,532,28891
170561,Cornellà del Terri,309,97,118,49,18,16,607
