,Codi,Literal,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Any,Habitatges familiars principals
185,080459,Capolat,14,11,0.0,2001,24
186,080462,Cardedeu,950,433,1.0,2001,4413
187,080478,Cardona,280,477,0.0,2001,1946
188,080484,Carme,102,44,5.0,2001,231
189,430419,Caseres,75,0,0.0,2001,116
190,170448,Cassà de la Selva,206,846,32.0,2001,2739
191,080497,Casserres,56,151,0.0,2001,564
192,080575,Castell de l'Areny,12,8,0.0,2001,26
193,259046,Castell de Mur,71,2,0.0,2001,67
194,250642,Castellar de la Ribera,8,20,0.0,2001,39
195,080522,Castellar de n'Hug,76,76,9.0,2001,61
196,080500,Castellar del Riu,19,2,0.0,2001,48
197,080517,Castellar del Vallès,849,1328,21.0,2001,6171
198,080538,Castellbell i el Vilar,120,181,0.0,2001,1061
199,080543,Castellbisbal,370,433,6.0,2001,3080
200,080556,Castellcir,42,26,1.0,2001,144
201,250674,Castelldans,32,59,2.0,2001,355
202,080569,Castelldefels,5648,2966,692.0,2001,16585
203,080581,Castellet i la Gornal,352,95,11.0,2001,571
204,170464,Castellfollit de la Roca,63,77,2.0,2001,382
205,080608,Castellfollit de Riubregós,29,22,0.0,2001,72
206,080594,Castellfollit del Boix,6,9,0.0,2001,132
207,080615,Castellgalí,70,75,0.0,2001,340
208,080620,Castellnou de Bages,126,24,0.0,2001,209
209,250680,Castellnou de Seana,91,21,26.0,2001,253
210,170470,Castelló d'Empúries,6028,5147,45.0,2001,2371
211,250693,Castelló de Farfanya,117,29,3.0,2001,206
212,080636,Castellolí,43,0,0.0,2001,145
213,170486,Castell-Platja d'Aro,9299,983,1.0,2001,2849
214,250707,Castellserà,52,48,0.0,2001,384
215,080641,Castellterçol,0,320,1.0,2001,736
216,430424,Castellvell del Camp,308,40,0.0,2001,484
217,080654,Castellví de la Marca,133,119,0.0,2001,474
218,080667,Castellví de Rosanes,267,0,102.0,2001,407
219,430430,"Catllar, el",1454,59,15.0,2001,895
220,250714,Cava,33,10,2.0,2001,24
221,171899,"Cellera de Ter, la",48,107,0.0,2001,677
222,170499,Celrà,14,185,0.0,2001,949
223,080673,Centelles,254,302,0.0,2001,2056
224,082687,Cercs,98,271,0.0,2001,561
225,082665,Cerdanyola del Vallès,985,2916,196.0,2001,18278
226,080689,Cervelló,498,134,13.0,2001,2050
227,250729,Cervera,379,759,4.0,2001,2710
228,250735,Cervià de les Garrigues,165,70,6.0,2001,328
229,170502,Cervià de Ter,48,67,1.0,2001,240
230,170519,Cistella,7,61,2.0,2001,82
231,250740,Ciutadilla,78,20,0.0,2001,79
232,250753,Clariana de Cardener,7,10,3.0,2001,43
233,250766,"Cogul, el",18,19,1.0,2001,87
234,170545,Colera,442,173,1.0,2001,221
235,250772,Coll de Nargó,135,7,0.0,2001,222
236,080692,Collbató,668,76,2.0,2001,925
237,430458,Colldejou,33,5,0.0,2001,58
238,080706,Collsuspina,91,1,1.0,2001,94
239,170558,Colomers,44,10,8.0,2001,75
240,251636,"Coma i la Pedra, la",434,44,0.0,2001,99
241,251615,Conca de Dalt,0,191,0.0,2001,162
242,430461,Conesa,90,17,0.0,2001,59
243,430477,Constantí,49,390,0.0,2001,1692
244,080713,Copons,64,33,0.0,2001,118
245,430483,Corbera d'Ebre,23,92,1.0,2001,340
246,080728,Corbera de Llobregat,1418,444,69.0,2001,3285
247,250788,Corbins,36,36,2.0,2001,387
248,170577,Corçà,87,3,0.0,2001,386
249,080734,Cornellà de Llobregat,440,3441,63.0,2001,28891
250,170561,Cornellà del Terri,27,111,0.0,2001,607
251,430496,Cornudella de Montsant,278,96,5.0,2001,353
252,430509,Creixell,2372,145,12.0,2001,828
253,170583,Crespià,20,17,0.0,2001,79
254,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",77,11,0.0,2001,367
255,080749,Cubelles,1845,176,2856.0,2001,2897
256,250791,Cubells,113,41,0.0,2001,123
257,430516,Cunit,8748,27,65.0,2001,2658
258,170600,Darnius,117,41,0.0,2001,221
259,170617,Das,180,16,1.0,2001,56
260,439018,Deltebre,781,315,18.0,2001,3314
261,080752,Dosrius,363,86,3.0,2001,1043
262,430537,Duesaigües,84,15,6.0,2001,86
263,170622,"Escala, l'",9670,1027,185.0,2001,2347
264,080765,Esparreguera,990,1406,80.0,2001,6470
265,170638,Espinelves,31,6,0.0,2001,69
266,250812,"Espluga Calba, l'",111,44,13.0,2001,153
267,430542,"Espluga de Francolí, l'",377,360,3.0,2001,1225
268,080771,Esplugues de Llobregat,503,1819,77.0,2001,15575
269,170643,Espolla,87,20,0.0,2001,133
270,170656,Esponellà,41,26,0.0,2001,111
271,250827,Espot,69,0,0.0,2001,114
272,080787,"Espunyola, l'",0,5,0.0,2001,74
273,082541,"Esquirol, l'",237,71,0.0,2001,716
274,250886,Estamariu,12,9,0.0,2001,43
275,080790,"Estany, l'",110,29,8.0,2001,148
276,250851,Estaràs,3,4,0.0,2001,63
277,250864,Esterri d'Àneu,442,12,12.0,2001,247
278,250870,Esterri de Cardós,29,1,3.0,2001,25
279,430555,Falset,190,173,0.0,2001,895
280,170059,"Far d'Empordà, el",5,26,0.0,2001,141
281,250899,Farrera,0,4,0.0,2001,45
282,430568,"Fatarella, la",83,78,3.0,2001,416
283,430574,"Febró, la",26,9,0.0,2001,25
284,081347,Figaró-Montmany,101,54,0.0,2001,302
285,080804,Fígols,10,2,0.0,2001,22
286,259084,Fígols i Alinyà,51,7,0.0,2001,106
287,430580,"Figuera, la",116,10,1.0,2001,52
288,170669,Figueres,1524,3685,90.0,2001,12357
289,430593,Figuerola del Camp,99,19,0.0,2001,110
290,170675,Flaçà,45,79,3.0,2001,325
291,430607,Flix,38,559,0.0,2001,1419
