,Any,Serveis,Literal,Codi,Solar,Zones verdes,Equipament,Connectivitat,Densitat comercial,Riscos
118,2012,0.0,"Granada, la",080945,16.5154,2.7736,17.5874,10.1417,,
119,2012,0.0,Gisclareny,080930,0.0,0.0,0.0,0.0,,
120,2012,0.525,Gironella,080924,64.5128,17.9519,17.5812,30.6448,,
121,2012,0.0,Gelida,080919,76.6392,17.9671,26.1365,40.3095,,
122,2012,0.0,Gaià,080902,2.3578,0.8221,44.569,0.7914000000000001,,
123,2012,4.8022,Gavà,080898,284.1583,76.3527,9.2586,152.96359999999999,,
124,2012,3.8708,"Garriga, la",080885,118.6765,18.0757,10.2558,72.7622,,
125,2012,0.0,Masquefa,081192,131.5928,61.8214,17.1703,54.6424,,
126,2012,1.8837,"Franqueses del Vallès, les",080863,143.1471,31.561,18.1221,76.6682,,
127,2012,0.0,Gualba,080977,14.294,5.3063,15.1984,6.7472,,
128,2012,0.436,Fonollosa,080847,47.6066,23.3296,55.5572,15.7918,,
129,2012,0.0,Folgueroles,080832,20.8723,5.0232,15.0822,10.9659,,
130,2012,0.0,Fogars de la Selva,080826,41.0733,11.0083,31.7229,16.1509,,
131,2012,0.6877,Fogars de Montclús,080811,7.1502,1.6599,26.9954,4.2679,,
132,2012,0.0,Fígols,080804,1.055,0.2987,27.6982,0.3759,,
133,2012,0.0,"Estany, l'",080790,11.9235,2.9064,50.9715,6.9658,,
134,2012,0.0,Palau-solità i Plegamans,081568,76.0156,24.0498,11.1739,35.655,,
135,2012,0.0,Gallifa,080879,6.8718,1.3416,56.7581,4.2203,,
136,2012,3.4945,Lliçà d'Amunt,081075,237.7724,57.2392,35.9265,118.1038,,
137,2012,0.0,"Masies de Roda, les",081167,8.299,0.8202,21.4034,5.5097000000000005,,
138,2012,0.0,Martorelles,081154,62.5283,24.1233,8.1331,33.9875,,
139,2012,1.7318,Martorell,081141,150.3327,56.1427,10.1599,78.50540000000001,,
140,2012,13.0565,Manresa,081136,353.474,85.0089,11.5839,176.7179,,
141,2012,1.2924,Manlleu,081120,116.0643,20.7183,11.4937,71.53630000000001,,
142,2012,0.0,Malla,081115,0.0,0.0,0.0,0.0,,
143,2012,7.0145,Malgrat de Mar,081108,93.2424,18.9909,9.4567,58.97240000000001,,
144,2012,0.0,Granera,080958,2.334,0.1842,48.9582,1.7434,,
145,2012,0.0,Lliçà de Vall,081081,113.61,15.657,30.7812,77.8882,,
146,2012,1.1188,Granollers,080961,306.994,94.2527,8.2602,172.6344,,
147,2012,0.0,Llinars del Vallès,081069,114.4205,29.8048,17.5553,57.8548,,
148,2012,0.0,"Llagosta, la",081056,29.8863,9.6485,3.5034,14.9986,,
149,2012,0.0,Jorba,081038,17.2337,1.4605,129.6236,3.7747,,
150,2012,11.318,"Hospitalet de Llobregat, l'",081017,582.4106,125.2365,6.1065,295.8661,,
151,2012,1.9305,Gurb,081000,55.7722,9.5208,77.8478,25.8146,,
152,2012,0.0,Guardiola de Berguedà,080996,11.7625,1.6887,36.9924,5.960800000000001,,
153,2012,0.0,Sant Salvador de Guardiola,080983,42.1345,12.7308,30.511,19.4815,,
154,2012,1.5176,Esplugues de Llobregat,080771,189.5342,40.7381,9.3946,93.0514,,
155,2012,0.0,Lluçà,081094,4.6941,1.0104,52.4906,2.3242,,
156,2012,0.0,Meranges,170998,2.5987,0.4779,19.6455,1.7513,,
157,2012,3.1071,Mont-ras,171100,13.6787,1.9785,6.055,10.0052,,
158,2012,0.0,Masarac,171002,3.5318,0.2073,11.6321,2.8207,,
159,2012,0.0,Montagut i Oix,171096,7.5737,1.7346,15.2199,4.2795000000000005,,
160,2012,0.0,Maçanet de Cabrenys,171024,20.8059,8.1796,41.2595,9.0829,,
161,2012,0.0,Mollet de Peralada,171061,2.3131,0.1242,22.5003,1.5584,,
162,2012,8.1708,Maçanet de la Selva,171030,186.5776,83.677,33.9455,76.3723,,
163,2012,0.0,Molló,171077,10.2838,4.4867,28.2968,4.789,,
164,2012,0.6084,Llívia,170947,19.6365,5.1088,19.3609,11.2575,,
165,2012,0.2242,Mieres,171058,5.4212,1.6605,26.5328,2.573,,
166,2012,0.0,Massanes,171019,6.5782,1.4754,36.9488,2.4757000000000002,,
167,2012,0.0,Maià de Montcal,170985,12.4406,4.8154,57.8996,4.9286,,
168,2012,0.0,Madremanya,170979,3.8244,0.0,98.6514,1.2002000000000002,,
169,2012,0.3897,Llanars,170911,14.9439,5.6532,43.0353,5.890499999999999,,
170,2012,45.0545,Lloret de Mar,170950,345.0295,120.3032,12.6307,168.9807,,
171,2012,2.392,Llers,170932,19.3273,2.8643,26.3385,11.8416,,
172,2012,4.1533,Llançà,170926,114.7909,33.2335,26.1781,66.955,,
173,2012,0.0,Navata,171117,11.8908,0.4398,45.5025,5.745,,
174,2012,0.0,"Planes d'Hostoles, les",171334,23.6241,4.427,29.3762,13.5129,,
175,2012,0.0,Llambilles,170904,10.1141,2.0664,8.5873,4.5093,,
176,2012,0.042,Llagostera,170890,53.0891,16.4395,9.5506,27.785500000000003,,
177,2012,0.0,"Llosses, les",170963,1.5448,0.6168,24.2223,0.38539999999999996,,
178,2012,0.0,Pardines,171254,1.6117,0.3436,11.5051,1.0909,,
179,2012,50.6656,Castelló d'Empúries,170470,192.222,49.7335,15.9525,94.19460000000001,,
180,2012,0.0,Lladó,170887,8.0831,1.1066,31.8206,4.6345,,
181,2012,0.0,"Preses, les",171390,24.0244,5.8264,25.1264,13.7239,,
182,2012,0.1373,Portbou,171387,12.9226,2.5094,9.5677,31.6924,,
183,2012,3.129,Porqueres,171371,51.1112,19.5349,7.5726,28.175399999999996,,
