,Literal,Poblacio activa,Codi,Any
191,Clariana de Cardener,101.0,250753,2011
192,Colera,344.0,170545,2011
193,Coll de Nargó,382.0,250772,2011
194,Collbató,2823.0,080692,2011
195,Colldejou,126.0,430458,2011
196,Collsuspina,226.0,080706,2011
197,Colomers,122.0,170558,2011
198,Conca de Dalt,262.0,251615,2011
199,Conesa,90.0,430461,2011
200,Constantí,4496.0,430477,2011
201,Copons,200.0,080713,2011
202,Corbera de Llobregat,9642.0,080728,2011
203,Corbins,908.0,250788,2011
204,Cornellà de Llobregat,17354.995,080734,2011
205,Cornellà del Terri,1432.0,170561,2011
206,Cornudella de Montsant,647.0,430496,2011
207,Corçà,837.0,170577,2011
208,Creixell,2183.0,430509,2011
209,Crespià,159.0,170583,2011
210,Cubelles,9594.0,080749,2011
211,Cubells,230.0,250791,2011
212,Cunit,8048.0,430516,2011
213,Cànoves i Samalús,1880.0,080425,2011
214,Darnius,337.0,170600,2011
215,Das,145.0,170617,2011
216,Deltebre,7802.0,439018,2011
217,Dosrius,3553.0,080752,2011
218,Duesaigües,157.0,430537,2011
219,Esparreguera,14799.0,080765,2011
220,Espinelves,123.0,170638,2011
221,Esplugues de Llobregat,30668.0,080771,2011
222,Espolla,257.0,170643,2011
223,Esponellà,265.0,170656,2011
224,Espot,238.0,250827,2011
225,Estamariu,65.0,250886,2011
226,Estaràs,108.0,250851,2011
227,Esterri de Cardós,52.0,250870,2011
228,Falset,1835.0,430555,2011
229,Farrera,91.0,250899,2011
230,Figueres,29795.0,170669,2011
231,Figuerola del Camp,208.0,430593,2011
232,Flaçà,670.0,170675,2011
233,Flix,2522.0,430607,2011
234,Fogars de Montclús,275.0,080811,2011
235,Fogars de la Selva,1033.0,080826,2011
236,Foixà,186.0,170681,2011
237,Folgueroles,1388.0,080832,2011
238,Fondarella,563.0,250931,2011
239,Fonollosa,983.0,080847,2011
240,Fontanals de Cerdanya,337.0,170694,2011
241,Fontanilles,94.0,170708,2011
242,Fontcoberta,949.0,170715,2011
243,Foradada,115.0,250946,2011
244,Forallac,1155.0,179026,2011
245,Fornells de la Selva,1607.0,170736,2011
246,Fortià,406.0,170741,2011
247,Forès,32.0,430614,2011
248,Freginals,288.0,430629,2011
249,Fulleda,63.0,250978,2011
250,Fígols,25.0,080804,2011
251,Fígols i Alinyà,160.0,259084,2011
252,Gaià,116.0,080902,2011
253,Gallifa,142.0,080879,2011
254,Gandesa,2018.0,430640,2011
255,Garcia,347.0,430653,2011
256,Garrigoles,100.0,170767,2011
257,Garriguella,539.0,170773,2011
258,Garrigàs,240.0,170754,2011
259,Gavet de la Conca,170.0,250984,2011
260,Gavà,31192.0,080898,2011
261,Gelida,4694.0,080919,2011
262,Ger,311.0,170789,2011
263,Gimenells i el Pla de la Font,704.0,259123,2011
264,Ginestar,552.0,430672,2011
265,Girona,7469.927999999999,170792,2011
266,Gironella,3164.0,080924,2011
267,Gisclareny,27.0,080930,2011
268,Godall,456.0,430688,2011
269,Golmés,1127.0,250997,2011
270,Gombrèn,133.0,170806,2011
271,Granera,61.0,080958,2011
272,Granollers,30659.674,080961,2011
273,Granyanella,91.0,251039,2011
274,Granyena de Segarra,74.0,251044,2011
275,Granyena de les Garrigues,112.0,251057,2011
276,Gratallops,169.0,430691,2011
277,Gualba,901.0,080977,2011
278,Gualta,263.0,170813,2011
279,Guardiola de Berguedà,634.0,080996,2011
280,Guils de Cerdanya,404.0,170828,2011
281,Guimerà,165.0,251095,2011
282,Guissona,4670.0,251109,2011
283,Guixers,88.0,251116,2011
284,Gurb,1710.0,081000,2011
285,Gósol,157.0,251001,2011
286,Horta de Sant Joan,762.0,430712,2011
287,Hostalric,2656.0,170834,2011
288,Igualada,25189.0,081022,2011
289,Isona i Conca Dellà,637.0,251155,2011
290,Isòvol,231.0,170849,2011
291,Ivars de Noguera,230.0,251121,2011
292,Ivorra,64.0,251142,2011
293,Jafre,264.0,170852,2011
294,Jorba,521.0,081038,2011
295,Josa i Tuixén,95.0,259101,2011
296,Juià,212.0,170871,2011
297,Juncosa,275.0,251180,2011
298,Juneda,2199.0,251193,2011
299,Les,712.0,251214,2011
300,Linyola,1670.0,251229,2011
301,Lladorre,158.0,251235,2011
302,Lladurs,111.0,251240,2011
303,Lladó,461.0,170887,2011
304,Llagostera,5292.0,170890,2011
305,Llambilles,448.0,170904,2011
306,Llanars,369.0,170911,2011
307,Llançà,3261.0,170926,2011
308,Llardecans,286.0,251253,2011
309,Llavorsí,235.0,251266,2011
310,Lleida,92.53099999999998,251207,2011
311,Llers,753.0,170932,2011
312,Lles de Cerdanya,177.0,251272,2011
313,Llimiana,113.0,251288,2011
314,Llinars del Vallès,6325.0,081069,2011
315,Lliçà de Vall,4273.0,081081,2011
316,Llobera,127.0,251291,2011
317,Llorac,70.0,430733,2011
318,Llorenç del Penedès,1427.0,430748,2011
319,Lloret de Mar,28661.0,170950,2011
320,Lluçà,170.0,081094,2011
321,Llívia,1196.0,170947,2011
322,Madremanya,164.0,170979,2011
323,Maials,566.0,251333,2011
324,Maià de Montcal,265.0,170985,2011
325,Maldà,144.0,251305,2011
326,Malgrat de Mar,12190.0,081108,2011
327,Malla,176.0,081115,2011
328,Manlleu,12956.0,081120,2011
329,Manresa,19070.006,081136,2011
330,Margalef,70.0,430751,2011
331,Marganell,204.0,082423,2011
332,Martorell,18240.0,081141,2011
333,Martorelles,3268.0,081154,2011
334,Marçà,381.0,430764,2011
335,Mas de Barberans,389.0,430770,2011
336,Masarac,177.0,171002,2011
337,Masdenverge,734.0,430786,2011
338,Masllorenç,326.0,430799,2011
339,Maspujols,474.0,430810,2011
340,Masquefa,5548.0,081192,2011
341,Massalcoreig,369.0,251312,2011
342,Massanes,484.0,171019,2011
343,Massoteres,122.0,251327,2011
344,Matadepera,5647.0,081206,2011
345,Mataró,82.66800000000002,081213,2011
346,Maçanet de Cabrenys,419.0,171024,2011
347,Maçanet de la Selva,4748.0,171030,2011
348,Mediona,1450.0,081228,2011
349,Menàrguens,546.0,251348,2011
350,Meranges,54.0,170998,2011
351,Mieres,28306.0,171058,2011
352,Miralcamp,938.0,251351,2011
353,Miravet,469.0,430846,2011
354,Moià,3714.0,081385,2011
355,Molins de Rei,16406.0,081234,2011
356,Mollerussa,10004.0,251370,2011
357,Mollet de Peralada,100.0,171061,2011
358,Mollet del Vallès,27026.355,081249,2011
359,Molló,218.0,171077,2011
360,Monistrol de Calders,445.0,081287,2011
361,Monistrol de Montserrat,1981.0,081271,2011
362,Montagut i Oix,635.0,171096,2011
363,Montblanc,4918.0,430862,2011
364,Montbrió del Camp,1685.0,430884,2011
365,Montcada i Reixac,23297.0,081252,2011
366,Montclar,66.0,081304,2011
367,Montellà i Martinet,459.0,251399,2011
368,Montesquiu,588.0,081311,2011
369,Montferrer i Castellbò,714.0,251403,2011
370,Montferri,243.0,430897,2011
371,Montgai,407.0,251386,2011
372,Montgat,7505.0,081265,2011
373,Montmajor,300.0,081326,2011
374,Montmaneu,116.0,081332,2011
375,Montmeló,5936.0,081350,2011
376,Montoliu de Lleida,328.0,251425,2011
377,Montoliu de Segarra,116.0,251410,2011
378,Montornès de Segarra,53.0,251431,2011
379,Montornès del Vallès,10932.0,081363,2011
380,Montseny,198.0,081379,2011
381,Muntanyola,400.0,081290,2011
382,Mura,156.0,081398,2011
383,Móra la Nova,2092.0,430944,2011
384,Nalec,55.0,251459,2011
385,Naut Aran,1255.0,250254,2011
386,Navarcles,3954.0,081402,2011
387,Navata,781.0,171117,2011
388,Navàs,3908.0,081419,2011
389,Navès,172.0,251462,2011
390,Nulles,288.0,430982,2011
391,Odèn,176.0,251484,2011
392,Ogassa,168.0,171122,2011
393,Olesa de Bonesvalls,1174.0,081461,2011
394,Olesa de Montserrat,15872.0,081477,2011
395,Oliana,1208.0,251497,2011
396,Oliola,140.0,251500,2011
397,Olius,560.0,251517,2011
398,Olivella,2519.0,081483,2011
399,Olost,758.0,081496,2011
400,Olot,21741.0,171143,2011
401,Olvan,562.0,081445,2011
402,Olèrdola,2355.0,081458,2011
403,Ordis,248.0,171156,2011
404,Organyà,550.0,251556,2011
405,Oristà,376.0,081516,2011
406,Orpí,109.0,081521,2011
407,Orís,207.0,081509,2011
408,Os de Balaguer,604.0,251569,2011
409,Osor,286.0,171169,2011
410,Ossó de Sió,130.0,251575,2011
411,Pacs del Penedès,590.0,081542,2011
412,Palafolls,6080.0,081555,2011
413,Palafrugell,14916.0,171175,2011
414,Palamós,11747.0,171181,2011
415,Palau de Santa Eulàlia,76.0,171194,2011
416,Pallejà,7520.0,081574,2011
417,Palol de Revardit,301.0,171236,2011
418,Pals,1714.0,171241,2011
419,Pardines,87.0,171254,2011
420,Parets del Vallès,12648.0,081593,2011
421,Parlavà,254.0,171267,2011
422,Passanant i Belltall,102.0,431016,2011
423,Pau,350.0,171289,2011
424,Paüls,356.0,431021,2011
425,Pedret i Marzà,110.0,171292,2011
426,Penelles,321.0,251641,2011
427,Perafita,246.0,081607,2011
428,Perafort,851.0,431037,2011
429,Peralada,1203.0,171328,2011
430,Peramola,221.0,251654,2011
431,Piera,9804.0,081614,2011
432,Pineda de Mar,17048.0,081635,2011
433,Pinell de Solsonès,124.0,251667,2011
434,Pinós,194.0,251673,2011
435,Pira,310.0,431074,2011
436,Planoles,204.0,171349,2011
437,Poboleda,236.0,431129,2011
438,Polinyà,5663.0,081672,2011
439,Pont de Molins,359.0,171352,2011
440,Pontils,98.0,431418,2011
441,Pontons,364.0,081688,2011
442,Ponts,1678.0,251728,2011
443,Pontós,140.0,171365,2011
444,Porqueres,2914.0,171371,2011
445,Porrera,293.0,431140,2011
446,Portbou,781.0,171387,2011
447,Pradell de la Teixeta,130.0,431153,2011
448,Prades,411.0,431166,2011
449,Prat de Comte,101.0,431172,2011
450,Pratdip,461.0,431188,2011
451,Prats de Lluçanès,1729.0,081712,2011
452,Prats i Sansor,198.0,251752,2011
453,Preixana,218.0,251765,2011
454,Preixens,248.0,251771,2011
455,Premià de Dalt,6942.0,082303,2011
456,Premià de Mar,18792.0,081727,2011
457,Prullans,149.0,251790,2011
458,Puigcerdà,5984.0,171411,2011
459,Puigdàlber,356.0,081748,2011
460,Puiggròs,194.0,251804,2011
461,Puigpelat,704.0,431191,2011
462,Puigverd de Lleida,906.0,251826,2011
463,Pujalt,126.0,081764,2011
464,Quart,2250.0,171426,2011
465,Queralbs,111.0,170433,2011
466,Querol,380.0,431205,2011
467,Rabós,119.0,171432,2011
468,Rajadell,360.0,081786,2011
469,Rasquera,511.0,431212,2011
470,Regencós,174.0,171447,2011
471,Rellinars,502.0,081799,2011
472,Renau,96.0,431227,2011
473,Reus,70.68900000000001,431233,2011
474,Rialp,464.0,251832,2011
475,Ribes de Freser,1159.0,171450,2011
476,Riells i Viabrea,2750.0,171463,2011
477,Riner,182.0,251863,2011
478,Ripoll,7015.0,171479,2011
479,Ripollet,25226.0,081803,2011
480,Riu de Cerdanya,91.0,259139,2011
481,Riudarenes,1401.0,171485,2011
482,Riudaura,281.0,171498,2011
483,Riudecanyes,714.0,431270,2011
484,Riudecols,857.0,431286,2011
485,Riudellots de la Selva,1350.0,171501,2011
486,Riudoms,4185.0,431299,2011
487,Riumors,148.0,171518,2011
488,Rocafort de Queralt,160.0,431303,2011
489,Roda de Ter,3965.0,081831,2011
490,Rodonyà,302.0,431325,2011
491,Roquetes,5490.0,431331,2011
492,Roses,13142.0,171523,2011
493,Rosselló,2072.0,251898,2011
494,Rubió,148.0,081859,2011
495,Rubí,21282.646,081846,2011
496,Rupit i Pruit,208.0,089019,2011
497,Rupià,160.0,171539,2011
498,Sabadell,135.723,081878,2011
499,Sagàs,84.0,081884,2011
500,Saldes,218.0,081901,2011
501,Sales de Llierca,104.0,171544,2011
502,Sallent,4226.0,081918,2011
503,Salomó,314.0,431359,2011
504,Salou,19433.0,439057,2011
505,Salt,19766.0,171557,2011
506,Salàs de Pallars,232.0,251902,2011
507,Sanaüja,257.0,251919,2011
508,Sant Adrià de Besòs,22184.0,081944,2011
509,Sant Agustí de Lluçanès,67.0,081957,2011
510,Sant Andreu Salou,98.0,171576,2011
511,Sant Andreu de Llavaneres,6935.0,081976,2011
512,Sant Andreu de la Barca,18398.0,081960,2011
513,Sant Aniol de Finestres,225.0,171833,2011
514,Sant Antoni de Vilamajor,3805.0,081982,2011
515,Sant Bartomeu del Grau,637.0,081995,2011
516,Sant Boi de Llobregat,13847.709000000004,082009,2011
517,Sant Boi de Lluçanès,335.0,082016,2011
518,Sant Carles de la Ràpita,9765.0,431362,2011
519,Sant Cebrià de Vallalta,2287.0,082037,2011
520,Sant Celoni,11201.0,082021,2011
521,Sant Climent Sescebes,357.0,171582,2011
522,Sant Climent de Llobregat,2637.0,082042,2011
523,Sant Cugat Sesgarrigues,607.0,082068,2011
524,Sant Cugat del Vallès,17404.243,082055,2011
525,Sant Esteve Sesrovires,4989.0,082080,2011
526,Sant Esteve de Palautordera,1668.0,082074,2011
527,Sant Esteve de la Sarga,91.0,251961,2011
528,Sant Feliu Sasserra,432.0,082129,2011
529,Sant Feliu de Buixalleu,536.0,171595,2011
530,Sant Feliu de Codines,3976.0,082107,2011
531,Sant Feliu de Guíxols,14395.0,171609,2011
532,Sant Feliu de Llobregat,28878.0,082114,2011
533,Sant Feliu de Pallerols,825.0,171616,2011
534,Sant Ferriol,150.0,171621,2011
535,Sant Fost de Campsentelles,5610.0,082093,2011
536,Sant Fruitós de Bages,5535.0,082135,2011
537,Sant Gregori,2173.0,171637,2011
538,Sant Guim de Freixenet,684.0,251924,2011
539,Sant Guim de la Plana,111.0,251977,2011
540,Sant Hilari Sacalm,3804.0,171642,2011
541,Sant Hipòlit de Voltregà,2308.0,082153,2011
542,Sant Iscle de Vallalta,850.0,081939,2011
543,Sant Jaume de Frontanyà,21.0,082166,2011
544,Sant Jaume de Llierca,460.0,171655,2011
545,Sant Jaume dels Domenys,1638.0,431378,2011
546,Sant Joan Despí,21786.0,082172,2011
547,Sant Joan de Mollet,327.0,171680,2011
548,Sant Joan de Vilatorrada,7057.0,082188,2011
549,Sant Joan de les Abadesses,2120.0,171674,2011
550,Sant Joan les Fonts,1827.0,171851,2011
551,Sant Jordi Desvalls,444.0,171668,2011
552,Sant Julià de Cerdanyola,161.0,089030,2011
553,Sant Julià de Ramis,2303.0,171693,2011
554,Sant Julià de Vilatorta,1985.0,082205,2011
555,Sant Julià del Llor i Bonmatí,839.0,179032,2011
556,Sant Just Desvern,10187.0,082212,2011
557,Sant Llorenç Savall,1543.0,082233,2011
558,Sant Llorenç de Morunys,634.0,251930,2011
559,Sant Llorenç de la Muga,152.0,171714,2011
560,Sant Martí Sarroca,2058.0,082270,2011
561,Sant Martí Sesgueioles,242.0,082286,2011
562,Sant Martí Vell,156.0,171735,2011
563,Sant Martí de Centelles,758.0,082248,2011
564,Sant Martí de Llémena,401.0,171729,2011
565,Sant Martí de Riucorb,387.0,259025,2011
566,Sant Martí de Tous,692.0,082264,2011
567,Sant Mateu de Bages,375.0,082299,2011
568,Sant Miquel de Campmajor,148.0,171740,2011
569,Sant Miquel de Fluvià,528.0,171753,2011
570,Sant Mori,141.0,171766,2011
571,Sant Pau de Segúries,423.0,171772,2011
572,Sant Pere Pescador,1437.0,171788,2011
573,Sant Pere Sallavinera,99.0,081897,2011
574,Sant Pere de Ribes,19864.0,082310,2011
575,Sant Pere de Riudebitlles,1472.0,082325,2011
576,Sant Pere de Torelló,1604.0,082331,2011
577,Sant Pere de Vilamajor,2799.0,082346,2011
578,Sant Pol de Mar,3342.0,082359,2011
579,Sant Quintí de Mediona,1297.0,082362,2011
580,Sant Quirze Safaja,447.0,082397,2011
581,Sant Quirze de Besora,1310.0,082378,2011
582,Sant Quirze del Vallès,13024.0,082384,2011
583,Sant Ramon,324.0,251945,2011
584,Sant Salvador de Guardiola,2013.0,080983,2011
585,Sant Vicenç de Castellet,6046.0,082628,2011
586,Sant Vicenç de Montalt,3743.0,082649,2011
587,Sant Vicenç de Torelló,1287.0,082652,2011
588,Sant Vicenç dels Horts,18840.0,082634,2011
589,Santa Bàrbara,2472.0,431384,2011
590,Santa Cecília de Voltregà,124.0,082439,2011
591,Santa Coloma de Cervelló,5232.0,082444,2011
592,Santa Coloma de Farners,8178.0,171805,2011
593,Santa Coloma de Gramenet,1972.9149999999995,082457,2011
594,Santa Coloma de Queralt,1856.0,431397,2011
595,Santa Eugènia de Berga,1580.0,082460,2011
596,Santa Eulàlia de Riuprimer,782.0,082476,2011
597,Santa Eulàlia de Ronçana,4561.0,082482,2011
598,Santa Fe del Penedès,250.0,082495,2011
599,Santa Margarida de Montbui,6424.0,082508,2011
600,Santa Margarida i els Monjos,4763.0,082515,2011
601,Santa Maria de Besora,84.0,082536,2011
602,Santa Maria de Martorelles,594.0,082567,2011
603,Santa Maria de Merlès,106.0,082554,2011
604,Santa Maria de Miralles,88.0,082573,2011
605,Santa Maria de Palautordera,6130.0,082592,2011
606,Santa Oliva,2162.0,431401,2011
607,Santa Pau,1064.0,171848,2011
608,Santa Perpètua de Mogoda,17279.0,082606,2011
609,Santa Susanna,2229.0,082613,2011
610,Santpedor,4777.0,081923,2011
611,Sarral,1039.0,431423,2011
612,Sarrià de Ter,3184.0,171864,2011
613,Sarroca de Bellera,85.0,252017,2011
614,Sarroca de Lleida,246.0,252000,2011
615,Savallà del Comtat,48.0,431439,2011
616,Senan,37.0,431460,2011
617,Senterada,104.0,252022,2011
618,Sentmenat,5820.0,082671,2011
619,Serinyà,736.0,171903,2011
620,Serra de Daró,124.0,171910,2011
621,Seròs,1211.0,252043,2011
622,Setcases,124.0,171925,2011
623,Seva,2214.0,082690,2011
624,Sidamon,476.0,252056,2011
625,Sils,3749.0,171931,2011
626,Sitges,19173.0,082704,2011
627,Siurana,98.0,170524,2011
628,Sobremunt,55.0,082711,2011
629,Solivella,378.0,431476,2011
630,Solsona,5956.0,252075,2011
631,Sora,129.0,082726,2011
632,Soriguera,248.0,252081,2011
633,Sort,1519.0,252094,2011
634,Soses,1153.0,252108,2011
635,Subirats,1935.0,082732,2011
636,Sudanell,607.0,252115,2011
637,Sunyer,184.0,252120,2011
638,Susqueda,68.0,171946,2011
639,Súria,3933.0,082747,2011
640,Tagamanent,208.0,082763,2011
641,Talamanca,108.0,082779,2011
642,Talarn,273.0,252154,2011
643,Talavera,173.0,252167,2011
644,Taradell,4015.0,082785,2011
645,Tarragona,89.22500000000001,431482,2011
646,Tarroja de Segarra,106.0,252192,2011
647,Tarrés,71.0,252189,2011
648,Tavertet,98.0,082802,2011
649,Tavèrnoles,208.0,082750,2011
650,Teià,4109.0,082819,2011
651,Terrades,193.0,171962,2011
652,Terrassa,142.36400000000003,082798,2011
653,Tiana,5485.0,082824,2011
654,Tiurana,43.0,252228,2011
655,Tivenys,531.0,431495,2011
656,Tivissa,1088.0,431508,2011
657,Tona,5230.0,082830,2011
658,Tordera,10831.0,082845,2011
659,Torelló,9138.0,082858,2011
660,Tornabous,571.0,252252,2011
661,Torrebesses,176.0,252265,2011
662,Torredembarra,10211.0,431536,2011
663,Torrefarrera,2965.0,252287,2011
664,Torrefeta i Florejacs,365.0,259078,2011
665,Torregrossa,1390.0,252304,2011
666,Torrelameu,474.0,252311,2011
667,Torrelavit,917.0,082877,2011
668,Torrelles de Foix,1544.0,082883,2011
669,Torrelles de Llobregat,3874.0,082896,2011
670,Torrent,17496.877999999997,171978,2011
671,Torres de Segre,1431.0,252326,2011
672,Torroella de Fluvià,481.0,171984,2011
673,Torroella de Montgrí,7507.0,171997,2011
674,Torroja del Priorat,102.0,431541,2011
675,Tortellà,476.0,172001,2011
676,Tortosa,22290.0,431554,2011
677,Torà,863.0,252234,2011
678,Toses,103.0,172018,2011
679,Tossa de Mar,3973.0,172023,2011
680,Tremp,3951.0,252347,2011
681,Tàrrega,11049.0,252173,2011
682,Térmens,1038.0,252206,2011
683,Tírvia,105.0,252213,2011
684,Ullastrell,1276.0,082900,2011
685,Ullastret,167.0,172057,2011
686,Ulldecona,4666.0,431567,2011
687,Ulldemolins,250.0,431573,2011
688,Ullà,709.0,172044,2011
689,Ultramort,124.0,172039,2011
690,Urús,138.0,172060,2011
691,Vacarisses,4077.0,082917,2011
692,Vall de Cardós,261.0,259010,2011
693,Vallbona de les Monges,151.0,252385,2011
694,Vallcebre,180.0,082938,2011
695,Vallclara,76.0,431589,2011
696,Vallfogona de Balaguer,1261.0,252402,2011
