,Codi,Literal,1,2,3,4,5,6 i més,Any
278,250870,Esterri de Cardós,6,7,2,5,4,1,2001
279,430555,Falset,202,245,177,184,61,26,2001
280,170059,"Far d'Empordà, el",38,34,28,24,9,8,2001
281,250899,Farrera,17,14,6,6,0,2,2001
282,430568,"Fatarella, la",79,112,87,85,32,21,2001
283,430574,"Febró, la",9,6,6,2,1,1,2001
284,081347,Figaró-Montmany,69,88,60,56,22,7,2001
285,080804,Fígols,8,7,2,4,1,0,2001
286,259084,Fígols i Alinyà,33,31,16,16,2,8,2001
287,430580,"Figuera, la",20,12,8,8,2,2,2001
288,170669,Figueres,2821,3479,2756,2239,693,369,2001
289,430593,Figuerola del Camp,21,35,25,26,2,1,2001
290,170675,Flaçà,77,84,79,58,16,11,2001
291,430607,Flix,267,375,341,313,89,34,2001
292,250925,"Floresta, la",21,24,14,8,4,3,2001
293,080826,Fogars de la Selva,57,92,47,63,23,9,2001
294,080811,Fogars de Montclús,24,32,23,15,11,12,2001
295,170681,Foixà,24,31,32,16,5,6,2001
296,080832,Folgueroles,81,171,137,132,51,12,2001
297,250931,Fondarella,27,45,46,54,27,11,2001
298,080847,Fonollosa,58,75,85,79,32,21,2001
299,170694,Fontanals de Cerdanya,51,37,17,27,12,10,2001
300,170708,Fontanilles,14,8,9,6,4,5,2001
301,170715,Fontcoberta,23,68,98,93,40,22,2001
302,080850,Font-rubí,80,105,94,81,38,27,2001
303,250946,Foradada,21,12,10,14,5,7,2001
304,179026,Forallac,123,133,120,113,48,24,2001
305,430614,Forès,7,9,6,3,0,1,2001
306,170736,Fornells de la Selva,86,103,109,140,48,29,2001
307,170741,Fortià,43,53,48,35,11,4,2001
308,080863,"Franqueses del Vallès, les",668,1187,1071,1061,298,135,2001
309,430629,Freginals,25,40,28,33,5,5,2001
310,250962,"Fuliola, la",80,101,96,82,33,25,2001
311,250978,Fulleda,6,10,9,8,6,0,2001
312,080902,Gaià,12,10,5,9,4,7,2001
313,430635,"Galera, la",74,83,53,46,20,10,2001
314,080879,Gallifa,19,13,12,14,6,3,2001
315,430640,Gandesa,175,208,190,201,76,47,2001
316,430653,Garcia,57,58,36,25,15,10,2001
317,430666,"Garidells, els",7,17,12,11,7,3,2001
318,080885,"Garriga, la",720,1126,984,965,262,123,2001
319,170754,Garrigàs,27,35,13,24,9,5,2001
320,170767,Garrigoles,17,12,12,10,3,4,2001
321,170773,Garriguella,73,77,56,30,18,16,2001
322,080898,Gavà,2176,3667,3505,3177,871,394,2001
323,250984,Gavet de la Conca,33,31,23,12,8,9,2001
324,080919,Gelida,313,504,376,317,100,51,2001
325,170789,Ger,58,32,22,23,9,7,2001
326,259123,Gimenells i el Pla de la Font,65,83,80,66,38,22,2001
327,430672,Ginestar,56,84,61,50,23,18,2001
328,170792,Girona,6671,7258,5772,5503,1648,837,2001
329,080924,Gironella,367,541,413,324,113,40,2001
330,080930,Gisclareny,7,2,3,2,0,0,2001
331,430688,Godall,72,78,69,35,14,11,2001
332,250997,Golmés,68,125,91,93,38,32,2001
333,170806,Gombrèn,28,25,17,14,6,2,2001
