,Any,Literal,Codi,Densitat comercial
103,2017,Bellmunt d'Urgell,250498,0
104,2017,Bellmunt del Priorat,430234,352
105,2017,Bellprat,080214,2324
106,2017,Bellpuig,250501,2206
107,2017,Bellvei,430249,5209
108,2017,Bellver de Cerdanya,250518,1722
109,2017,Bellvís,250523,2586
110,2017,Benavent de Segrià,250539,1207
111,2017,Benifallet,430252,678
112,2017,Benissanet,430265,380
113,2017,Berga,080229,3020
114,2017,Besalú,170195,2869
115,2017,Bescanó,170209,1711
116,2017,Beuda,170216,0
117,2017,Bigues i Riells,080235,686
118,2017,Biosca,250557,151
119,2017,"Bisbal d'Empordà, la",170221,3500
120,2017,"Bisbal de Falset, la",430271,300
121,2017,"Bisbal del Penedès, la",430287,467
122,2017,Biure,172348,3043
123,2017,Blancafort,430290,26
124,2017,Blanes,170237,2499
125,2017,Boadella i les Escaules,170293,577
126,2017,Bolvir,170242,345
127,2017,Bonastre,430304,301
128,2017,"Bòrdes, Es",250576,0
129,2017,Bordils,170255,1509
130,2017,"Borges Blanques, les",250582,1780
131,2017,"Borges del Camp, les",430311,877
132,2017,Borrassà,170268,1021
133,2017,Borredà,080240,1071
134,2017,Bossòst,250595,5804
135,2017,Bot,430326,519
136,2017,Botarell,430332,198
137,2017,Bovera,250560,211
138,2017,Bràfim,430347,237
139,2017,Breda,170274,1433
140,2017,"Bruc, el",080253,1634
141,2017,"Brull, el",080266,0
142,2017,Brunyola,170280,2000
143,2017,Cabacés,430350,489
144,2017,Cabanabona,250609,62
145,2017,Cabanelles,170314,362
146,2017,Cabanes,170307,2156
147,2017,"Cabanyes, les",080272,1528
148,2017,Cabó,250616,0
149,2017,Cabra del Camp,430363,299
150,2017,Cabrera d'Anoia,080288,1570
151,2017,Cabrera de Mar,080291,9665
152,2017,Cabrils,080305,1001
153,2017,Cadaqués,170329,1824
154,2017,Calaf,080312,1565
155,2017,Calafell,430379,1777
156,2017,Calders,080348,1030
157,2017,Caldes d'Estrac,080327,348
158,2017,Caldes de Malavella,170335,740
159,2017,Caldes de Montbui,080333,2122
160,2017,Calella,080351,2297
161,2017,Calldetenes,080370,887
162,2017,Callús,080386,693
163,2017,Calonge,080364,2103
164,2017,Calonge de Segarra,170340,66
165,2017,Camarasa,250621,1108
166,2017,Camarles,439039,1816
167,2017,Cambrils,430385,1626
168,2017,Camós,170353,185
169,2017,Campdevànol,170366,2990
170,2017,Campelles,170372,0
171,2017,Campins,080399,18
172,2017,Campllong,170388,1246
173,2017,Camprodon,170391,2606
174,2017,Canejan,250637,0
175,2017,Canet d'Adri,170405,376
176,2017,Canet de Mar,080403,1207
177,2017,"Canonja, la",439076,1537
178,2017,Canovelles,080410,1422
179,2017,Cànoves i Samalús,080425,361
180,2017,Cantallops,170412,0
181,2017,Canyelles,080431,846
182,2017,Capafonts,430398,1598
183,2017,Capçanes,430402,337
184,2017,Capellades,080446,1274
185,2017,Capmany,170427,1722
186,2017,Capolat,080459,0
187,2017,Cardedeu,080462,1903
188,2017,Cardona,080478,2209
189,2017,Carme,080484,521
190,2017,Caseres,430419,885
191,2017,Cassà de la Selva,170448,1621
192,2017,Casserres,080497,1186
193,2017,Castell de l'Areny,080575,246
194,2017,Castell de Mur,259046,0
195,2017,Castell-Platja d'Aro,170486,6672
196,2017,Castellar de la Ribera,250642,0
197,2017,Castellar de n'Hug,080522,1811
198,2017,Castellar del Riu,080500,614
199,2017,Castellar del Vallès,080517,1818
200,2017,Castellbell i el Vilar,080538,1315
201,2017,Castellbisbal,080543,1766
202,2017,Castellcir,080556,481
203,2017,Castelldans,250674,1021
204,2017,Castelldefels,080569,1741
205,2017,Castellet i la Gornal,080581,1543
206,2017,Castellfollit de la Roca,170464,951
207,2017,Castellfollit de Riubregós,080608,750
208,2017,Castellfollit del Boix,080594,280
209,2017,Castellgalí,080615,445
210,2017,Castellnou de Bages,080620,37
211,2017,Castellnou de Seana,250680,392
212,2017,Castelló d'Empúries,170470,4510
213,2017,Castelló de Farfanya,250693,260
214,2017,Castellolí,080636,977
215,2017,Castellserà,250707,1071
216,2017,Castellterçol,080641,1099
217,2017,Castellvell del Camp,430424,130
218,2017,Castellví de la Marca,080654,824
219,2017,Castellví de Rosanes,080667,372
220,2017,"Catllar, el",430430,1918
221,2017,Cava,250714,0
222,2017,"Cellera de Ter, la",171899,2817
223,2017,Celrà,170499,1695
224,2017,Centelles,080673,1587
225,2017,Cercs,082687,589
226,2017,Cerdanyola del Vallès,082665,1325
227,2017,Cervelló,080689,863
228,2017,Cervera,250729,2239
229,2017,Cervià de les Garrigues,250735,555
230,2017,Cervià de Ter,170502,428
231,2017,Cistella,170519,145
232,2017,Ciutadilla,250740,1272
233,2017,Clariana de Cardener,250753,276
234,2017,"Cogul, el",250766,568
235,2017,Colera,170545,734
236,2017,Coll de Nargó,250772,1932
237,2017,Collbató,080692,578
238,2017,Colldejou,430458,0
239,2017,Collsuspina,080706,447
240,2017,Colomers,170558,50
241,2017,"Coma i la Pedra, la",251636,394
242,2017,Conca de Dalt,251615,240
243,2017,Conesa,430461,0
244,2017,Constantí,430477,1633
245,2017,Copons,080713,491
246,2017,Corbera d'Ebre,430483,1260
247,2017,Corbera de Llobregat,080728,830
248,2017,Corbins,250788,874
249,2017,Corçà,170577,2018
250,2017,Cornellà de Llobregat,080734,2211
251,2017,Cornellà del Terri,170561,1791
252,2017,Cornudella de Montsant,430496,1595
253,2017,Creixell,430509,1340
254,2017,Crespià,170583,54
255,2017,"Cruïlles, Monells i Sant Sadurní de l'Heura",179011,194
256,2017,Cubelles,080749,1780
257,2017,Cubells,250791,343
258,2017,Cunit,430516,1057
259,2017,Darnius,170600,477
260,2017,Das,170617,1175
261,2017,Deltebre,439018,2366
262,2017,Dosrius,080752,580
263,2017,Duesaigües,430537,749
264,2017,"Escala, l'",170622,3059
265,2017,Esparreguera,080765,1369
266,2017,Espinelves,170638,818
267,2017,"Espluga Calba, l'",250812,471
268,2017,"Espluga de Francolí, l'",430542,1593
269,2017,Esplugues de Llobregat,080771,1323
270,2017,Espolla,170643,480
271,2017,Esponellà,170656,164
272,2017,Espot,250827,589
273,2017,"Espunyola, l'",080787,896
274,2017,"Esquirol, l'",082541,638
275,2017,Estamariu,250886,0
276,2017,"Estany, l'",080790,341
277,2017,Estaràs,250851,0
278,2017,Esterri d'Àneu,250864,2817
279,2017,Esterri de Cardós,250870,0
280,2017,Falset,430555,2325
281,2017,"Far d'Empordà, el",170059,1083
282,2017,Farrera,250899,0
283,2017,"Fatarella, la",430568,721
284,2017,"Febró, la",430574,1357
285,2017,Figaró-Montmany,081347,568
286,2017,Fígols,080804,0
287,2017,Fígols i Alinyà,259084,0
288,2017,"Figuera, la",430580,0
289,2017,Figueres,170669,3488
290,2017,Figuerola del Camp,430593,1406
291,2017,Flaçà,170675,711
292,2017,Flix,430607,2439
293,2017,"Floresta, la",250925,645
294,2017,Fogars de la Selva,080826,1141
295,2017,Fogars de Montclús,080811,129
296,2017,Foixà,170681,831
297,2017,Folgueroles,080832,544
298,2017,Fondarella,250931,4118
299,2017,Fonollosa,080847,217
300,2017,Font-rubí,080850,333
301,2017,Fontanals de Cerdanya,170694,290
302,2017,Fontanilles,170708,993
303,2017,Fontcoberta,170715,887
304,2017,Foradada,250946,0
305,2017,Forallac,179026,6450
306,2017,Forès,430614,0
307,2017,Fornells de la Selva,170736,8254
308,2017,Fortià,170741,5723
309,2017,"Franqueses del Vallès, les",080863,2191
310,2017,Freginals,430629,322
311,2017,"Fuliola, la",250962,1758
312,2017,Fulleda,250978,0
313,2017,Gaià,080902,321
314,2017,"Galera, la",430635,1524
315,2017,Gallifa,080879,0
316,2017,Gandesa,430640,2684
317,2017,Garcia,430653,557
318,2017,"Garidells, els",430666,129
319,2017,"Garriga, la",080885,2007
320,2017,Garrigàs,170754,2755
321,2017,Garrigoles,170767,198
322,2017,Garriguella,170773,573
323,2017,Gavà,080898,2258
324,2017,Gavet de la Conca,250984,0
325,2017,Gelida,080919,922
326,2017,Ger,170789,856
327,2017,Gimenells i el Pla de la Font,259123,1711
328,2017,Ginestar,430672,444
329,2017,Girona,170792,2703
330,2017,Gironella,080924,1713
331,2017,Gisclareny,080930,0
332,2017,Godall,430688,620
333,2017,Golmés,250997,11089
334,2017,Gombrèn,170806,854
335,2017,Gósol,251001,446
336,2017,"Granada, la",080945,1862
337,2017,"Granadella, la",251018,902
338,2017,Granera,080958,0
339,2017,"Granja d'Escarp, la",251023,592
340,2017,Granollers,080961,3091
341,2017,Granyanella,251039,48027
342,2017,Granyena de les Garrigues,251057,38
343,2017,Granyena de Segarra,251044,0
344,2017,Gratallops,430691,1540
345,2017,Gualba,080977,888
346,2017,Gualta,170813,3487
347,2017,Guardiola de Berguedà,080996,1625
348,2017,"Guiamets, els",430705,0
349,2017,Guils de Cerdanya,170828,179
350,2017,Guimerà,251095,3286
351,2017,"Guingueta d'Àneu, la",259031,0
352,2017,Guissona,251109,1284
353,2017,Guixers,251116,0
354,2017,Gurb,081000,3837
355,2017,Horta de Sant Joan,430712,1560
356,2017,"Hospitalet de Llobregat, l'",081017,1427
357,2017,"Hostalets de Pierola, els",081629,652
358,2017,Hostalric,170834,1678
359,2017,Igualada,081022,3034
360,2017,Isona i Conca Dellà,251155,1056
361,2017,Isòvol,170849,0
362,2017,Ivars d'Urgell,251137,883
363,2017,Ivars de Noguera,251121,69
364,2017,Ivorra,251142,0
365,2017,Jafre,170852,570
366,2017,"Jonquera, la",170865,24411
367,2017,Jorba,081038,1999
368,2017,Josa i Tuixén,259101,296
369,2017,Juià,170871,437
370,2017,Juncosa,251180,1159
371,2017,Juneda,251193,1164
372,2017,Les,251214,6095
373,2017,Linyola,251229,890
374,2017,"Llacuna, la",081043,535
375,2017,Lladó,170887,294
376,2017,Lladorre,251235,267
377,2017,Lladurs,251240,1339
378,2017,"Llagosta, la",081056,1074
379,2017,Llagostera,170890,1643
380,2017,Llambilles,170904,2475
381,2017,Llanars,170911,732
382,2017,Llançà,170926,2231
383,2017,Llardecans,251253,1770
384,2017,Llavorsí,251266,2412
385,2017,Lleida,251207,2596
386,2017,Llers,170932,5298
387,2017,Lles de Cerdanya,251272,953
388,2017,Lliçà d'Amunt,081075,881
389,2017,Lliçà de Vall,081081,3308
390,2017,Llimiana,251288,458
391,2017,Llinars del Vallès,081069,2474
392,2017,Llívia,170947,1427
393,2017,"Lloar, el",430727,444
394,2017,Llobera,251291,428
395,2017,Llorac,430733,0
396,2017,Llorenç del Penedès,430748,1576
397,2017,Lloret de Mar,170950,2654
398,2017,"Llosses, les",170963,119
399,2017,Lluçà,081094,308
400,2017,Maçanet de Cabrenys,171024,1289
401,2017,Maçanet de la Selva,171030,1617
402,2017,Madremanya,170979,0
403,2017,Maià de Montcal,170985,137
404,2017,Maials,251333,657
405,2017,Maldà,251305,811
406,2017,Malgrat de Mar,081108,1808
407,2017,Malla,081115,39795
408,2017,Manlleu,081120,1754
409,2017,Manresa,081136,3008
410,2017,Marçà,430764,679
411,2017,Margalef,430751,723
412,2017,Marganell,082423,0
413,2017,Martorell,081141,2535
414,2017,Martorelles,081154,1690
415,2017,Mas de Barberans,430770,545
416,2017,Masarac,171002,774
417,2017,Masdenverge,430786,970
418,2017,"Masies de Roda, les",081167,1451
419,2017,"Masies de Voltregà, les",081173,1220
420,2017,Masllorenç,430799,7550
421,2017,"Masnou, el",081189,1403
422,2017,"Masó, la",430803,0
423,2017,Maspujols,430810,243
424,2017,Masquefa,081192,1652
425,2017,"Masroig, el",430825,557
426,2017,Massalcoreig,251312,325
427,2017,Massanes,171019,119
428,2017,Massoteres,251327,0
429,2017,Matadepera,081206,565
430,2017,Mataró,081213,2231
431,2017,Mediona,081228,687
432,2017,Menàrguens,251348,283
433,2017,Meranges,170998,0
434,2017,Mieres,171058,53
435,2017,"Milà, el",430831,71
436,2017,Miralcamp,251351,289
437,2017,Miravet,430846,968
438,2017,Moià,081385,1630
439,2017,"Molar, el",430859,1112
440,2017,Molins de Rei,081234,2043
441,2017,Mollerussa,251370,2770
442,2017,Mollet de Peralada,171061,0
443,2017,Mollet del Vallès,081249,1973
444,2017,Molló,171077,149
445,2017,"Molsosa, la",251364,0
446,2017,Monistrol de Calders,081287,510
447,2017,Monistrol de Montserrat,081271,1442
448,2017,Mont-ral,430918,0
449,2017,Mont-ras,171100,5183
450,2017,Mont-roig del Camp,430923,1938
451,2017,Montagut i Oix,171096,381
452,2017,Montblanc,430862,2702
453,2017,Montbrió del Camp,430884,2247
454,2017,Montcada i Reixac,081252,1529
455,2017,Montclar,081304,0
456,2017,Montellà i Martinet,251399,1096
457,2017,Montesquiu,081311,552
458,2017,Montferrer i Castellbò,251403,6245
459,2017,Montferri,430897,134
460,2017,Montgai,251386,275
461,2017,Montgat,081265,923
462,2017,Montmajor,081326,255
463,2017,Montmaneu,081332,2026
464,2017,"Montmell, el",430901,221
465,2017,Montmeló,081350,1327
466,2017,Montoliu de Lleida,251425,514
467,2017,Montoliu de Segarra,251410,169
468,2017,Montornès de Segarra,251431,0
469,2017,Montornès del Vallès,081363,1482
470,2017,Montseny,081379,1907
471,2017,Móra d'Ebre,430939,3401
472,2017,Móra la Nova,430944,2138
473,2017,"Morell, el",430957,1262
474,2017,"Morera de Montsant, la",430960,734
475,2017,Muntanyola,081290,113
476,2017,Mura,081398,1656
477,2017,Nalec,251459,426
478,2017,Naut Aran,250254,2203
479,2017,Navarcles,081402,1190
480,2017,Navàs,081419,1698
481,2017,Navata,171117,305
482,2017,Navès,251462,0
483,2017,"Nou de Berguedà, la",081424,96
484,2017,"Nou de Gaià, la",430976,872
485,2017,Nulles,430982,634
486,2017,Odèn,251484,707
487,2017,Òdena,081430,2506
488,2017,Ogassa,171122,123
489,2017,Olèrdola,081458,5935
490,2017,Olesa de Bonesvalls,081461,493
491,2017,Olesa de Montserrat,081477,1460
492,2017,Oliana,251497,4139
493,2017,Oliola,251500,0
494,2017,Olius,251517,863
495,2017,Olivella,081483,389
496,2017,Olost,081496,860
497,2017,Olot,171143,2311
498,2017,"Oluges, les",251522,0
499,2017,Olvan,081445,4171
500,2017,"Omellons, els",251538,0
501,2017,"Omells de na Gaia, els",251543,0
502,2017,Ordis,171156,137
503,2017,Organyà,251556,1496
504,2017,Orís,081509,0
505,2017,Oristà,081516,559
506,2017,Orpí,081521,0
507,2017,Òrrius,081537,307
508,2017,Os de Balaguer,251569,630
509,2017,Osor,171169,133
510,2017,Ossó de Sió,251575,0
511,2017,Pacs del Penedès,081542,980
512,2017,Palafolls,081555,1542
513,2017,Palafrugell,171175,2575
514,2017,Palamós,171181,3196
515,2017,"Palau d'Anglesola, el",251581,895
516,2017,Palau de Santa Eulàlia,171194,719
517,2017,Palau-sator,171215,912
518,2017,Palau-saverdera,171208,420
519,2017,Palau-solità i Plegamans,081568,1899
520,2017,"Pallaresos, els",431009,637
521,2017,Pallejà,081574,1113
522,2017,"Palma d'Ebre, la",430995,1062
523,2017,"Palma de Cervelló, la",089058,2707
524,2017,Palol de Revardit,171236,2786
525,2017,Pals,171241,1548
526,2017,"Papiol, el",081580,1687
527,2017,Pardines,171254,0
528,2017,Parets del Vallès,081593,1925
529,2017,Parlavà,171267,2470
530,2017,Passanant i Belltall,431016,0
531,2017,Pau,171289,845
532,2017,Paüls,431021,506
533,2017,Pedret i Marzà,171292,3323
534,2017,Penelles,251641,1248
535,2017,"Pera, la",171306,1586
536,2017,Perafita,081607,333
537,2017,Perafort,431037,2122
538,2017,Peralada,171328,477
539,2017,Peramola,251654,493
540,2017,"Perelló, el",431042,1365
541,2017,Piera,081614,1310
542,2017,"Piles, les",431055,0
543,2017,Pineda de Mar,081635,1758
544,2017,"Pinell de Brai, el",431068,1624
545,2017,Pinell de Solsonès,251667,616
546,2017,Pinós,251673,0
547,2017,Pira,431074,386
548,2017,"Pla de Santa Maria, el",431080,811
549,2017,"Pla del Penedès, el",081640,1579
550,2017,"Planes d'Hostoles, les",171334,915
551,2017,Planoles,171349,271
552,2017,"Plans de Sió, els",259118,957
553,2017,"Poal, el",251689,859
554,2017,"Pobla de Cérvoles, la",251692,222
555,2017,"Pobla de Claramunt, la",081653,1564
556,2017,"Pobla de Lillet, la",081666,997
557,2017,"Pobla de Mafumet, la",431093,1150
558,2017,"Pobla de Massaluca, la",431107,812
559,2017,"Pobla de Montornès, la",431114,312
560,2017,"Pobla de Segur, la",251713,3245
561,2017,Poboleda,431129,792
562,2017,Polinyà,081672,1410
563,2017,"Pont d'Armentera, el",431135,1729
564,2017,"Pont de Bar, el",250306,199
565,2017,Pont de Molins,171352,1782
566,2017,"Pont de Suert, el",251734,2202
567,2017,"Pont de Vilomara i Rocafort, el",081825,897
568,2017,Pontils,431418,0
569,2017,Pontons,081688,379
570,2017,Pontós,171365,538
571,2017,Ponts,251728,2153
572,2017,Porqueres,171371,897
573,2017,Porrera,431140,773
574,2017,"Port de la Selva, el",171404,3303
575,2017,Portbou,171387,2743
576,2017,"Portella, la",251749,1088
577,2017,Pradell de la Teixeta,431153,503
578,2017,Prades,431166,922
579,2017,Prat de Comte,431172,276
580,2017,"Prat de Llobregat, el",081691,2296
581,2017,Pratdip,431188,735
582,2017,Prats de Lluçanès,081712,2011
583,2017,"Prats de Rei, els",081705,1645
584,2017,Prats i Sansor,251752,8711
585,2017,Preixana,251765,756
586,2017,Preixens,251771,169
587,2017,Premià de Dalt,082303,918
588,2017,Premià de Mar,081727,1151
589,2017,"Preses, les",171390,5943
590,2017,Prullans,251790,1491
591,2017,Puig-reig,081751,1912
592,2017,Puigcerdà,171411,3091
593,2017,Puigdàlber,081748,512
594,2017,Puiggròs,251804,154
595,2017,Puigpelat,431191,916
596,2017,Puigverd d'Agramunt,251811,0
597,2017,Puigverd de Lleida,251826,581
598,2017,Pujalt,081764,246
599,2017,"Quar, la",081770,0
600,2017,Quart,171426,1149
601,2017,Queralbs,170433,131
602,2017,Querol,431205,0
603,2017,Rabós,171432,514
604,2017,Rajadell,081786,1340
605,2017,Rasquera,431212,1577
606,2017,Regencós,171447,9090
607,2017,Rellinars,081799,180
608,2017,Renau,431227,0
609,2017,Reus,431233,2654
610,2017,Rialp,251832,1467
611,2017,Riba-roja d'Ebre,431251,1159
612,2017,"Riba, la",431248,212
613,2017,Ribera d'Ondara,259059,236
614,2017,Ribera d'Urgellet,251850,183
615,2017,Ribes de Freser,171450,977
616,2017,Riells i Viabrea,171463,745
617,2017,"Riera de Gaià, la",431264,905
618,2017,Riner,251863,0
619,2017,Ripoll,171479,2104
620,2017,Ripollet,081803,1469
621,2017,Riu de Cerdanya,259139,0
622,2017,Riudarenes,171485,887
623,2017,Riudaura,171498,267
624,2017,Riudecanyes,431270,537
625,2017,Riudecols,431286,1193
626,2017,Riudellots de la Selva,171501,4527
627,2017,Riudoms,431299,3022
628,2017,Riumors,171518,459
629,2017,"Roca del Vallès, la",081810,2860
630,2017,Rocafort de Queralt,431303,465
631,2017,Roda de Berà,431310,4073
632,2017,Roda de Ter,081831,873
633,2017,Rodonyà,431325,6604
634,2017,Roquetes,431331,1218
635,2017,Roses,171523,2429
636,2017,Rosselló,251898,747
637,2017,"Rourell, el",431346,0
638,2017,Rubí,081846,1350
639,2017,Rubió,081859,187
640,2017,Rupià,171539,1837
641,2017,Rupit i Pruit,089019,1452
642,2017,Sabadell,081878,2057
643,2017,Sagàs,081884,110
644,2017,Salàs de Pallars,251902,228
645,2017,Saldes,081901,2167
646,2017,Sales de Llierca,171544,0
647,2017,Sallent,081918,2413
648,2017,Salomó,431359,494
649,2017,Salou,439057,1712
650,2017,Salt,171557,2078
651,2017,Sanaüja,251919,908
652,2017,Sant Adrià de Besòs,081944,1676
653,2017,Sant Agustí de Lluçanès,081957,1244
654,2017,Sant Andreu de la Barca,081960,1431
655,2017,Sant Andreu de Llavaneres,081976,1322
656,2017,Sant Andreu Salou,171576,813
657,2017,Sant Aniol de Finestres,171833,314
658,2017,Sant Antoni de Vilamajor,081982,1100
659,2017,Sant Bartomeu del Grau,081995,62
660,2017,Sant Boi de Llobregat,082009,2120
661,2017,Sant Boi de Lluçanès,082016,948
662,2017,Sant Carles de la Ràpita,431362,2020
663,2017,Sant Cebrià de Vallalta,082037,1063
664,2017,Sant Celoni,082021,2659
665,2017,Sant Climent de Llobregat,082042,405
666,2017,Sant Climent Sescebes,171582,409
667,2017,Sant Cugat del Vallès,082055,1705
668,2017,Sant Cugat Sesgarrigues,082068,6973
669,2017,Sant Esteve de la Sarga,251961,0
670,2017,Sant Esteve de Palautordera,082074,795
671,2017,Sant Esteve Sesrovires,082080,1333
672,2017,Sant Feliu de Buixalleu,171595,2516
673,2017,Sant Feliu de Codines,082107,791
674,2017,Sant Feliu de Guíxols,171609,1944
675,2017,Sant Feliu de Llobregat,082114,1386
676,2017,Sant Feliu de Pallerols,171616,545
677,2017,Sant Feliu Sasserra,082129,551
678,2017,Sant Ferriol,171621,715
679,2017,Sant Fost de Campsentelles,082093,941
680,2017,Sant Fruitós de Bages,082135,4202
681,2017,Sant Gregori,171637,925
682,2017,Sant Guim de Freixenet,251924,1932
683,2017,Sant Guim de la Plana,251977,0
684,2017,Sant Hilari Sacalm,171642,1740
685,2017,Sant Hipòlit de Voltregà,082153,1074
686,2017,Sant Iscle de Vallalta,081939,2059
687,2017,Sant Jaume d'Enveja,439023,1094
688,2017,Sant Jaume de Frontanyà,082166,433
689,2017,Sant Jaume de Llierca,171655,2219
690,2017,Sant Jaume dels Domenys,431378,1693
691,2017,Sant Joan de les Abadesses,171674,1253
692,2017,Sant Joan de Mollet,171680,295
693,2017,Sant Joan de Vilatorrada,082188,1586
694,2017,Sant Joan Despí,082172,1282
695,2017,Sant Joan les Fonts,171851,1283
696,2017,Sant Jordi Desvalls,171668,1040
697,2017,Sant Julià de Cerdanyola,089030,219
698,2017,Sant Julià de Ramis,171693,1779
699,2017,Sant Julià de Vilatorta,082205,388
700,2017,Sant Julià del Llor i Bonmatí,179032,379
701,2017,Sant Just Desvern,082212,1240
702,2017,Sant Llorenç d'Hortons,082227,1463
703,2017,Sant Llorenç de la Muga,171714,203
704,2017,Sant Llorenç de Morunys,251930,1756
705,2017,Sant Llorenç Savall,082233,879
706,2017,Sant Martí d'Albars,082251,0
707,2017,Sant Martí de Centelles,082248,563
708,2017,Sant Martí de Llémena,171729,78
709,2017,Sant Martí de Riucorb,259025,172
710,2017,Sant Martí de Tous,082264,1303
711,2017,Sant Martí Sarroca,082270,2203
712,2017,Sant Martí Sesgueioles,082286,596
713,2017,Sant Martí Vell,171735,0
714,2017,Sant Mateu de Bages,082299,571
715,2017,Sant Miquel de Campmajor,171740,0
716,2017,Sant Miquel de Fluvià,171753,4855
717,2017,Sant Mori,171766,491
718,2017,Sant Pau de Segúries,171772,902
719,2017,Sant Pere de Ribes,082310,1771
720,2017,Sant Pere de Riudebitlles,082325,1623
721,2017,Sant Pere de Torelló,082331,487
722,2017,Sant Pere de Vilamajor,082346,266
723,2017,Sant Pere Pescador,171788,4068
724,2017,Sant Pere Sallavinera,081897,3699
725,2017,Sant Pol de Mar,082359,1246
726,2017,Sant Quintí de Mediona,082362,958
727,2017,Sant Quirze de Besora,082378,1641
728,2017,Sant Quirze del Vallès,082384,2261
729,2017,Sant Quirze Safaja,082397,110
730,2017,Sant Ramon,251945,2690
731,2017,Sant Sadurní d'Anoia,082401,1725
732,2017,Sant Sadurní d'Osormort,082418,0
733,2017,Sant Salvador de Guardiola,080983,383
734,2017,Sant Vicenç de Castellet,082628,1050
735,2017,Sant Vicenç de Montalt,082649,1281
736,2017,Sant Vicenç de Torelló,082652,350
737,2017,Sant Vicenç dels Horts,082634,1551
738,2017,Santa Bàrbara,431384,1755
739,2017,Santa Cecília de Voltregà,082439,0
740,2017,Santa Coloma de Cervelló,082444,782
741,2017,Santa Coloma de Farners,171805,1684
742,2017,Santa Coloma de Gramenet,082457,1242
743,2017,Santa Coloma de Queralt,431397,2080
744,2017,Santa Cristina d'Aro,171812,1453
745,2017,Santa Eugènia de Berga,082460,1020
746,2017,Santa Eulàlia de Riuprimer,082476,547
