,Codi,Literal,Any,Total,Homes,Dones,0-14 Anys,15-64 Anys,64 o més,Índex d'envelliment,Índex de sobreenvelliment,Saldo migratori total,Immigracions,Emigracions
223,080673,Centelles,2000,5793,2851,2942,777,3889,1127,,,,,
224,082687,Cercs,2000,1454,727,727,168,909,377,,,,,
225,082665,Cerdanyola del Vallès,2000,52778,26403,26375,7811,39553,5414,66.0,9.0,,,
226,080689,Cervelló,2000,6064,3033,3031,949,4481,634,,,,,
227,250729,Cervera,2000,7437,3659,3778,1142,4858,1437,,,,,
228,250735,Cervià de les Garrigues,2000,845,438,407,74,494,277,,,,,
229,170502,Cervià de Ter,2000,607,306,301,67,366,174,,,,,
230,170519,Cistella,2000,231,115,116,26,148,57,,,,,
231,250740,Ciutadilla,2000,213,108,105,16,129,68,,,,,
232,250753,Clariana de Cardener,2000,145,75,70,21,98,26,,,,,
233,250766,"Cogul, el",2000,232,121,111,18,132,82,,,,,
234,170545,Colera,2000,592,310,282,58,380,154,,,,,
235,250772,Coll de Nargó,2000,606,323,283,71,361,174,,,,,
236,080692,Collbató,2000,2099,1124,975,312,1527,260,,,,,
237,430458,Colldejou,2000,198,108,90,24,135,39,,,,,
238,080706,Collsuspina,2000,254,137,117,30,190,34,,,,,
239,170558,Colomers,2000,196,100,96,12,118,66,,,,,
240,251636,"Coma i la Pedra, la",2000,240,147,93,21,162,57,,,,,
241,251615,Conca de Dalt,2000,419,218,201,36,237,146,,,,,
242,430461,Conesa,2000,116,63,53,8,70,38,,,,,
243,430477,Constantí,2000,5021,2599,2422,725,3560,736,,,,,
244,080713,Copons,2000,271,128,143,18,164,89,,,,,
245,430483,Corbera d'Ebre,2000,1056,543,513,131,633,292,,,,,
246,080728,Corbera de Llobregat,2000,9090,4636,4454,1637,6582,871,,,,,
247,250788,Corbins,2000,1055,537,518,126,678,251,,,,,
248,170577,Corçà,2000,1153,574,579,135,810,208,,,,,
