,Any,Zones verdes,Literal,Codi
153,2012,12.7308,Sant Salvador de Guardiola,080983
154,2012,40.7381,Esplugues de Llobregat,080771
155,2012,1.0104,Lluçà,081094
156,2012,0.4779,Meranges,170998
157,2012,1.9785,Mont-ras,171100
158,2012,0.2073,Masarac,171002
159,2012,1.7346,Montagut i Oix,171096
160,2012,8.1796,Maçanet de Cabrenys,171024
161,2012,0.1242,Mollet de Peralada,171061
162,2012,83.677,Maçanet de la Selva,171030
163,2012,4.4867,Molló,171077
164,2012,5.1088,Llívia,170947
165,2012,1.6605,Mieres,171058
166,2012,1.4754,Massanes,171019
167,2012,4.8154,Maià de Montcal,170985
168,2012,0.0,Madremanya,170979
169,2012,5.6532,Llanars,170911
170,2012,120.3032,Lloret de Mar,170950
171,2012,2.8643,Llers,170932
172,2012,33.2335,Llançà,170926
173,2012,0.4398,Navata,171117
174,2012,4.427,"Planes d'Hostoles, les",171334
175,2012,2.0664,Llambilles,170904
176,2012,16.4395,Llagostera,170890
177,2012,0.6168,"Llosses, les",170963
178,2012,0.3436,Pardines,171254
179,2012,49.7335,Castelló d'Empúries,170470
180,2012,1.1066,Lladó,170887
181,2012,5.8264,"Preses, les",171390
182,2012,2.5094,Portbou,171387
183,2012,19.5349,Porqueres,171371
184,2012,0.9075,Pontós,171365
185,2012,0.1067,Pont de Molins,171352
186,2012,2.8192,Planoles,171349
187,2012,10.1971,Peralada,171328
188,2012,0.1317,Pedret i Marzà,171292
189,2012,0.5171,"Pera, la",171306
190,2012,0.4691,Parlavà,171267
191,2012,4.6844,Ogassa,171122
192,2012,13.7289,Pals,171241
193,2012,0.879,Palol de Revardit,171236
194,2012,1.8486,Palau-sator,171215
195,2012,1.3105,Palau-saverdera,171208
196,2012,0.1492,Palau de Santa Eulàlia,171194
197,2012,31.0623,Palamós,171181
198,2012,67.8074,Palafrugell,171175
199,2012,1.0294,Osor,171169
200,2012,2.2609,Ordis,171156
201,2012,40.3128,Olot,171143
202,2012,4.2244,Pau,171289
203,2012,0.8636,Castellfollit de la Roca,170464
204,2012,5.1222,Das,170617
205,2012,0.2546,Darnius,170600
206,2012,0.6109,Crespià,170583
207,2012,0.8178,Corçà,170577
208,2012,4.9368,Cornellà del Terri,170561
209,2012,0.2565,Colomers,170558
210,2012,2.0535,Colera,170545
211,2012,0.2583,Siurana,170524
212,2012,2.1844,Cistella,170519
213,2012,8.3869,Celrà,170499
214,2012,113.4749,Castell-Platja d'Aro,170486
215,2012,0.243,Espolla,170643
216,2012,11.4017,Cassà de la Selva,170448
217,2012,0.7133,Queralbs,170433
218,2012,1.559,Capmany,170427
219,2012,1.115,Cantallops,170412
220,2012,0.3077,Canet d'Adri,170405
221,2012,21.5294,Camprodon,170391
222,2012,5.3924,Campllong,170388
223,2012,9.0135,"Port de la Selva, el",171404
224,2012,1.2194,Torroella de Fluvià,171984
225,2012,5.1254,Cervià de Ter,170502
226,2012,0.3884,Garrigàs,170754
227,2012,11.3601,"Jonquera, la",170865
228,2012,0.0928,Jafre,170852
229,2012,1.8286,Isòvol,170849
230,2012,10.7222,Hostalric,170834
231,2012,4.1069,Guils de Cerdanya,170828
232,2012,0.3227,Gualta,170813
233,2012,0.9674,Gombrèn,170806
234,2012,243.1196,Girona,170792
235,2012,3.4057,Ger,170789
236,2012,32.2664,"Escala, l'",170622
237,2012,0.5719,Garrigoles,170767
238,2012,0.3014,Espinelves,170638
239,2012,1.4289,Fortià,170741
240,2012,7.809,Fornells de la Selva,170736
241,2012,2.0407,Fontcoberta,170715
242,2012,1.231,Fontanilles,170708
243,2012,6.8903,Fontanals de Cerdanya,170694
244,2012,1.8691,Foixà,170681
245,2012,3.0966,Flaçà,170675
246,2012,32.2854,Figueres,170669
247,2012,0.3696,Esponellà,170656
248,2012,0.2623,Juià,170871
249,2012,3.0359,Garriguella,170773
250,2012,0.5117,Tortellà,172001
251,2012,0.9719,Verges,172116
252,2012,4.3334,Ventalló,172109
253,2012,1.504,Vall-llobrega,172095
254,2012,3.7655,"Vall de Bianya, la",172082
255,2012,7.908,"Vall d'en Bas, la",172076
256,2012,1.8287,Urús,172060
257,2012,0.2579,Ullastret,172057
258,2012,2.6352,Ullà,172044
259,2012,0.1409,Ultramort,172039
260,2012,0.8412,Serinyà,171903
261,2012,0.6975,Toses,172018
262,2012,1.1646,Vilabertran,172142
263,2012,37.5054,Torroella de Montgrí,171997
264,2012,2.3019,Vallcebre,082938
265,2012,0.4623,Torrent,171978
266,2012,1.6217,Campelles,170372
267,2012,2.7708,"Tallada d'Empordà, la",171959
268,2012,0.0,Susqueda,171946
269,2012,6.6126,Sils,171931
270,2012,1.0017,Setcases,171925
271,2012,0.1954,Terrades,171962
272,2012,42.7629,Tossa de Mar,172023
273,2012,0.3246,Vilamacolum,172253
274,2012,0.1053,Abella de la Conca,250019
275,2012,2.3617,Sant Julià del Llor i Bonmatí,179032
276,2012,4.5206,Forallac,179026
277,2012,0.0273,Biure,172348
278,2012,5.6079,Vilobí d'Onyar,172333
279,2012,2.1641,Vilopriu,172327
280,2012,0.5876,Vila-sacra,172305
281,2012,0.1738,Vilanant,172288
282,2012,5.0748,Vidrà,172121
283,2012,19.5915,Vilamalla,172266
284,2012,68.9596,Vidreres,172137
285,2012,1.3773,Vilallonga de Ter,172240
286,2012,2.8084,Vilajuïga,172235
287,2012,2.7537,Vilaür,172229
288,2012,6.2737,Vilafant,172214
289,2012,8.1731,Viladrau,172207
290,2012,0.8197,Vilademuls,172180
291,2012,0.9533,Viladamat,172174
292,2012,0.1267,Viladasens,172168
293,2012,4.6921,Vilablareix,172155
294,2012,2.2736,"Cellera de Ter, la",171899
295,2012,1.1725,Vilamaniscle,172272
296,2012,0.0577,Riumors,171518
297,2012,13.8796,Sant Gregori,171637
298,2012,1.2125,Sant Ferriol,171621
299,2012,5.3878,Sant Feliu de Pallerols,171616
300,2012,73.0316,Sant Feliu de Guíxols,171609
301,2012,22.0265,Sant Feliu de Buixalleu,171595
302,2012,0.7424,Sant Climent Sescebes,171582
303,2012,0.1946,Sant Andreu Salou,171576
304,2012,19.8014,Salt,171557
305,2012,0.6839,Sales de Llierca,171544
306,2012,1.4202,Serra de Daró,171910
307,2012,48.5875,Roses,171523
308,2012,0.8768,Sant Jordi Desvalls,171668
309,2012,15.7848,Riudellots de la Selva,171501
310,2012,0.6618,Riudaura,171498
311,2012,75.532,Riudarenes,171485
312,2012,16.3594,Ripoll,171479
313,2012,3.9775,Riells i Viabrea,171463
314,2012,5.42,Ribes de Freser,171450
315,2012,1.7783,Regencós,171447
316,2012,0.1141,Rabós,171432
317,2012,5.9633,Quart,171426
318,2012,0.6523,Rupià,171539
319,2012,0.6086,Sant Mori,171766
320,2012,0.9145,"Selva de Mar, la",171886
321,2012,1.0541,"Saus, Camallera i Llampaies",171870
322,2012,8.2331,Sarrià de Ter,171864
323,2012,9.6355,Sant Joan les Fonts,171851
324,2012,2.8668,Santa Pau,171848
325,2012,0.291,Sant Aniol de Finestres,171833
326,2012,0.2316,Santa Llogaia d'Àlguema,171827
327,2012,65.9604,Santa Cristina d'Aro,171812
328,2012,26.0988,Santa Coloma de Farners,171805
329,2012,9.291,Sant Hilari Sacalm,171642
330,2012,1.8875,Sant Pau de Segúries,171772
331,2012,3.6599,Sant Jaume de Llierca,171655
332,2012,0.1639,Sant Miquel de Fluvià,171753
333,2012,0.1396,Sant Miquel de Campmajor,171740
334,2012,0.375,Sant Martí Vell,171735
335,2012,0.672,Sant Martí de Llémena,171729
336,2012,1.2134,Sant Llorenç de la Muga,171714
337,2012,0.9084,Vallfogona de Ripollès,171707
338,2012,13.8588,Sant Julià de Ramis,171693
339,2012,0.4521,Sant Joan de Mollet,171680
340,2012,11.7341,Sant Joan de les Abadesses,171674
341,2012,19.9369,Puigcerdà,171411
342,2012,9.6766,Sant Pere Pescador,171788
343,2012,0.5602,Sant Jaume de Frontanyà,082166
344,2012,2.2176,Sant Martí Sarroca,082270
345,2012,0.5838,Sant Martí de Tous,082264
346,2012,0.0533,Sant Martí d'Albars,082251
347,2012,7.8875,Sant Martí de Centelles,082248
348,2012,5.8315,Sant Llorenç Savall,082233
349,2012,6.2587,Sant Llorenç d'Hortons,082227
350,2012,81.0624,Sant Just Desvern,082212
351,2012,13.4116,Sant Julià de Vilatorta,082205
352,2012,6.4898,Vilassar de Mar,082191
353,2012,209.4155,Vallirana,082956
354,2012,46.7925,Sant Joan Despí,082172
355,2012,10.3885,Premià de Dalt,082303
356,2012,17.7977,Sant Hipòlit de Voltregà,082153
357,2012,8.6284,Vilassar de Dalt,082140
358,2012,39.7557,Sant Fruitós de Bages,082135
359,2012,2.081,Sant Feliu Sasserra,082129
360,2012,45.4474,Sant Feliu de Llobregat,082114
361,2012,7.851,Sant Feliu de Codines,082107
362,2012,56.0998,Sant Fost de Campsentelles,082093
363,2012,53.1294,Sant Esteve Sesrovires,082080
364,2012,1.3269,Sant Esteve de Palautordera,082074
365,2012,13.4137,Sant Joan de Vilatorrada,082188
366,2012,27.5812,Sant Sadurní d'Anoia,082401
367,2012,43.8615,Santa Margarida i els Monjos,082515
368,2012,6.0387,Santa Margarida de Montbui,082508
369,2012,1.2925,Santa Fe del Penedès,082495
370,2012,15.8923,Santa Eulàlia de Ronçana,082482
371,2012,1.5471,Santa Eulàlia de Riuprimer,082476
372,2012,3.2253,Santa Eugènia de Berga,082460
373,2012,61.311,Santa Coloma de Gramenet,082457
374,2012,27.0807,Santa Coloma de Cervelló,082444
375,2012,0.13,Santa Cecília de Voltregà,082439
376,2012,0.2116,Sant Martí Sesgueioles,082286
377,2012,0.6841,Sant Sadurní d'Osormort,082418
378,2012,0.8436,Sant Mateu de Bages,082299
379,2012,22.4225,Sant Quirze Safaja,082397
380,2012,50.1563,Sant Quirze del Vallès,082384
381,2012,4.3356,Sant Quirze de Besora,082378
382,2012,4.2834,Sant Quintí de Mediona,082362
383,2012,2.4978,Sant Pol de Mar,082359
384,2012,64.1696,Sant Pere de Vilamajor,082346
385,2012,8.4357,Sant Pere de Torelló,082331
386,2012,3.9096,Sant Pere de Riudebitlles,082325
387,2012,50.7256,Sant Pere de Ribes,082310
388,2012,11.8476,Sant Climent de Llobregat,082042
389,2012,0.8756,Marganell,082423
390,2012,1.3311,Puigdàlber,081748
391,2012,3.5977,Sant Cugat Sesgarrigues,082068
392,2012,127.0694,Rubí,081846
393,2012,6.5908,Roda de Ter,081831
394,2012,18.5354,"Pont de Vilomara i Rocafort, el",081825
395,2012,20.382,"Roca del Vallès, la",081810
396,2012,62.2207,Ripollet,081803
397,2012,14.1112,Rellinars,081799
398,2012,2.7422,Rajadell,081786
399,2012,0.0373,"Quar, la",081770
400,2012,202.6974,Sabadell,081878
401,2012,23.9585,Puig-reig,081751
402,2012,0.0,Sagàs,081884
403,2012,11.9957,Premià de Mar,081727
404,2012,1.8759,Prats de Lluçanès,081712
405,2012,0.4922,"Prats de Rei, els",081705
406,2012,68.5503,"Prat de Llobregat, el",081691
407,2012,4.0092,Pontons,081688
408,2012,24.6977,Polinyà,081672
409,2012,4.2587,"Pobla de Lillet, la",081666
410,2012,3.1817,"Pobla de Claramunt, la",081653
411,2012,3.7564,"Pla del Penedès, el",081640
412,2012,15.46,Pineda de Mar,081635
413,2012,1.7207,Pujalt,081764
414,2012,4.861,Sant Iscle de Vallalta,081939
415,2012,5.7354,"Esquirol, l'",082541
416,2012,51.7421,Sant Cebrià de Vallalta,082037
417,2012,25.652,Sant Celoni,082021
418,2012,1.9924,Sant Boi de Lluçanès,082016
419,2012,99.7891,Sant Boi de Llobregat,082009
420,2012,1.7939,Sant Bartomeu del Grau,081995
421,2012,19.5753,Sant Antoni de Vilamajor,081982
422,2012,9.5956,Sant Andreu de Llavaneres,081976
423,2012,42.0829,Sant Andreu de la Barca,081960
424,2012,0.7766,Rubió,081859
425,2012,64.8654,Sant Adrià de Besòs,081944
426,2012,383.4014,Sant Cugat del Vallès,082055
427,2012,31.9026,Santpedor,081923
428,2012,59.383,Sallent,081918
429,2012,1.1293,Saldes,081901
430,2012,1.0453,Sant Pere Sallavinera,081897
431,2012,4.4332,"Hostalets de Pierola, els",081629
432,2012,130.5766,Piera,081614
433,2012,4.0676,Perafita,081607
434,2012,30.842,Parets del Vallès,081593
435,2012,22.9694,"Papiol, el",081580
436,2012,35.623,Pallejà,081574
437,2012,0.0,Sant Agustí de Lluçanès,081957
438,2012,13.7158,Badia del Vallès,089045
439,2012,68.2462,Viladecans,083015
440,2012,27.388,Arbúcies,170097
441,2012,5.5964,Anglès,170084
442,2012,5.1476,Amer,170078
443,2012,12.2541,Alp,170062
444,2012,0.4742,"Far d'Empordà, el",170059
445,2012,0.9438,Albons,170046
446,2012,0.0,Albanyà,170031
447,2012,1.9157,Aiguaviva,170025
448,2012,0.8375,"Armentera, l'",170118
449,2012,8.7798,"Palma de Cervelló, la",089058
450,2012,6.7134,Avinyonet de Puigventós,170123
451,2012,0.2194,Sant Julià de Cerdanyola,089030
452,2012,32.6521,Vilanova del Vallès,089024
453,2012,0.4622,Rupit i Pruit,089019
454,2012,0.1158,Viver i Serrateix,083089
455,2012,53.0607,Vilanova i la Geltrú,083073
456,2012,1.6637,Vilalba Sasserra,083067
457,2012,65.1572,Vilafranca del Penedès,083054
458,2012,3.6962,Vilobí del Penedès,083041
459,2012,0.8587,Vilanova de Sau,083036
460,2012,48.2867,Barberà del Vallès,082520
461,2012,1.8214,Agullana,170010
462,2012,10.9941,Bolvir,170242
463,2012,2.3591,Camós,170353
464,2012,60.4761,Calonge de Segarra,170340
465,2012,55.0176,Caldes de Malavella,170335
466,2012,11.9847,Cadaqués,170329
467,2012,0.4549,Cabanelles,170314
468,2012,0.0,Cabanes,170307
469,2012,0.6586,Boadella i les Escaules,170293
470,2012,0.6063,Brunyola,170280
471,2012,4.8781,Breda,170274
472,2012,0.4119,Argelaguer,170101
473,2012,4.858,Bordils,170255
474,2012,57.4048,Viladecavalls,083008
475,2012,55.6865,Blanes,170237
476,2012,7.1454,"Bisbal d'Empordà, la",170221
477,2012,0.0345,Beuda,170216
478,2012,38.6993,Bescanó,170209
479,2012,11.7866,Besalú,170195
480,2012,0.7455,Bellcaire d'Empordà,170182
481,2012,5.9011,Bàscara,170160
482,2012,22.9144,Banyoles,170157
483,2012,0.5458,"Vajol, la",170144
484,2012,99.5243,Begur,170139
485,2012,0.8821,Borrassà,170268
486,2012,5.0127,Sant Vicenç de Montalt,082649
487,2012,12.3803,Vilanova del Camí,083020
488,2012,8.0014,Súria,082747
489,2012,16.3568,Subirats,082732
490,2012,3.3014,Sora,082726
491,2012,0.3427,Sobremunt,082711
492,2012,93.9265,Sitges,082704
493,2012,140.9527,Seva,082690
494,2012,18.4685,Cercs,082687
495,2012,51.8492,Sentmenat,082671
496,2012,3.6415,Tagamanent,082763
497,2012,4.3767,Sant Vicenç de Torelló,082652
498,2012,2.6103,Talamanca,082779
499,2012,53.0062,Sant Vicenç dels Horts,082634
500,2012,14.4171,Sant Vicenç de Castellet,082628
501,2012,16.119,Santa Susanna,082613
502,2012,77.5672,Santa Perpètua de Mogoda,082606
503,2012,24.8385,Santa Maria de Palautordera,082592
504,2012,4.0981,Santa Maria d'Oló,082589
505,2012,0.0,Santa Maria de Miralles,082573
506,2012,0.9532,Santa Maria de Martorelles,082567
507,2012,0.0,Santa Maria de Merlès,082554
508,2012,5.3736,Campdevànol,170366
509,2012,128.5066,Cerdanyola del Vallès,082665
510,2012,17.5515,Torrelles de Foix,082883
511,2012,1.9,Vilada,082994
512,2012,103.6979,Vic,082981
513,2012,1.35,Veciana,082975
514,2012,17.0883,Vallromanes,082969
515,2012,7.6346,Àger,250024
516,2012,57.4159,Vallgorguina,082943
517,2012,0.0,Bausen,250450
518,2012,3.2278,Vallbona d'Anoia,082922
519,2012,54.6583,Vacarisses,082917
520,2012,1.9071,Tavèrnoles,082750
521,2012,26.0659,Torrelles de Llobregat,082896
522,2012,0.6819,Santa Maria de Besora,082536
523,2012,8.223,Torrelavit,082877
524,2012,29.3677,"Torre de Claramunt, la",082861
525,2012,20.1194,Torelló,082858
526,2012,48.4074,Tordera,082845
527,2012,17.8879,Tona,082830
528,2012,20.0329,Tiana,082824
529,2012,17.177,Teià,082819
530,2012,0.2475,Tavertet,082802
531,2012,268.1796,Terrassa,082798
532,2012,24.6826,Taradell,082785
533,2012,13.2649,Ullastrell,082900
534,2012,37.8445,"Sénia, la",430445
535,2012,0.7233,"Fatarella, la",430568
536,2012,8.7175,Falset,430555
537,2012,5.9384,"Espluga de Francolí, l'",430542
538,2012,0.9907,Duesaigües,430537
539,2012,1.4379,Xerta,430521
540,2012,40.2219,Cunit,430516
541,2012,12.9083,Creixell,430509
542,2012,4.3822,Cornudella de Montsant,430496
543,2012,0.798,Corbera d'Ebre,430483
544,2012,48.0123,Constantí,430477
545,2012,0.4535,"Milà, el",430831
546,2012,0.3563,Colldejou,430458
547,2012,0.7207,Figuerola del Camp,430593
548,2012,34.549,"Catllar, el",430430
549,2012,14.6369,Castellvell del Camp,430424
550,2012,0.1327,Caseres,430419
551,2012,0.2715,Capçanes,430402
552,2012,0.3493,Capafonts,430398
553,2012,86.3368,Cambrils,430385
554,2012,80.8889,Calafell,430379
555,2012,22.385,Cabra del Camp,430363
556,2012,0.5055,Cabacés,430350
557,2012,1.8051,Bràfim,430347
558,2012,0.1138,Conesa,430461
559,2012,1.1459,"Guiamets, els",430705
560,2012,5.2294,"Vall de Boí, la",250432
561,2012,3.1557,Maspujols,430810
562,2012,0.1398,"Masó, la",430803
563,2012,7.1416,Masllorenç,430799
564,2012,0.8619,Masdenverge,430786
565,2012,0.0528,Mas de Barberans,430770
566,2012,2.7058,Marçà,430764
567,2012,0.0665,Margalef,430751
568,2012,5.0997,Llorenç del Penedès,430748
569,2012,1.1654,Llorac,430733
570,2012,0.0272,"Febró, la",430574
571,2012,1.9919,Horta de Sant Joan,430712
572,2012,0.1051,"Figuera, la",430580
573,2012,0.2887,Gratallops,430691
574,2012,0.8367,Godall,430688
575,2012,0.5031,Ginestar,430672
576,2012,1.0675,"Garidells, els",430666
577,2012,2.5954,Garcia,430653
578,2012,1.0431,Gandesa,430640
579,2012,0.6536,"Galera, la",430635
580,2012,0.0578,Freginals,430629
581,2012,0.4971,Forès,430614
582,2012,13.8272,Flix,430607
583,2012,5.3835,"Borges del Camp, les",430311
584,2012,0.2229,"Lloar, el",430727
585,2012,0.4754,"Valls d'Aguilar, les",259062
586,2012,1.2852,Botarell,430332
587,2012,23.6049,Alcanar,430043
588,2012,0.3166,"Albiol, l'",430038
589,2012,8.7853,Albinyana,430022
590,2012,30.909,Aiguamúrcia,430017
591,2012,0.3291,Riu de Cerdanya,259139
592,2012,5.0235,Gimenells i el Pla de la Font,259123
593,2012,2.2219,"Plans de Sió, els",259118
594,2012,0.7102,Josa i Tuixén,259101
595,2012,0.148,"Vansa i Fórnols, la",259097
596,2012,0.4252,Aldover,430069
597,2012,1.5077,Torrefeta i Florejacs,259078
598,2012,0.0533,"Aleixar, l'",430075
599,2012,0.3401,Ribera d'Ondara,259059
600,2012,0.9137,Castell de Mur,259046
601,2012,0.3355,"Guingueta d'Àneu, la",259031
602,2012,0.1249,Sant Martí de Riucorb,259025
603,2012,2.4333,Vall de Cardós,259010
604,2012,0.4492,Vinaixa,252555
605,2012,1.6771,Vilanova de la Barca,252542
606,2012,0.8128,"Vilosell, el",252537
607,2012,0.0,Vila-sana,252521
608,2012,0.0,Vilanova de Segrià,252516
609,2012,0.2531,Vilanova de Meià,252509
610,2012,0.2849,Fígols i Alinyà,259084
611,2012,4.4171,Ascó,430192
612,2012,0.4303,Miravet,430846
613,2012,5.8474,Bonastre,430304
614,2012,0.8476,Blancafort,430290
615,2012,79.7853,"Bisbal del Penedès, la",430287
616,2012,0.06,"Bisbal de Falset, la",430271
617,2012,0.9866,Benissanet,430265
618,2012,1.6893,Benifallet,430252
619,2012,13.4142,Bellvei,430249
620,2012,0.1981,Bellmunt del Priorat,430234
621,2012,4.0882,Batea,430228
622,2012,2.7139,Alcover,430056
623,2012,8.1113,Banyeres del Penedès,430206
624,2012,0.5471,Bot,430326
625,2012,0.2674,Arnes,430189
626,2012,0.6591,"Argentera, l'",430173
627,2012,22.6974,"Arboç, l'",430167
628,2012,0.0294,Arbolí,430154
629,2012,41.2437,Amposta,430141
630,2012,69.8763,"Ametlla de Mar, l'",430136
631,2012,21.292,Altafulla,430120
632,2012,8.6249,Almoster,430115
633,2012,1.2164,Alió,430108
634,2012,2.4357,Alforja,430094
635,2012,0.536,Alfara de Carles,430081
636,2012,2.193,Barberà de la Conca,430213
637,2012,242.5316,Tarragona,431482
638,2012,2.404,Vallmoll,431606
639,2012,0.3285,Vallfogona de Riucorb,431592
640,2012,0.4283,Vallclara,431589
641,2012,0.3249,Ulldemolins,431573
642,2012,13.4557,Ulldecona,431567
643,2012,108.0053,Tortosa,431554
644,2012,0.7087,Torroja del Priorat,431541
645,2012,25.4671,Torredembarra,431536
646,2012,0.5678,"Torre de l'Espanyol, la",431520
647,2012,0.7141,"Torre de Fontaubella, la",431515
648,2012,0.4908,"Masroig, el",430825
649,2012,1.0861,Tivenys,431495
650,2012,94.7953,"Vendrell, el",431634
651,2012,1.1222,Solivella,431476
652,2012,0.0342,Senan,431460
653,2012,13.3994,"Selva del Camp, la",431457
654,2012,2.3406,"Secuita, la",431444
655,2012,0.1584,Savallà del Comtat,431439
656,2012,8.5497,Sarral,431423
657,2012,0.3267,Pontils,431418
658,2012,24.5811,Santa Oliva,431401
