,Literal,Codi,Any,Aturats,Evolucio atur,Poblacio activa,Renda
307,Fornells de la Selva,170736,2012,101.4,,,15.0
308,Fortià,170741,2012,35.4,,,
309,"Franqueses del Vallès, les",080863,2012,1795.2,,,12.0
310,Freginals,430629,2012,24.0,,,
311,"Fuliola, la",250962,2012,85.7,,,12.7
312,Fulleda,250978,2012,2.9,,,
313,Gaià,080902,2012,12.9,,,
314,"Galera, la",430635,2012,54.2,,,
315,Gallifa,080879,2012,9.4,,,
316,Gandesa,430640,2012,206.5,,,16.6
317,Garcia,430653,2012,34.1,,,
318,"Garidells, els",430666,2012,11.3,,,
319,"Garriga, la",080885,2012,1152.3,,,16.7
320,Garrigàs,170754,2012,22.9,,,
321,Garrigoles,170767,2012,8.6,,,
322,Garriguella,170773,2012,52.6,,,
323,Gavà,080898,2012,3940.6,,,14.4
324,Gavet de la Conca,250984,2012,12.8,,,
325,Gelida,080919,2012,547.2,,,12.4
326,Ger,170789,2012,11.3,,,
327,Gimenells i el Pla de la Font,259123,2012,44.5,,,15.5
328,Ginestar,430672,2012,69.8,,,15.5
329,Girona,170792,2012,7574.2,,,13.3
330,Gironella,080924,2012,423.2,,,16.1
331,Gisclareny,080930,2012,1.0,,,
332,Godall,430688,2012,48.3,,,
333,Golmés,250997,2012,104.7,,,15.6
334,Gombrèn,170806,2012,12.0,,,
335,Gósol,251001,2012,7.2,,,
336,"Granada, la",080945,2012,147.1,,,15.6
337,"Granadella, la",251018,2012,28.7,,,
338,Granera,080958,2012,2.7,,,
339,"Granja d'Escarp, la",251023,2012,53.5,,,13.8
340,Granollers,080961,2012,5897.0,,,16.8
341,Granyanella,251039,2012,9.7,,,
342,Granyena de les Garrigues,251057,2012,8.3,,,
343,Granyena de Segarra,251044,2012,1.9,,,
344,Gratallops,430691,2012,8.3,,,
345,Gualba,080977,2012,91.8,,,12.3
346,Gualta,170813,2012,24.0,,,
347,Guardiola de Berguedà,080996,2012,95.3,,,
348,"Guiamets, els",430705,2012,16.4,,,
349,Guils de Cerdanya,170828,2012,23.6,,,
350,Guimerà,251095,2012,11.8,,,
351,"Guingueta d'Àneu, la",259031,2012,10.5,,,
352,Guissona,251109,2012,267.6,,,14.9
353,Guixers,251116,2012,1.3,,,
354,Gurb,081000,2012,97.8,,,13.9
355,Horta de Sant Joan,430712,2012,79.2,,,14.1
356,"Hospitalet de Llobregat, l'",081017,2012,23637.9,,,15.1
357,"Hostalets de Pierola, els",081629,2012,237.0,,,13.5
358,Hostalric,170834,2012,366.2,,,13.3
359,Igualada,081022,2012,3782.4,,,10.9
360,Isona i Conca Dellà,251155,2012,40.6,,,12.9
361,Isòvol,170849,2012,11.0,,,
362,Ivars d'Urgell,251137,2012,68.6,,,13.1
363,Ivars de Noguera,251121,2012,18.5,,,
364,Ivorra,251142,2012,2.3,,,
365,Jafre,170852,2012,19.0,,,
366,"Jonquera, la",170865,2012,262.6,,,14.5
367,Jorba,081038,2012,53.9,,,
368,Josa i Tuixén,259101,2012,4.5,,,
369,Juià,170871,2012,14.7,,,
370,Juncosa,251180,2012,15.6,,,
371,Juneda,251193,2012,166.8,,,13.3
372,Les,251214,2012,45.1,,,
373,Linyola,251229,2012,153.7,,,13.2
374,"Llacuna, la",081043,2012,55.4,,,
375,Lladó,170887,2012,33.8,,,
376,Lladorre,251235,2012,4.8,,,
377,Lladurs,251240,2012,6.3,,,
378,"Llagosta, la",081056,2012,1500.2,,,14.4
379,Llagostera,170890,2012,695.9,,,14.7
380,Llambilles,170904,2012,27.1,,,
381,Llanars,170911,2012,19.9,,,
382,Llançà,170926,2012,330.3,,,16.8
383,Llardecans,251253,2012,9.9,,,
384,Llavorsí,251266,2012,16.1,,,
385,Lleida,251207,2012,12136.8,,,18.1
386,Llers,170932,2012,59.0,,,15.1
387,Lles de Cerdanya,251272,2012,7.4,,,
388,Lliçà d'Amunt,081075,2012,1228.3,,,12.5
389,Lliçà de Vall,081081,2012,511.9,,,14.0
390,Llimiana,251288,2012,12.7,,,
391,Llinars del Vallès,081069,2012,864.1,,,9.4
392,Llívia,170947,2012,61.1,,,12.3
393,"Lloar, el",430727,2012,7.2,,,
394,Llobera,251291,2012,5.5,,,
395,Llorac,430733,2012,4.8,,,
396,Llorenç del Penedès,430748,2012,178.8,,,13.5
397,Lloret de Mar,170950,2012,2661.7,,,13.8
398,"Llosses, les",170963,2012,8.1,,,
399,Lluçà,081094,2012,12.3,,,
400,Maçanet de Cabrenys,171024,2012,30.9,,,
401,Maçanet de la Selva,171030,2012,757.2,,,15.1
402,Madremanya,170979,2012,16.1,,,
403,Maià de Montcal,170985,2012,19.2,,,
404,Maials,251333,2012,38.3,,,
405,Maldà,251305,2012,10.3,,,
406,Malgrat de Mar,081108,2012,1730.4,,,14.5
407,Malla,081115,2012,5.6,,,
408,Manlleu,081120,2012,2225.3,,,16.7
409,Manresa,081136,2012,7098.1,,,11.6
410,Marçà,430764,2012,41.8,,,
411,Margalef,430751,2012,5.6,,,
412,Marganell,082423,2012,25.0,,,
413,Martorell,081141,2012,2867.0,,,15.7
414,Martorelles,081154,2012,489.2,,,18.2
415,Mas de Barberans,430770,2012,35.8,,,
416,Masarac,171002,2012,11.8,,,
417,Masdenverge,430786,2012,92.7,,,15.1
418,"Masies de Roda, les",081167,2012,45.3,,,
419,"Masies de Voltregà, les",081173,2012,247.6,,,21.8
420,Masllorenç,430799,2012,55.2,,,
421,"Masnou, el",081189,2012,1625.6,,,13.9
422,"Masó, la",430803,2012,15.9,,,
423,Maspujols,430810,2012,31.2,,,
424,Masquefa,081192,2012,754.6,,,13.0
425,"Masroig, el",430825,2012,25.4,,,
426,Massalcoreig,251312,2012,19.4,,,
427,Massanes,171019,2012,68.8,,,
428,Massoteres,251327,2012,7.5,,,
429,Matadepera,081206,2012,302.3,,,13.6
430,Mataró,081213,2012,14402.4,,,14.8
431,Mediona,081228,2012,167.4,,,18.3
432,Menàrguens,251348,2012,68.9,,,
433,Meranges,170998,2012,1.2,,,
434,Mieres,171058,2012,13.5,,,
435,"Milà, el",430831,2012,7.1,,,
436,Miralcamp,251351,2012,89.0,,,12.7
437,Miravet,430846,2012,40.2,,,
438,Moià,081385,2012,354.0,,,15.1
439,"Molar, el",430859,2012,14.0,,,
440,Molins de Rei,081234,2012,1887.1,,,14.4
441,Mollerussa,251370,2012,1185.4,,,14.8
442,Mollet de Peralada,171061,2012,7.6,,,
443,Mollet del Vallès,081249,2012,6001.6,,,14.0
444,Molló,171077,2012,11.2,,,
445,"Molsosa, la",251364,2012,1.1,,,
446,Monistrol de Calders,081287,2012,54.9,,,
447,Monistrol de Montserrat,081271,2012,265.2,,,15.3
448,Montagut i Oix,171096,2012,49.0,,,
449,Montblanc,430862,2012,554.8,,,12.0
450,Montbrió del Camp,430884,2012,208.2,,,18.1
451,Montcada i Reixac,081252,2012,3308.0,,,11.4
452,Montclar,081304,2012,2.0,,,
453,Montellà i Martinet,251399,2012,33.9,,,
454,Montesquiu,081311,2012,86.5,,,
455,Montferrer i Castellbò,251403,2012,32.7,,,15.8
456,Montferri,430897,2012,44.9,,,
457,Montgai,251386,2012,19.9,,,
458,Montgat,081265,2012,847.2,,,14.8
459,Montmajor,081326,2012,21.6,,,
460,Montmaneu,081332,2012,6.3,,,
461,"Montmell, el",430901,2012,203.3,,,14.9
462,Montmeló,081350,2012,803.6,,,11.4
463,Montoliu de Lleida,251425,2012,22.0,,,
464,Montoliu de Segarra,251410,2012,12.4,,,
465,Montornès de Segarra,251431,2012,2.3,,,
466,Montornès del Vallès,081363,2012,1765.1,,,14.6
467,Mont-ral,430918,2012,13.4,,,
468,Mont-ras,171100,2012,117.7,,,12.7
469,Mont-roig del Camp,430923,2012,1140.6,,,14.6
470,Montseny,081379,2012,16.0,,,
471,Móra d'Ebre,430939,2012,500.5,,,12.9
472,Móra la Nova,430944,2012,247.4,,,15.4
473,"Morell, el",430957,2012,301.1,,,15.6
474,"Morera de Montsant, la",430960,2012,9.3,,,
475,Muntanyola,081290,2012,40.4,,,
476,Mura,081398,2012,15.9,,,
477,Nalec,251459,2012,1.7,,,
478,Naut Aran,250254,2012,43.2,,,14.4
479,Navarcles,081402,2012,533.5,,,15.0
480,Navàs,081419,2012,548.7,,,15.0
481,Navata,171117,2012,60.0,,,15.9
482,Navès,251462,2012,11.8,,,
483,"Nou de Berguedà, la",081424,2012,12.8,,,
484,"Nou de Gaià, la",430976,2012,34.8,,,
485,Nulles,430982,2012,28.8,,,
486,Odèn,251484,2012,2.0,,,
487,Òdena,081430,2012,330.6,,,15.4
488,Ogassa,171122,2012,9.8,,,
489,Olèrdola,081458,2012,258.7,,,14.6
490,Olesa de Bonesvalls,081461,2012,127.9,,,14.9
491,Olesa de Montserrat,081477,2012,2270.9,,,16.0
492,Oliana,251497,2012,100.8,,,14.8
493,Oliola,251500,2012,4.5,,,
494,Olius,251517,2012,34.7,,,
495,Olivella,081483,2012,318.6,,,13.6
496,Olost,081496,2012,91.5,,,11.7
497,Olot,171143,2012,2333.6,,,13.4
498,"Oluges, les",251522,2012,6.0,,,
499,Olvan,081445,2012,80.3,,,
500,"Omellons, els",251538,2012,10.5,,,
501,"Omells de na Gaia, els",251543,2012,2.7,,,
502,Ordis,171156,2012,16.1,,,
503,Organyà,251556,2012,34.0,,,
504,Orís,081509,2012,11.4,,,
505,Oristà,081516,2012,40.8,,,
506,Orpí,081521,2012,4.3,,,
507,Òrrius,081537,2012,45.5,,,
508,Os de Balaguer,251569,2012,48.5,,,14.5
509,Osor,171169,2012,37.8,,,
510,Ossó de Sió,251575,2012,11.1,,,
511,Pacs del Penedès,081542,2012,61.9,,,
512,Palafolls,081555,2012,843.9,,,10.5
513,Palafrugell,171175,2012,2206.0,,,16.7
514,Palamós,171181,2012,1530.2,,,16.7
515,"Palau d'Anglesola, el",251581,2012,98.8,,,17.9
516,Palau de Santa Eulàlia,171194,2012,1.4,,,
517,Palau-sator,171215,2012,12.5,,,
518,Palau-saverdera,171208,2012,77.0,,,17.2
519,Palau-solità i Plegamans,081568,2012,1150.4,,,13.8
520,"Pallaresos, els",431009,2012,293.8,,,16.0
521,Pallejà,081574,2012,832.7,,,16.2
522,"Palma d'Ebre, la",430995,2012,16.2,,,
523,"Palma de Cervelló, la",089058,2012,213.4,,,14.0
524,Palol de Revardit,171236,2012,18.3,,,
525,Pals,171241,2012,109.0,,,15.3
