,Literal,Poblacio activa,Codi
402,Olèrdola,2355.0,081458
403,Ordis,248.0,171156
404,Organyà,550.0,251556
405,Oristà,376.0,081516
406,Orpí,109.0,081521
407,Orís,207.0,081509
408,Os de Balaguer,604.0,251569
409,Osor,286.0,171169
410,Ossó de Sió,130.0,251575
411,Pacs del Penedès,590.0,081542
412,Palafolls,6080.0,081555
413,Palafrugell,14916.0,171175
414,Palamós,11747.0,171181
415,Palau de Santa Eulàlia,76.0,171194
416,Pallejà,7520.0,081574
417,Palol de Revardit,301.0,171236
418,Pals,1714.0,171241
419,Pardines,87.0,171254
420,Parets del Vallès,12648.0,081593
421,Parlavà,254.0,171267
422,Passanant i Belltall,102.0,431016
423,Pau,350.0,171289
424,Paüls,356.0,431021
425,Pedret i Marzà,110.0,171292
426,Penelles,321.0,251641
427,Perafita,246.0,081607
428,Perafort,851.0,431037
429,Peralada,1203.0,171328
430,Peramola,221.0,251654
431,Piera,9804.0,081614
432,Pineda de Mar,17048.0,081635
433,Pinell de Solsonès,124.0,251667
434,Pinós,194.0,251673
435,Pira,310.0,431074
436,Planoles,204.0,171349
437,Poboleda,236.0,431129
438,Polinyà,5663.0,081672
439,Pont de Molins,359.0,171352
440,Pontils,98.0,431418
441,Pontons,364.0,081688
442,Ponts,1678.0,251728
443,Pontós,140.0,171365
444,Porqueres,2914.0,171371
445,Porrera,293.0,431140
446,Portbou,781.0,171387
447,Pradell de la Teixeta,130.0,431153
448,Prades,411.0,431166
449,Prat de Comte,101.0,431172
450,Pratdip,461.0,431188
451,Prats de Lluçanès,1729.0,081712
452,Prats i Sansor,198.0,251752
453,Preixana,218.0,251765
454,Preixens,248.0,251771
455,Premià de Dalt,6942.0,082303
456,Premià de Mar,18792.0,081727
457,Prullans,149.0,251790
458,Puigcerdà,5984.0,171411
459,Puigdàlber,356.0,081748
460,Puiggròs,194.0,251804
461,Puigpelat,704.0,431191
462,Puigverd de Lleida,906.0,251826
463,Pujalt,126.0,081764
464,Quart,2250.0,171426
465,Queralbs,111.0,170433
466,Querol,380.0,431205
467,Rabós,119.0,171432
468,Rajadell,360.0,081786
469,Rasquera,511.0,431212
470,Regencós,174.0,171447
471,Rellinars,502.0,081799
472,Renau,96.0,431227
473,Reus,70.68900000000001,431233
474,Rialp,464.0,251832
475,Ribes de Freser,1159.0,171450
476,Riells i Viabrea,2750.0,171463
477,Riner,182.0,251863
478,Ripoll,7015.0,171479
479,Ripollet,25226.0,081803
480,Riu de Cerdanya,91.0,259139
481,Riudarenes,1401.0,171485
482,Riudaura,281.0,171498
483,Riudecanyes,714.0,431270
484,Riudecols,857.0,431286
485,Riudellots de la Selva,1350.0,171501
486,Riudoms,4185.0,431299
487,Riumors,148.0,171518
488,Rocafort de Queralt,160.0,431303
489,Roda de Ter,3965.0,081831
490,Rodonyà,302.0,431325
491,Roquetes,5490.0,431331
492,Roses,13142.0,171523
493,Rosselló,2072.0,251898
494,Rubió,148.0,081859
495,Rubí,21282.646,081846
496,Rupit i Pruit,208.0,089019
497,Rupià,160.0,171539
498,Sabadell,135.723,081878
499,Sagàs,84.0,081884
500,Saldes,218.0,081901
501,Sales de Llierca,104.0,171544
502,Sallent,4226.0,081918
503,Salomó,314.0,431359
504,Salou,19433.0,439057
505,Salt,19766.0,171557
506,Salàs de Pallars,232.0,251902
507,Sanaüja,257.0,251919
508,Sant Adrià de Besòs,22184.0,081944
509,Sant Agustí de Lluçanès,67.0,081957
510,Sant Andreu Salou,98.0,171576
511,Sant Andreu de Llavaneres,6935.0,081976
512,Sant Andreu de la Barca,18398.0,081960
513,Sant Aniol de Finestres,225.0,171833
514,Sant Antoni de Vilamajor,3805.0,081982
515,Sant Bartomeu del Grau,637.0,081995
516,Sant Boi de Llobregat,13847.709000000004,082009
517,Sant Boi de Lluçanès,335.0,082016
518,Sant Carles de la Ràpita,9765.0,431362
519,Sant Cebrià de Vallalta,2287.0,082037
520,Sant Celoni,11201.0,082021
521,Sant Climent Sescebes,357.0,171582
522,Sant Climent de Llobregat,2637.0,082042
523,Sant Cugat Sesgarrigues,607.0,082068
524,Sant Cugat del Vallès,17404.243,082055
525,Sant Esteve Sesrovires,4989.0,082080
526,Sant Esteve de Palautordera,1668.0,082074
527,Sant Esteve de la Sarga,91.0,251961
528,Sant Feliu Sasserra,432.0,082129
529,Sant Feliu de Buixalleu,536.0,171595
530,Sant Feliu de Codines,3976.0,082107
531,Sant Feliu de Guíxols,14395.0,171609
532,Sant Feliu de Llobregat,28878.0,082114
533,Sant Feliu de Pallerols,825.0,171616
534,Sant Ferriol,150.0,171621
535,Sant Fost de Campsentelles,5610.0,082093
536,Sant Fruitós de Bages,5535.0,082135
537,Sant Gregori,2173.0,171637
538,Sant Guim de Freixenet,684.0,251924
539,Sant Guim de la Plana,111.0,251977
540,Sant Hilari Sacalm,3804.0,171642
541,Sant Hipòlit de Voltregà,2308.0,082153
542,Sant Iscle de Vallalta,850.0,081939
543,Sant Jaume de Frontanyà,21.0,082166
544,Sant Jaume de Llierca,460.0,171655
545,Sant Jaume dels Domenys,1638.0,431378
546,Sant Joan Despí,21786.0,082172
547,Sant Joan de Mollet,327.0,171680
548,Sant Joan de Vilatorrada,7057.0,082188
549,Sant Joan de les Abadesses,2120.0,171674
550,Sant Joan les Fonts,1827.0,171851
551,Sant Jordi Desvalls,444.0,171668
552,Sant Julià de Cerdanyola,161.0,089030
553,Sant Julià de Ramis,2303.0,171693
554,Sant Julià de Vilatorta,1985.0,082205
555,Sant Julià del Llor i Bonmatí,839.0,179032
556,Sant Just Desvern,10187.0,082212
557,Sant Llorenç Savall,1543.0,082233
558,Sant Llorenç de Morunys,634.0,251930
559,Sant Llorenç de la Muga,152.0,171714
560,Sant Martí Sarroca,2058.0,082270
561,Sant Martí Sesgueioles,242.0,082286
562,Sant Martí Vell,156.0,171735
563,Sant Martí de Centelles,758.0,082248
564,Sant Martí de Llémena,401.0,171729
565,Sant Martí de Riucorb,387.0,259025
566,Sant Martí de Tous,692.0,082264
567,Sant Mateu de Bages,375.0,082299
568,Sant Miquel de Campmajor,148.0,171740
569,Sant Miquel de Fluvià,528.0,171753
570,Sant Mori,141.0,171766
571,Sant Pau de Segúries,423.0,171772
572,Sant Pere Pescador,1437.0,171788
573,Sant Pere Sallavinera,99.0,081897
574,Sant Pere de Ribes,19864.0,082310
575,Sant Pere de Riudebitlles,1472.0,082325
576,Sant Pere de Torelló,1604.0,082331
577,Sant Pere de Vilamajor,2799.0,082346
578,Sant Pol de Mar,3342.0,082359
579,Sant Quintí de Mediona,1297.0,082362
580,Sant Quirze Safaja,447.0,082397
581,Sant Quirze de Besora,1310.0,082378
582,Sant Quirze del Vallès,13024.0,082384
583,Sant Ramon,324.0,251945
584,Sant Salvador de Guardiola,2013.0,080983
585,Sant Vicenç de Castellet,6046.0,082628
586,Sant Vicenç de Montalt,3743.0,082649
587,Sant Vicenç de Torelló,1287.0,082652
588,Sant Vicenç dels Horts,18840.0,082634
589,Santa Bàrbara,2472.0,431384
590,Santa Cecília de Voltregà,124.0,082439
591,Santa Coloma de Cervelló,5232.0,082444
592,Santa Coloma de Farners,8178.0,171805
593,Santa Coloma de Gramenet,1972.9149999999995,082457
594,Santa Coloma de Queralt,1856.0,431397
595,Santa Eugènia de Berga,1580.0,082460
596,Santa Eulàlia de Riuprimer,782.0,082476
597,Santa Eulàlia de Ronçana,4561.0,082482
598,Santa Fe del Penedès,250.0,082495
599,Santa Margarida de Montbui,6424.0,082508
600,Santa Margarida i els Monjos,4763.0,082515
601,Santa Maria de Besora,84.0,082536
602,Santa Maria de Martorelles,594.0,082567
603,Santa Maria de Merlès,106.0,082554
604,Santa Maria de Miralles,88.0,082573
605,Santa Maria de Palautordera,6130.0,082592
606,Santa Oliva,2162.0,431401
607,Santa Pau,1064.0,171848
608,Santa Perpètua de Mogoda,17279.0,082606
609,Santa Susanna,2229.0,082613
610,Santpedor,4777.0,081923
611,Sarral,1039.0,431423
612,Sarrià de Ter,3184.0,171864
613,Sarroca de Bellera,85.0,252017
614,Sarroca de Lleida,246.0,252000
615,Savallà del Comtat,48.0,431439
616,Senan,37.0,431460
617,Senterada,104.0,252022
618,Sentmenat,5820.0,082671
619,Serinyà,736.0,171903
620,Serra de Daró,124.0,171910
621,Seròs,1211.0,252043
622,Setcases,124.0,171925
623,Seva,2214.0,082690
624,Sidamon,476.0,252056
625,Sils,3749.0,171931
626,Sitges,19173.0,082704
627,Siurana,98.0,170524
628,Sobremunt,55.0,082711
629,Solivella,378.0,431476
630,Solsona,5956.0,252075
631,Sora,129.0,082726
632,Soriguera,248.0,252081
633,Sort,1519.0,252094
634,Soses,1153.0,252108
635,Subirats,1935.0,082732
636,Sudanell,607.0,252115
637,Sunyer,184.0,252120
638,Susqueda,68.0,171946
639,Súria,3933.0,082747
640,Tagamanent,208.0,082763
641,Talamanca,108.0,082779
642,Talarn,273.0,252154
643,Talavera,173.0,252167
644,Taradell,4015.0,082785
645,Tarragona,89.22500000000001,431482
646,Tarroja de Segarra,106.0,252192
647,Tarrés,71.0,252189
648,Tavertet,98.0,082802
649,Tavèrnoles,208.0,082750
650,Teià,4109.0,082819
651,Terrades,193.0,171962
652,Terrassa,142.36400000000003,082798
653,Tiana,5485.0,082824
654,Tiurana,43.0,252228
655,Tivenys,531.0,431495
656,Tivissa,1088.0,431508
657,Tona,5230.0,082830
658,Tordera,10831.0,082845
659,Torelló,9138.0,082858
660,Tornabous,571.0,252252
661,Torrebesses,176.0,252265
662,Torredembarra,10211.0,431536
663,Torrefarrera,2965.0,252287
664,Torrefeta i Florejacs,365.0,259078
665,Torregrossa,1390.0,252304
666,Torrelameu,474.0,252311
667,Torrelavit,917.0,082877
668,Torrelles de Foix,1544.0,082883
669,Torrelles de Llobregat,3874.0,082896
670,Torrent,17496.877999999997,171978
671,Torres de Segre,1431.0,252326
672,Torroella de Fluvià,481.0,171984
673,Torroella de Montgrí,7507.0,171997
674,Torroja del Priorat,102.0,431541
675,Tortellà,476.0,172001
676,Tortosa,22290.0,431554
677,Torà,863.0,252234
678,Toses,103.0,172018
679,Tossa de Mar,3973.0,172023
680,Tremp,3951.0,252347
681,Tàrrega,11049.0,252173
682,Térmens,1038.0,252206
683,Tírvia,105.0,252213
684,Ullastrell,1276.0,082900
685,Ullastret,167.0,172057
686,Ulldecona,4666.0,431567
687,Ulldemolins,250.0,431573
688,Ullà,709.0,172044
689,Ultramort,124.0,172039
690,Urús,138.0,172060
691,Vacarisses,4077.0,082917
692,Vall de Cardós,261.0,259010
693,Vallbona de les Monges,151.0,252385
694,Vallcebre,180.0,082938
695,Vallclara,76.0,431589
696,Vallfogona de Balaguer,1261.0,252402
697,Vallfogona de Ripollès,143.0,171707
698,Vallfogona de Riucorb,71.0,431592
699,Vallgorguina,1783.0,082943
700,Vallirana,9625.0,082956
701,Vallmoll,1148.0,431606
702,Vallromanes,1607.0,082969
703,Valls,16417.0,431613
704,Veciana,93.0,082975
705,Ventalló,526.0,172109
706,Verdú,585.0,252424
707,Verges,734.0,172116
708,Vespella de Gaià,270.0,431649
709,Vic,26747.0,082981
710,Vidreres,5088.0,172137
711,Vidrà,110.0,172121
712,Vielha e Mijaran,4047.0,252430
713,Vilabella,524.0,431652
714,Vilabertran,573.0,172142
715,Vilablareix,1716.0,172155
716,Vilada,315.0,082994
717,Viladamat,287.0,172174
718,Viladasens,141.0,172168
719,Viladecans,21887.024,083015
720,Viladecavalls,5180.0,083008
721,Vilademuls,475.0,172180
722,Viladrau,708.0,172207
723,Vilafant,3752.0,172214
724,Vilafranca del Penedès,25844.0,083054
725,Vilagrassa,305.0,252445
726,Vilajuïga,724.0,172235
727,Vilalba Sasserra,454.0,083067
728,Vilalba dels Arcs,417.0,431750
729,Vilaller,446.0,252458
730,Vilallonga de Ter,283.0,172240
731,Vilallonga del Camp,1481.0,431665
732,Vilamacolum,179.0,172253
733,Vilamalla,730.0,172266
734,Vilamaniscle,101.0,172272
735,Vilamòs,140.0,252477
736,Vilanant,250.0,172288
737,Vilanova de Bellpuig,704.0,252483
738,Vilanova de Meià,249.0,252509
739,Vilanova de Prades,75.0,431687
740,Vilanova de Sau,220.0,083036
741,Vilanova de Segrià,599.0,252516
742,Vilanova de la Barca,725.0,252542
743,Vilanova del Camí,8443.0,083020
744,Vilanova del Vallès,3323.0,089024
745,Vilanova i la Geltrú,22837.165,083073
746,Vilaplana,413.0,431690
747,Vilassar de Dalt,5867.0,082140
748,Vilassar de Mar,13027.0,082191
749,Vilaverd,305.0,431726
750,Vilaür,78.0,172229
751,Vilobí del Penedès,702.0,083041
752,Vilopriu,131.0,172327
753,Vimbodí i Poblet,595.0,431763
754,Vinaixa,361.0,252555
755,Vinebre,302.0,431779
756,Vinyols i els Arcs,1304.0,431785
757,Viver i Serrateix,109.0,083089
758,Xerta,781.0,430521
759,Àger,359.0,250024
760,Òdena,2360.0,081430
761,Òrrius,441.0,081537
