,Literal,Codi,Any,Demanda,1,2,3,4,5,6 i més,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Habitatges familiars principals,De lloguer,De propietat
305,Santa Margarida i els Monjos,082515,2020,55.0,,,,,,,,,,,,
306,Santa Maria de Palautordera,082592,2020,2.0,,,,,,,,,,,,
307,Santa Perpètua de Mogoda,082606,2020,73.0,,,,,,,,,,,,
308,Santa Susanna,082613,2020,2.0,,,,,,,,,,,,
309,Santpedor,081923,2020,13.0,,,,,,,,,,,,
310,Sarral,431423,2020,3.0,,,,,,,,,,,,
311,Sarrià de Ter,171864,2020,4.0,,,,,,,,,,,,
312,"Saus, Camallera i Llampaies",171870,2020,1.0,,,,,,,,,,,,
313,"Sénia, la",430445,2020,2.0,,,,,,,,,,,,
314,Senterada,252022,2020,1.0,,,,,,,,,,,,
315,Sentmenat,082671,2020,17.0,,,,,,,,,,,,
316,Seròs,252043,2020,2.0,,,,,,,,,,,,
317,"Seu d'Urgell, la",252038,2020,24.0,,,,,,,,,,,,
318,Sidamon,252056,2020,1.0,,,,,,,,,,,,
319,Sils,171931,2020,1.0,,,,,,,,,,,,
320,Sitges,082704,2020,26.0,,,,,,,,,,,,
321,Solsona,252075,2020,61.0,,,,,,,,,,,,
322,Soriguera,252081,2020,3.0,,,,,,,,,,,,
323,Sort,252094,2020,21.0,,,,,,,,,,,,
324,Sunyer,252120,2020,1.0,,,,,,,,,,,,
325,Súria,082747,2020,21.0,,,,,,,,,,,,
326,Talarn,252154,2020,2.0,,,,,,,,,,,,
327,Taradell,082785,2020,6.0,,,,,,,,,,,,
328,Tarragona,431482,2020,187.0,,,,,,,,,,,,
329,Tàrrega,252173,2020,29.0,,,,,,,,,,,,
330,Tavèrnoles,082750,2020,1.0,,,,,,,,,,,,
331,Teià,082819,2020,17.0,,,,,,,,,,,,
332,Terrassa,082798,2020,1051.0,,,,,,,,,,,,
333,Tiana,082824,2020,39.0,,,,,,,,,,,,
334,Tivissa,431508,2020,1.0,,,,,,,,,,,,
335,Tona,082830,2020,4.0,,,,,,,,,,,,
336,Torà,252234,2020,1.0,,,,,,,,,,,,
337,Tordera,082845,2020,31.0,,,,,,,,,,,,
338,Torelló,082858,2020,38.0,,,,,,,,,,,,
339,"Torre de Cabdella, la",252271,2020,2.0,,,,,,,,,,,,
340,"Torre de Claramunt, la",082861,2020,3.0,,,,,,,,,,,,
341,"Torre de l'Espanyol, la",431520,2020,1.0,,,,,,,,,,,,
342,Torredembarra,431536,2020,10.0,,,,,,,,,,,,
343,Torrefarrera,252287,2020,1.0,,,,,,,,,,,,
344,Torregrossa,252304,2020,2.0,,,,,,,,,,,,
345,Torrelles de Foix,082883,2020,2.0,,,,,,,,,,,,
346,Torrelles de Llobregat,082896,2020,10.0,,,,,,,,,,,,
347,Torroella de Montgrí,171997,2020,5.0,,,,,,,,,,,,
348,Tortellà,172001,2020,1.0,,,,,,,,,,,,
349,Tortosa,431554,2020,12.0,,,,,,,,,,,,
350,Tossa de Mar,172023,2020,2.0,,,,,,,,,,,,
351,Tremp,252347,2020,24.0,,,,,,,,,,,,
352,Ullà,172044,2020,1.0,,,,,,,,,,,,
353,Ulldecona,431567,2020,2.0,,,,,,,,,,,,
354,"Vall de Bianya, la",172082,2020,2.0,,,,,,,,,,,,
355,Vall de Cardós,259010,2020,1.0,,,,,,,,,,,,
356,"Vall d'en Bas, la",172076,2020,1.0,,,,,,,,,,,,
357,Vallbona d'Anoia,082922,2020,1.0,,,,,,,,,,,,
358,Vallfogona de Balaguer,252402,2020,1.0,,,,,,,,,,,,
359,Vallirana,082956,2020,8.0,,,,,,,,,,,,
360,Valls,431613,2020,43.0,,,,,,,,,,,,
361,Vandellòs i l'Hospitalet de l'Infant,431628,2020,6.0,,,,,,,,,,,,
362,"Vendrell, el",431634,2020,37.0,,,,,,,,,,,,
363,Verges,172116,2020,2.0,,,,,,,,,,,,
364,Vic,082981,2020,147.0,,,,,,,,,,,,
365,Vidrà,172121,2020,2.0,,,,,,,,,,,,
366,Vidreres,172137,2020,3.0,,,,,,,,,,,,
367,Vielha e Mijaran,252430,2020,30.0,,,,,,,,,,,,
368,Vilablareix,172155,2020,5.0,,,,,,,,,,,,
369,Vilada,082994,2020,1.0,,,,,,,,,,,,
370,Viladecans,083015,2020,564.0,,,,,,,,,,,,
371,Viladecavalls,083008,2020,2.0,,,,,,,,,,,,
372,Vilafant,172214,2020,2.0,,,,,,,,,,,,
373,Vilafranca del Penedès,083054,2020,137.0,,,,,,,,,,,,
374,Vilanova de Bellpuig,252483,2020,1.0,,,,,,,,,,,,
375,Vilanova del Camí,083020,2020,12.0,,,,,,,,,,,,
376,Vilanova del Vallès,089024,2020,4.0,,,,,,,,,,,,
377,Vilanova i la Geltrú,083073,2020,156.0,,,,,,,,,,,,
378,Vila-seca,431711,2020,37.0,,,,,,,,,,,,
379,Vilassar de Dalt,082140,2020,3.0,,,,,,,,,,,,
380,Vilassar de Mar,082191,2020,38.0,,,,,,,,,,,,
381,Vimbodí i Poblet,431763,2020,1.0,,,,,,,,,,,,
382,Vinyols i els Arcs,431785,2020,1.0,,,,,,,,,,,,
383,Abrera,080018,2019,34.0,,,,,,,,,,,,
384,Agramunt,250030,2019,3.0,,,,,,,,,,,,
385,Aiguamúrcia,430017,2019,1.0,,,,,,,,,,,,
386,Aitona,250387,2019,2.0,,,,,,,,,,,,
387,Alcanar,430043,2019,2.0,,,,,,,,,,,,
388,Alcarràs,250117,2019,6.0,,,,,,,,,,,,
389,Alcoletge,250122,2019,13.0,,,,,,,,,,,,
390,Alcover,430056,2019,4.0,,,,,,,,,,,,
391,"Aldea, l'",439044,2019,3.0,,,,,,,,,,,,
392,Alella,080039,2019,27.0,,,,,,,,,,,,
393,Alguaire,250169,2019,2.0,,,,,,,,,,,,
394,Almacelles,250194,2019,5.0,,,,,,,,,,,,
395,Almenar,250215,2019,2.0,,,,,,,,,,,,
396,Alp,170062,2019,1.0,,,,,,,,,,,,
397,Alpicat,250236,2019,1.0,,,,,,,,,,,,
398,Altafulla,430120,2019,9.0,,,,,,,,,,,,
399,"Ametlla del Vallès, l'",080057,2019,1.0,,,,,,,,,,,,
400,"Ampolla, l'",439060,2019,2.0,,,,,,,,,,,,
401,Amposta,430141,2019,61.0,,,,,,,,,,,,
402,Anglès,170084,2019,7.0,,,,,,,,,,,,
403,"Arboç, l'",430167,2019,11.0,,,,,,,,,,,,
404,Arbúcies,170097,2019,4.0,,,,,,,,,,,,
405,Arenys de Mar,080060,2019,21.0,,,,,,,,,,,,
406,Arenys de Munt,080076,2019,3.0,,,,,,,,,,,,
407,Argençola,080082,2019,1.0,,,,,,,,,,,,
408,Argentona,080095,2019,16.0,,,,,,,,,,,,
409,"Armentera, l'",170118,2019,7.0,,,,,,,,,,,,
410,Artés,080109,2019,12.0,,,,,,,,,,,,
411,Artesa de Lleida,250334,2019,2.0,,,,,,,,,,,,
412,Avinyó,080121,2019,10.0,,,,,,,,,,,,
413,Avinyonet del Penedès,080137,2019,1.0,,,,,,,,,,,,
414,Badalona,080155,2019,708.0,,,,,,,,,,,,
415,Badia del Vallès,089045,2019,30.0,,,,,,,,,,,,
416,Balaguer,250404,2019,53.0,,,,,,,,,,,,
417,Balenyà,080174,2019,1.0,,,,,,,,,,,,
418,Balsareny,080180,2019,2.0,,,,,,,,,,,,
419,Banyeres del Penedès,430206,2019,8.0,,,,,,,,,,,,
420,Banyoles,170157,2019,54.0,,,,,,,,,,,,
421,Barbens,250411,2019,1.0,,,,,,,,,,,,
