,Literal,Codi,Any,Evolucio atur
250,Cornellà de Llobregat,080734,2013,-157.70000000000073
251,Cornellà del Terri,170561,2013,-8.700000000000003
252,Cornudella de Montsant,430496,2013,-3.1000000000000014
253,Creixell,430509,2013,30.400000000000038
254,Crespià,170583,2013,-0.3999999999999986
255,"Cruïlles, Monells i Sant Sadurní de l'Heura",179011,2013,5.799999999999997
256,Cubelles,080749,2013,23.0
257,Cubells,250791,2013,1.8000000000000007
258,Cunit,430516,2013,6.900000000000091
259,Darnius,170600,2013,-1.0
260,Das,170617,2013,-0.4000000000000003
261,Deltebre,439018,2013,7.899999999999864
262,Dosrius,080752,2013,11.100000000000025
263,Duesaigües,430537,2013,6.799999999999997
264,"Escala, l'",170622,2013,-28.0
265,Esparreguera,080765,2013,100.10000000000036
266,Espinelves,170638,2013,1.5
267,"Espluga Calba, l'",250812,2013,-3.1000000000000014
268,"Espluga de Francolí, l'",430542,2013,-0.5999999999999659
269,Esplugues de Llobregat,080771,2013,3.5
270,Espolla,170643,2013,2.6000000000000014
271,Esponellà,170656,2013,-3.0
272,Espot,250827,2013,-0.8000000000000007
273,"Espunyola, l'",080787,2013,0.5999999999999979
274,"Esquirol, l'",082541,2013,4.399999999999977
275,Estamariu,250886,2013,0.5
276,"Estany, l'",080790,2013,4.899999999999999
277,Estaràs,250851,2013,4.9
278,Esterri d'Àneu,250864,2013,1.6000000000000014
279,Esterri de Cardós,250870,2013,-0.0999999999999996
280,Falset,430555,2013,-2.800000000000012
281,"Far d'Empordà, el",170059,2013,2.200000000000003
282,Farrera,250899,2013,1.7999999999999998
283,"Fatarella, la",430568,2013,2.700000000000003
284,"Febró, la",430574,2013,1.2000000000000002
285,Figaró-Montmany,081347,2013,9.700000000000005
286,Fígols,080804,2013,-0.1999999999999999
287,Fígols i Alinyà,259084,2013,-1.2999999999999998
288,"Figuera, la",430580,2013,-0.7000000000000002
289,Figueres,170669,2013,45.19999999999982
290,Figuerola del Camp,430593,2013,5.199999999999999
291,Flaçà,170675,2013,-5.399999999999992
292,Flix,430607,2013,36.70000000000002
293,"Floresta, la",250925,2013,-1.0999999999999996
294,Fogars de la Selva,080826,2013,3.0999999999999943
295,Fogars de Montclús,080811,2013,-6.599999999999998
296,Foixà,170681,2013,-0.3000000000000007
297,Folgueroles,080832,2013,-1.0
298,Fondarella,250931,2013,-6.5
299,Fonollosa,080847,2013,-1.8999999999999917
300,Fontanals de Cerdanya,170694,2013,-1.0999999999999996
301,Fontanilles,170708,2013,0.5
302,Fontcoberta,170715,2013,-1.1999999999999955
303,Font-rubí,080850,2013,-10.400000000000006
304,Foradada,250946,2013,0.5999999999999996
305,Forallac,179026,2013,-4.0
306,Forès,430614,2013,-0.7999999999999998
307,Fornells de la Selva,170736,2013,0.5999999999999943
308,Fortià,170741,2013,-3.599999999999998
309,"Franqueses del Vallès, les",080863,2013,19.700000000000045
310,Freginals,430629,2013,4.5
311,"Fuliola, la",250962,2013,1.0999999999999943
312,Fulleda,250978,2013,0.2000000000000001
