,Codi,Literal,Abans de 1900,De 1900 a 1920,De 1921 a 1940,De 1941 a 1950,De 1951 a 1960,De 1961 a 1970,De 1971 a 1980,De 1981 a 1990,De 1991 a 2001,De 2002 a 2011
219,431299,Riudoms,391,73,50,50,75,133,254,216,265,152
220,081810,"Roca del Vallès, la",161,22,59,67,77,159,388,486,487,403
221,431310,Roda de Berà,143,26,19,32,70,327,1204,919,765,542
222,081831,Roda de Ter,156,66,46,41,80,216,322,289,210,358
223,431331,Roquetes,319,238,140,125,112,132,340,255,255,197
224,171523,Roses,111,25,32,111,207,627,2350,1247,564,393
225,251898,Rosselló,56,23,24,27,47,48,121,79,123,272
226,081846,Rubí,225,133,160,130,506,1522,2249,1728,2183,1723
227,081878,Sabadell,1013,1006,1513,1766,5467,5191,3343,2206,2319,1591
228,081918,Sallent,367,183,138,142,163,150,196,137,135,151
229,439057,Salou,54,5,6,19,68,350,728,381,278,208
230,171557,Salt,87,70,88,92,292,393,565,369,250,350
231,081944,Sant Adrià de Besòs,13,15,140,112,206,302,255,86,118,90
232,081960,Sant Andreu de la Barca,28,43,14,35,76,176,376,501,513,415
233,081976,Sant Andreu de Llavaneres,89,37,49,53,131,277,309,690,337,349
234,081982,Sant Antoni de Vilamajor,44,38,22,48,70,125,423,534,317,368
235,082009,Sant Boi de Llobregat,335,192,200,220,544,1287,1128,800,794,395
236,431362,Sant Carles de la Ràpita,100,104,126,141,326,523,631,587,445,196
237,082037,Sant Cebrià de Vallalta,2,0,2,1,11,55,383,454,400,201
238,082021,Sant Celoni,90,58,81,132,385,438,663,634,642,286
239,082042,Sant Climent de Llobregat,163,17,17,12,43,60,154,84,261,147
240,082055,Sant Cugat del Vallès,219,165,542,626,1137,1507,1950,1630,2568,1548
241,082074,Sant Esteve de Palautordera,95,2,13,28,229,84,153,193,89,149
242,082080,Sant Esteve Sesrovires,98,42,42,30,91,121,592,332,560,400
243,082107,Sant Feliu de Codines,119,60,86,146,173,287,337,191,185,173
244,171609,Sant Feliu de Guíxols,393,240,289,312,522,1024,1324,936,716,641
245,082114,Sant Feliu de Llobregat,247,152,254,81,249,352,308,179,635,206
246,082093,Sant Fost de Campsentelles,22,30,82,62,108,190,440,752,758,275
247,082135,Sant Fruitós de Bages,250,36,34,30,321,171,328,345,339,297
248,171637,Sant Gregori,65,12,12,20,36,60,193,144,242,221
249,171642,Sant Hilari Sacalm,170,92,107,83,145,233,321,271,203,171
250,082153,Sant Hipòlit de Voltregà,79,17,17,24,61,177,197,85,175,137
251,439023,Sant Jaume d'Enveja,111,72,105,139,192,234,268,97,145,148
252,431378,Sant Jaume dels Domenys,197,73,32,28,21,47,278,238,239,199
253,171674,Sant Joan de les Abadesses,165,99,51,38,70,81,133,54,65,104
254,082188,Sant Joan de Vilatorrada,81,44,24,36,137,296,645,277,425,204
255,082172,Sant Joan Despí,43,79,71,59,214,561,292,94,368,97
256,171851,Sant Joan les Fonts,154,6,10,14,32,155,256,62,90,151
257,171693,Sant Julià de Ramis,204,18,5,52,121,83,120,140,105,88
258,082205,Sant Julià de Vilatorta,177,9,12,21,29,68,215,90,217,106
259,082212,Sant Just Desvern,93,67,103,124,185,331,328,300,226,171
260,082227,Sant Llorenç d'Hortons,10,7,6,5,18,65,312,228,197,89
