,Any,Solar,Literal,Codi
60,2012,4.0826,Calonge,080364
61,2012,80.7427,Calella,080351
62,2012,29.2541,Calders,080348
63,2012,183.3682,Caldes de Montbui,080333
64,2012,22.5241,Caldes d'Estrac,080327
65,2012,38.2388,Calaf,080312
66,2012,47.8384,Balsareny,080180
67,2012,39.998,Cabrera de Mar,080291
68,2012,5702.2553,Barcelona,080193
69,2012,8.3682,"Cabanyes, les",080272
70,2012,7.6725,"Brull, el",080266
71,2012,37.7864,"Bruc, el",080253
72,2012,8.5091,Borredà,080240
73,2012,197.9205,Bigues i Riells,080235
74,2012,87.8948,Berga,080229
75,2012,1.0822,Bellprat,080214
76,2012,15.881,Callús,080386
77,2012,103.6562,Cabrils,080305
78,2012,116.6988,Montgat,081265
79,2012,91.8254,Montmeló,081350
80,2012,14.1559,Figaró-Montmany,081347
81,2012,9.1309,Montmaneu,081332
82,2012,8.0642,Montmajor,081326
83,2012,10.6709,Montesquiu,081311
84,2012,0.4855,Montclar,081304
85,2012,41.9804,Muntanyola,081290
86,2012,146.1498,"Masnou, el",081189
87,2012,42.5496,Monistrol de Montserrat,081271
88,2012,54.4366,Moià,081385
89,2012,322.7265,Montcada i Reixac,081252
90,2012,317.3279,Mollet del Vallès,081249
91,2012,162.5908,Molins de Rei,081234
92,2012,58.1383,Mediona,081228
93,2012,386.7198,Mataró,081213
94,2012,362.2086,Matadepera,081206
95,2012,156.9665,Esparreguera,080765
96,2012,13.4266,Monistrol de Calders,081287
97,2012,19.2708,Olesa de Bonesvalls,081461
98,2012,94.6251,Palafolls,081555
99,2012,17.5177,Pacs del Penedès,081542
100,2012,16.4171,Òrrius,081537
101,2012,3.1026,Orpí,081521
102,2012,10.7961,Oristà,081516
103,2012,13.4474,Orís,081509
104,2012,24.1149,Olost,081496
105,2012,65.3125,Montornès del Vallès,081363
106,2012,69.7903,Olesa de Montserrat,081477
107,2012,1.5558,Montseny,081379
108,2012,115.1649,Olèrdola,081458
109,2012,16.3251,Olvan,081445
110,2012,64.5332,Òdena,081430
111,2012,2.8441,"Nou de Berguedà, la",081424
112,2012,41.8123,Navàs,081419
113,2012,60.6289,Navarcles,081402
114,2012,8.7608,Mura,081398
115,2012,41.7546,"Masies de Voltregà, les",081173
116,2012,135.4328,Olivella,081483
117,2012,21.5341,Font-rubí,080850
118,2012,16.5154,"Granada, la",080945
119,2012,0.0,Gisclareny,080930
120,2012,64.5128,Gironella,080924
121,2012,76.6392,Gelida,080919
122,2012,2.3578,Gaià,080902
123,2012,284.1583,Gavà,080898
124,2012,118.6765,"Garriga, la",080885
125,2012,131.5928,Masquefa,081192
126,2012,143.1471,"Franqueses del Vallès, les",080863
127,2012,14.294,Gualba,080977
128,2012,47.6066,Fonollosa,080847
129,2012,20.8723,Folgueroles,080832
130,2012,41.0733,Fogars de la Selva,080826
131,2012,7.1502,Fogars de Montclús,080811
132,2012,1.055,Fígols,080804
133,2012,11.9235,"Estany, l'",080790
134,2012,76.0156,Palau-solità i Plegamans,081568
135,2012,6.8718,Gallifa,080879
136,2012,237.7724,Lliçà d'Amunt,081075
137,2012,8.299,"Masies de Roda, les",081167
138,2012,62.5283,Martorelles,081154
139,2012,150.3327,Martorell,081141
140,2012,353.474,Manresa,081136
141,2012,116.0643,Manlleu,081120
142,2012,0.0,Malla,081115
143,2012,93.2424,Malgrat de Mar,081108
144,2012,2.334,Granera,080958
145,2012,113.61,Lliçà de Vall,081081
146,2012,306.994,Granollers,080961
147,2012,114.4205,Llinars del Vallès,081069
148,2012,29.8863,"Llagosta, la",081056
149,2012,17.2337,Jorba,081038
150,2012,582.4106,"Hospitalet de Llobregat, l'",081017
151,2012,55.7722,Gurb,081000
152,2012,11.7625,Guardiola de Berguedà,080996
153,2012,42.1345,Sant Salvador de Guardiola,080983
154,2012,189.5342,Esplugues de Llobregat,080771
155,2012,4.6941,Lluçà,081094
156,2012,2.5987,Meranges,170998
157,2012,13.6787,Mont-ras,171100
158,2012,3.5318,Masarac,171002
159,2012,7.5737,Montagut i Oix,171096
160,2012,20.8059,Maçanet de Cabrenys,171024
161,2012,2.3131,Mollet de Peralada,171061
162,2012,186.5776,Maçanet de la Selva,171030
163,2012,10.2838,Molló,171077
164,2012,19.6365,Llívia,170947
165,2012,5.4212,Mieres,171058
166,2012,6.5782,Massanes,171019
167,2012,12.4406,Maià de Montcal,170985
168,2012,3.8244,Madremanya,170979
169,2012,14.9439,Llanars,170911
170,2012,345.0295,Lloret de Mar,170950
171,2012,19.3273,Llers,170932
172,2012,114.7909,Llançà,170926
173,2012,11.8908,Navata,171117
174,2012,23.6241,"Planes d'Hostoles, les",171334
175,2012,10.1141,Llambilles,170904
176,2012,53.0891,Llagostera,170890
177,2012,1.5448,"Llosses, les",170963
178,2012,1.6117,Pardines,171254
179,2012,192.222,Castelló d'Empúries,170470
180,2012,8.0831,Lladó,170887
181,2012,24.0244,"Preses, les",171390
182,2012,12.9226,Portbou,171387
183,2012,51.1112,Porqueres,171371
184,2012,3.6885,Pontós,171365
185,2012,3.2047,Pont de Molins,171352
186,2012,12.1554,Planoles,171349
187,2012,42.1048,Peralada,171328
188,2012,2.0645,Pedret i Marzà,171292
189,2012,4.9082,"Pera, la",171306
190,2012,8.6125,Parlavà,171267
191,2012,9.5406,Ogassa,171122
192,2012,124.0241,Pals,171241
193,2012,3.4542,Palol de Revardit,171236
194,2012,6.7341,Palau-sator,171215
195,2012,10.583,Palau-saverdera,171208
196,2012,1.6222,Palau de Santa Eulàlia,171194
197,2012,143.1543,Palamós,171181
198,2012,224.3374,Palafrugell,171175
199,2012,6.2731,Osor,171169
200,2012,8.2841,Ordis,171156
201,2012,253.3282,Olot,171143
202,2012,10.5925,Pau,171289
203,2012,6.6709,Castellfollit de la Roca,170464
204,2012,16.7688,Das,170617
205,2012,5.9821,Darnius,170600
206,2012,3.3798,Crespià,170583
207,2012,7.1569,Corçà,170577
208,2012,28.3701,Cornellà del Terri,170561
209,2012,2.3589,Colomers,170558
210,2012,11.5984,Colera,170545
211,2012,4.4164,Siurana,170524
212,2012,6.1718,Cistella,170519
213,2012,38.1812,Celrà,170499
214,2012,311.5166,Castell-Platja d'Aro,170486
215,2012,5.8985,Espolla,170643
216,2012,62.2131,Cassà de la Selva,170448
217,2012,3.9054,Queralbs,170433
218,2012,10.3765,Capmany,170427
219,2012,7.6414,Cantallops,170412
220,2012,3.8871,Canet d'Adri,170405
221,2012,61.7141,Camprodon,170391
222,2012,17.0816,Campllong,170388
223,2012,43.3891,"Port de la Selva, el",171404
224,2012,10.2072,Torroella de Fluvià,171984
225,2012,16.4822,Cervià de Ter,170502
226,2012,4.1918,Garrigàs,170754
227,2012,68.8108,"Jonquera, la",170865
228,2012,5.1913,Jafre,170852
229,2012,6.5271,Isòvol,170849
230,2012,36.0572,Hostalric,170834
231,2012,19.8249,Guils de Cerdanya,170828
232,2012,3.1196,Gualta,170813
233,2012,4.5993,Gombrèn,170806
234,2012,742.2369,Girona,170792
235,2012,14.886,Ger,170789
236,2012,193.3713,"Escala, l'",170622
237,2012,2.1967,Garrigoles,170767
238,2012,4.6662,Espinelves,170638
239,2012,8.301,Fortià,170741
240,2012,29.8947,Fornells de la Selva,170736
241,2012,12.7885,Fontcoberta,170715
242,2012,4.6742,Fontanilles,170708
243,2012,24.3555,Fontanals de Cerdanya,170694
244,2012,8.9612,Foixà,170681
245,2012,14.4507,Flaçà,170675
246,2012,178.7003,Figueres,170669
247,2012,3.7334,Esponellà,170656
248,2012,3.5608,Juià,170871
249,2012,19.803,Garriguella,170773
250,2012,7.3077,Tortellà,172001
251,2012,12.6999,Verges,172116
252,2012,17.9168,Ventalló,172109
253,2012,5.0253,Vall-llobrega,172095
254,2012,13.7782,"Vall de Bianya, la",172082
255,2012,39.1892,"Vall d'en Bas, la",172076
256,2012,6.4777,Urús,172060
257,2012,2.9609,Ullastret,172057
258,2012,14.6949,Ullà,172044
259,2012,3.2814,Ultramort,172039
260,2012,9.0911,Serinyà,171903
261,2012,4.8954,Toses,172018
262,2012,7.8939,Vilabertran,172142
263,2012,196.7983,Torroella de Montgrí,171997
264,2012,5.6419,Vallcebre,082938
265,2012,2.9162,Torrent,171978
266,2012,9.0502,Campelles,170372
267,2012,15.606,"Tallada d'Empordà, la",171959
268,2012,0.267,Susqueda,171946
269,2012,34.9594,Sils,171931
270,2012,3.8061,Setcases,171925
271,2012,2.2414,Terrades,171962
272,2012,101.4357,Tossa de Mar,172023
273,2012,3.8236,Vilamacolum,172253
274,2012,1.3808,Abella de la Conca,250019
275,2012,12.7667,Sant Julià del Llor i Bonmatí,179032
276,2012,18.7476,Forallac,179026
277,2012,3.4028,Biure,172348
278,2012,22.7265,Vilobí d'Onyar,172333
279,2012,5.3408,Vilopriu,172327
280,2012,12.3245,Vila-sacra,172305
281,2012,3.1431,Vilanant,172288
282,2012,9.5257,Vidrà,172121
283,2012,69.6791,Vilamalla,172266
284,2012,149.5806,Vidreres,172137
285,2012,10.0675,Vilallonga de Ter,172240
286,2012,15.4086,Vilajuïga,172235
287,2012,7.7863,Vilaür,172229
288,2012,40.491,Vilafant,172214
289,2012,36.0087,Viladrau,172207
290,2012,5.1668,Vilademuls,172180
291,2012,11.9645,Viladamat,172174
292,2012,1.8733,Viladasens,172168
293,2012,26.573,Vilablareix,172155
294,2012,14.224,"Cellera de Ter, la",171899
295,2012,4.8094,Vilamaniscle,172272
296,2012,2.6523,Riumors,171518
297,2012,55.7633,Sant Gregori,171637
298,2012,4.1218,Sant Ferriol,171621
299,2012,21.9041,Sant Feliu de Pallerols,171616
300,2012,193.8357,Sant Feliu de Guíxols,171609
301,2012,66.8042,Sant Feliu de Buixalleu,171595
302,2012,7.8899,Sant Climent Sescebes,171582
303,2012,1.154,Sant Andreu Salou,171576
304,2012,94.9864,Salt,171557
305,2012,3.8726,Sales de Llierca,171544
306,2012,6.7788,Serra de Daró,171910
307,2012,258.9441,Roses,171523
308,2012,10.5998,Sant Jordi Desvalls,171668
309,2012,47.7647,Riudellots de la Selva,171501
310,2012,4.2082,Riudaura,171498
311,2012,137.825,Riudarenes,171485
312,2012,120.4317,Ripoll,171479
313,2012,11.4922,Riells i Viabrea,171463
314,2012,22.1491,Ribes de Freser,171450
315,2012,4.71,Regencós,171447
316,2012,1.5166,Rabós,171432
317,2012,25.2241,Quart,171426
318,2012,2.6639,Rupià,171539
319,2012,2.3781,Sant Mori,171766
320,2012,3.9579,"Selva de Mar, la",171886
321,2012,10.306,"Saus, Camallera i Llampaies",171870
322,2012,47.1439,Sarrià de Ter,171864
323,2012,37.8446,Sant Joan les Fonts,171851
324,2012,17.233,Santa Pau,171848
325,2012,2.56,Sant Aniol de Finestres,171833
326,2012,5.9397,Santa Llogaia d'Àlguema,171827
327,2012,157.1188,Santa Cristina d'Aro,171812
328,2012,104.6748,Santa Coloma de Farners,171805
329,2012,46.6257,Sant Hilari Sacalm,171642
330,2012,10.0016,Sant Pau de Segúries,171772
331,2012,15.3316,Sant Jaume de Llierca,171655
332,2012,7.2874,Sant Miquel de Fluvià,171753
333,2012,1.9469,Sant Miquel de Campmajor,171740
334,2012,3.2877,Sant Martí Vell,171735
335,2012,7.4829,Sant Martí de Llémena,171729
336,2012,5.4637,Sant Llorenç de la Muga,171714
337,2012,4.29,Vallfogona de Ripollès,171707
338,2012,100.3054,Sant Julià de Ramis,171693
339,2012,5.4238,Sant Joan de Mollet,171680
340,2012,34.5257,Sant Joan de les Abadesses,171674
341,2012,85.8403,Puigcerdà,171411
342,2012,32.5825,Sant Pere Pescador,171788
343,2012,1.4382,Sant Jaume de Frontanyà,082166
344,2012,19.7724,Sant Martí Sarroca,082270
345,2012,7.823,Sant Martí de Tous,082264
346,2012,1.2918,Sant Martí d'Albars,082251
347,2012,20.223,Sant Martí de Centelles,082248
348,2012,20.7035,Sant Llorenç Savall,082233
349,2012,28.2449,Sant Llorenç d'Hortons,082227
350,2012,185.761,Sant Just Desvern,082212
351,2012,56.9614,Sant Julià de Vilatorta,082205
352,2012,64.7316,Vilassar de Mar,082191
353,2012,375.3118,Vallirana,082956
354,2012,184.6727,Sant Joan Despí,082172
355,2012,80.0184,Premià de Dalt,082303
356,2012,36.2535,Sant Hipòlit de Voltregà,082153
357,2012,49.4048,Vilassar de Dalt,082140
358,2012,125.2933,Sant Fruitós de Bages,082135
359,2012,12.4714,Sant Feliu Sasserra,082129
360,2012,188.8634,Sant Feliu de Llobregat,082114
361,2012,43.6879,Sant Feliu de Codines,082107
362,2012,124.6503,Sant Fost de Campsentelles,082093
363,2012,118.8414,Sant Esteve Sesrovires,082080
364,2012,10.8604,Sant Esteve de Palautordera,082074
365,2012,56.3608,Sant Joan de Vilatorrada,082188
366,2012,101.0465,Sant Sadurní d'Anoia,082401
367,2012,117.7603,Santa Margarida i els Monjos,082515
368,2012,43.9565,Santa Margarida de Montbui,082508
369,2012,6.9142,Santa Fe del Penedès,082495
370,2012,89.3103,Santa Eulàlia de Ronçana,082482
371,2012,11.6764,Santa Eulàlia de Riuprimer,082476
372,2012,20.0513,Santa Eugènia de Berga,082460
373,2012,250.0019,Santa Coloma de Gramenet,082457
374,2012,74.146,Santa Coloma de Cervelló,082444
375,2012,1.7648,Santa Cecília de Voltregà,082439
376,2012,4.3981,Sant Martí Sesgueioles,082286
377,2012,1.6896,Sant Sadurní d'Osormort,082418
378,2012,5.7134,Sant Mateu de Bages,082299
379,2012,49.1064,Sant Quirze Safaja,082397
380,2012,179.6044,Sant Quirze del Vallès,082384
381,2012,19.5757,Sant Quirze de Besora,082378
382,2012,19.9109,Sant Quintí de Mediona,082362
383,2012,22.4552,Sant Pol de Mar,082359
384,2012,131.4092,Sant Pere de Vilamajor,082346
385,2012,27.7417,Sant Pere de Torelló,082331
386,2012,17.7587,Sant Pere de Riudebitlles,082325
387,2012,157.287,Sant Pere de Ribes,082310
388,2012,31.059,Sant Climent de Llobregat,082042
389,2012,2.7656,Marganell,082423
390,2012,5.8169,Puigdàlber,081748
391,2012,18.3381,Sant Cugat Sesgarrigues,082068
392,2012,324.5407,Rubí,081846
393,2012,46.1673,Roda de Ter,081831
394,2012,43.1891,"Pont de Vilomara i Rocafort, el",081825
395,2012,88.3211,"Roca del Vallès, la",081810
396,2012,189.2409,Ripollet,081803
397,2012,32.7389,Rellinars,081799
398,2012,7.5001,Rajadell,081786
399,2012,0.5972,"Quar, la",081770
400,2012,914.3015,Sabadell,081878
401,2012,75.4075,Puig-reig,081751
402,2012,0.0,Sagàs,081884
403,2012,66.1415,Premià de Mar,081727
404,2012,20.638,Prats de Lluçanès,081712
405,2012,7.3001,"Prats de Rei, els",081705
406,2012,308.3529,"Prat de Llobregat, el",081691
407,2012,23.2917,Pontons,081688
408,2012,83.5186,Polinyà,081672
409,2012,13.0308,"Pobla de Lillet, la",081666
410,2012,19.3004,"Pobla de Claramunt, la",081653
411,2012,17.0619,"Pla del Penedès, el",081640
412,2012,114.3845,Pineda de Mar,081635
413,2012,7.4594,Pujalt,081764
414,2012,15.1031,Sant Iscle de Vallalta,081939
415,2012,33.9748,"Esquirol, l'",082541
416,2012,94.0557,Sant Cebrià de Vallalta,082037
417,2012,119.42,Sant Celoni,082021
418,2012,9.5825,Sant Boi de Lluçanès,082016
419,2012,427.6984,Sant Boi de Llobregat,082009
420,2012,11.9514,Sant Bartomeu del Grau,081995
421,2012,69.212,Sant Antoni de Vilamajor,081982
422,2012,45.173,Sant Andreu de Llavaneres,081976
423,2012,159.8051,Sant Andreu de la Barca,081960
424,2012,2.2219,Rubió,081859
425,2012,248.6116,Sant Adrià de Besòs,081944
426,2012,1104.2768,Sant Cugat del Vallès,082055
427,2012,78.7022,Santpedor,081923
428,2012,133.2569,Sallent,081918
429,2012,5.3732,Saldes,081901
430,2012,4.0777,Sant Pere Sallavinera,081897
431,2012,25.8302,"Hostalets de Pierola, els",081629
432,2012,297.7221,Piera,081614
433,2012,11.5798,Perafita,081607
434,2012,167.7067,Parets del Vallès,081593
435,2012,59.5245,"Papiol, el",081580
436,2012,120.412,Pallejà,081574
437,2012,1.0252,Sant Agustí de Lluçanès,081957
438,2012,46.7046,Badia del Vallès,089045
439,2012,296.6029,Viladecans,083015
440,2012,53.6539,Arbúcies,170097
441,2012,29.5396,Anglès,170084
442,2012,28.649,Amer,170078
443,2012,77.0361,Alp,170062
444,2012,4.6987,"Far d'Empordà, el",170059
445,2012,10.8447,Albons,170046
446,2012,1.7538,Albanyà,170031
447,2012,7.3387,Aiguaviva,170025
448,2012,12.2509,"Armentera, l'",170118
449,2012,25.2195,"Palma de Cervelló, la",089058
450,2012,26.5102,Avinyonet de Puigventós,170123
451,2012,4.7833,Sant Julià de Cerdanyola,089030
452,2012,90.087,Vilanova del Vallès,089024
453,2012,2.1324,Rupit i Pruit,089019
454,2012,1.3301,Viver i Serrateix,083089
455,2012,262.4617,Vilanova i la Geltrú,083073
456,2012,8.7284,Vilalba Sasserra,083067
457,2012,193.3295,Vilafranca del Penedès,083054
458,2012,15.2579,Vilobí del Penedès,083041
459,2012,6.2206,Vilanova de Sau,083036
460,2012,262.9035,Barberà del Vallès,082520
461,2012,11.5044,Agullana,170010
462,2012,31.698,Bolvir,170242
463,2012,9.704,Camós,170353
464,2012,215.0021,Calonge de Segarra,170340
465,2012,140.9963,Caldes de Malavella,170335
466,2012,45.4726,Cadaqués,170329
467,2012,2.0301,Cabanelles,170314
468,2012,4.1149,Cabanes,170307
469,2012,6.0458,Boadella i les Escaules,170293
470,2012,3.2381,Brunyola,170280
471,2012,27.5483,Breda,170274
472,2012,5.2703,Argelaguer,170101
473,2012,20.4566,Bordils,170255
474,2012,111.9365,Viladecavalls,083008
475,2012,211.0379,Blanes,170237
476,2012,48.5249,"Bisbal d'Empordà, la",170221
477,2012,0.5313,Beuda,170216
478,2012,100.2996,Bescanó,170209
479,2012,37.8396,Besalú,170195
480,2012,10.1414,Bellcaire d'Empordà,170182
481,2012,18.7423,Bàscara,170160
482,2012,102.796,Banyoles,170157
483,2012,4.0607,"Vajol, la",170144
484,2012,202.6517,Begur,170139
485,2012,9.4096,Borrassà,170268
486,2012,47.0992,Sant Vicenç de Montalt,082649
487,2012,75.2296,Vilanova del Camí,083020
488,2012,43.3519,Súria,082747
489,2012,68.7909,Subirats,082732
490,2012,8.8867,Sora,082726
491,2012,1.5911,Sobremunt,082711
492,2012,284.4989,Sitges,082704
493,2012,241.8801,Seva,082690
494,2012,43.7968,Cercs,082687
495,2012,127.1088,Sentmenat,082671
496,2012,8.5972,Tagamanent,082763
497,2012,25.0454,Sant Vicenç de Torelló,082652
498,2012,10.1098,Talamanca,082779
499,2012,193.0076,Sant Vicenç dels Horts,082634
500,2012,60.825,Sant Vicenç de Castellet,082628
501,2012,42.9934,Santa Susanna,082613
502,2012,254.5735,Santa Perpètua de Mogoda,082606
503,2012,114.6848,Santa Maria de Palautordera,082592
504,2012,12.3215,Santa Maria d'Oló,082589
505,2012,0.0,Santa Maria de Miralles,082573
506,2012,6.3302,Santa Maria de Martorelles,082567
507,2012,0.0,Santa Maria de Merlès,082554
508,2012,23.5411,Campdevànol,170366
509,2012,584.3043,Cerdanyola del Vallès,082665
510,2012,47.0815,Torrelles de Foix,082883
511,2012,7.324,Vilada,082994
512,2012,415.0659,Vic,082981
513,2012,3.6374,Veciana,082975
514,2012,54.1318,Vallromanes,082969
515,2012,21.3332,Àger,250024
516,2012,103.0862,Vallgorguina,082943
517,2012,1.1917,Bausen,250450
518,2012,12.6585,Vallbona d'Anoia,082922
519,2012,126.2181,Vacarisses,082917
520,2012,4.3174,Tavèrnoles,082750
521,2012,91.0717,Torrelles de Llobregat,082896
522,2012,2.525,Santa Maria de Besora,082536
523,2012,22.5205,Torrelavit,082877
524,2012,83.0066,"Torre de Claramunt, la",082861
525,2012,98.4882,Torelló,082858
526,2012,188.5709,Tordera,082845
527,2012,85.007,Tona,082830
528,2012,67.4535,Tiana,082824
529,2012,68.2108,Teià,082819
530,2012,4.0102,Tavertet,082802
531,2012,1001.6603,Terrassa,082798
532,2012,79.6438,Taradell,082785
533,2012,47.3474,Ullastrell,082900
534,2012,107.4145,"Sénia, la",430445
535,2012,10.7083,"Fatarella, la",430568
536,2012,33.5555,Falset,430555
537,2012,29.2625,"Espluga de Francolí, l'",430542
538,2012,3.9358,Duesaigües,430537
539,2012,8.9108,Xerta,430521
540,2012,157.4162,Cunit,430516
541,2012,59.3401,Creixell,430509
542,2012,15.7319,Cornudella de Montsant,430496
543,2012,12.5677,Corbera d'Ebre,430483
544,2012,149.7123,Constantí,430477
545,2012,1.9824,"Milà, el",430831
546,2012,2.7412,Colldejou,430458
547,2012,5.3438,Figuerola del Camp,430593
548,2012,105.2056,"Catllar, el",430430
549,2012,48.108,Castellvell del Camp,430424
550,2012,4.3883,Caseres,430419
551,2012,2.7402,Capçanes,430402
552,2012,2.9687,Capafonts,430398
553,2012,357.5252,Cambrils,430385
554,2012,371.9025,Calafell,430379
555,2012,49.8027,Cabra del Camp,430363
556,2012,3.9719,Cabacés,430350
557,2012,10.1769,Bràfim,430347
558,2012,2.385,Conesa,430461
559,2012,4.8397,"Guiamets, els",430705
560,2012,25.5118,"Vall de Boí, la",250432
561,2012,8.0829,Maspujols,430810
562,2012,1.3833,"Masó, la",430803
563,2012,20.7478,Masllorenç,430799
564,2012,10.9564,Masdenverge,430786
565,2012,4.6966,Mas de Barberans,430770
566,2012,8.9886,Marçà,430764
567,2012,1.9813,Margalef,430751
568,2012,39.7616,Llorenç del Penedès,430748
569,2012,3.9796,Llorac,430733
570,2012,0.9546,"Febró, la",430574
571,2012,14.8825,Horta de Sant Joan,430712
572,2012,2.1679,"Figuera, la",430580
573,2012,3.3528,Gratallops,430691
574,2012,7.1414,Godall,430688
575,2012,7.4703,Ginestar,430672
576,2012,4.881,"Garidells, els",430666
577,2012,8.5014,Garcia,430653
578,2012,26.3704,Gandesa,430640
579,2012,6.2859,"Galera, la",430635
580,2012,3.9676,Freginals,430629
581,2012,2.8439,Forès,430614
582,2012,54.6129,Flix,430607
583,2012,19.4138,"Borges del Camp, les",430311
584,2012,1.6295,"Lloar, el",430727
585,2012,6.5572,"Valls d'Aguilar, les",259062
586,2012,10.5699,Botarell,430332
587,2012,174.9863,Alcanar,430043
588,2012,0.9691,"Albiol, l'",430038
589,2012,32.4338,Albinyana,430022
590,2012,55.2847,Aiguamúrcia,430017
591,2012,2.0636,Riu de Cerdanya,259139
592,2012,28.5466,Gimenells i el Pla de la Font,259123
593,2012,14.115,"Plans de Sió, els",259118
594,2012,3.5797,Josa i Tuixén,259101
595,2012,5.1384,"Vansa i Fórnols, la",259097
596,2012,4.7313,Aldover,430069
597,2012,11.523,Torrefeta i Florejacs,259078
598,2012,2.8103,"Aleixar, l'",430075
599,2012,10.7115,Ribera d'Ondara,259059
600,2012,4.8313,Castell de Mur,259046
601,2012,6.7262,"Guingueta d'Àneu, la",259031
602,2012,7.2412,Sant Martí de Riucorb,259025
603,2012,9.7401,Vall de Cardós,259010
604,2012,9.5782,Vinaixa,252555
605,2012,17.1869,Vilanova de la Barca,252542
606,2012,4.3763,"Vilosell, el",252537
607,2012,6.6614,Vila-sana,252521
608,2012,7.5863,Vilanova de Segrià,252516
609,2012,7.0827,Vilanova de Meià,252509
610,2012,5.2014,Fígols i Alinyà,259084
611,2012,29.6367,Ascó,430192
612,2012,6.8903,Miravet,430846
613,2012,16.6182,Bonastre,430304
614,2012,5.4579,Blancafort,430290
615,2012,152.3353,"Bisbal del Penedès, la",430287
616,2012,1.7568,"Bisbal de Falset, la",430271
617,2012,10.5239,Benissanet,430265
618,2012,7.5301,Benifallet,430252
619,2012,42.8631,Bellvei,430249
620,2012,3.471,Bellmunt del Priorat,430234
621,2012,20.0076,Batea,430228
622,2012,30.5272,Alcover,430056
623,2012,34.1175,Banyeres del Penedès,430206
624,2012,7.1129,Bot,430326
625,2012,5.3242,Arnes,430189
626,2012,2.9601,"Argentera, l'",430173
627,2012,67.9175,"Arboç, l'",430167
628,2012,0.9092,Arbolí,430154
629,2012,178.0583,Amposta,430141
630,2012,192.6683,"Ametlla de Mar, l'",430136
631,2012,70.6743,Altafulla,430120
632,2012,26.4389,Almoster,430115
633,2012,6.9737,Alió,430108
634,2012,8.6989,Alforja,430094
635,2012,3.7484,Alfara de Carles,430081
636,2012,9.6035,Barberà de la Conca,430213
637,2012,1347.9189,Tarragona,431482
638,2012,25.9745,Vallmoll,431606
639,2012,4.4993,Vallfogona de Riucorb,431592
640,2012,2.0845,Vallclara,431589
641,2012,5.1759,Ulldemolins,431573
642,2012,63.5611,Ulldecona,431567
643,2012,378.7753,Tortosa,431554
644,2012,2.428,Torroja del Priorat,431541
645,2012,120.9374,Torredembarra,431536
646,2012,6.1599,"Torre de l'Espanyol, la",431520
647,2012,2.8476,"Torre de Fontaubella, la",431515
648,2012,5.1988,"Masroig, el",430825
649,2012,8.3583,Tivenys,431495
650,2012,361.3222,"Vendrell, el",431634
651,2012,8.7655,Solivella,431476
652,2012,0.697,Senan,431460
653,2012,50.2667,"Selva del Camp, la",431457
654,2012,19.8522,"Secuita, la",431444
655,2012,3.365,Savallà del Comtat,431439
656,2012,28.8055,Sarral,431423
657,2012,3.5708,Pontils,431418
658,2012,88.1429,Santa Oliva,431401
