,Literal,Codi,Any,Renda
329,Sant Joan de les Abadesses,171674,2010,17.3
330,Sant Joan de Vilatorrada,082188,2010,15.6
331,Sant Joan Despí,082172,2010,19.2
332,Sant Joan les Fonts,171851,2010,16.7
333,Sant Julià de Ramis,171693,2010,17.2
334,Sant Julià de Vilatorta,082205,2010,17.7
335,Sant Julià del Llor i Bonmatí,179032,2010,15.8
336,Sant Just Desvern,082212,2010,24.9
337,Sant Llorenç d'Hortons,082227,2010,17.0
338,Sant Llorenç Savall,082233,2010,14.9
339,Sant Martí de Centelles,082248,2010,13.8
340,Sant Martí de Tous,082264,2010,15.4
341,Sant Martí Sarroca,082270,2010,15.2
342,Sant Pere de Ribes,082310,2010,16.3
343,Sant Pere de Riudebitlles,082325,2010,16.4
344,Sant Pere de Torelló,082331,2010,16.1
345,Sant Pere de Vilamajor,082346,2010,17.4
346,Sant Pere Pescador,171788,2010,12.2
347,Sant Pol de Mar,082359,2010,18.8
348,Sant Quintí de Mediona,082362,2010,14.7
349,Sant Quirze de Besora,082378,2010,15.6
350,Sant Quirze del Vallès,082384,2010,21.8
351,Sant Sadurní d'Anoia,082401,2010,17.9
352,Sant Salvador de Guardiola,080983,2010,15.1
353,Sant Vicenç de Castellet,082628,2010,14.8
354,Sant Vicenç de Montalt,082649,2010,23.2
355,Sant Vicenç de Torelló,082652,2010,16.8
356,Sant Vicenç dels Horts,082634,2010,15.1
357,Santa Bàrbara,431384,2010,12.5
358,Santa Coloma de Cervelló,082444,2010,18.4
359,Santa Coloma de Farners,171805,2010,14.2
360,Santa Coloma de Gramenet,082457,2010,13.8
361,Santa Coloma de Queralt,431397,2010,14.8
362,Santa Cristina d'Aro,171812,2010,15.3
363,Santa Eugènia de Berga,082460,2010,15.3
364,Santa Eulàlia de Riuprimer,082476,2010,17.2
365,Santa Eulàlia de Ronçana,082482,2010,17.4
366,Santa Margarida de Montbui,082508,2010,12.8
367,Santa Margarida i els Monjos,082515,2010,14.3
368,Santa Maria d'Oló,082589,2010,17.2
369,Santa Maria de Palautordera,082592,2010,15.4
370,Santa Oliva,431401,2010,12.6
371,Santa Pau,171848,2010,17.1
372,Santa Perpètua de Mogoda,082606,2010,16.2
373,Santa Susanna,082613,2010,15.4
374,Santpedor,081923,2010,17.9
375,Sarral,431423,2010,12.7
376,Sarrià de Ter,171864,2010,17.2
377,"Secuita, la",431444,2010,17.0
378,"Selva del Camp, la",431457,2010,15.1
379,"Sénia, la",430445,2010,11.8
380,Sentmenat,082671,2010,15.8
