,Any,Literal,Codi,Connectivitat
352,2012,Sant Julià de Vilatorta,082205,30.6274
353,2012,Vilassar de Mar,082191,31.412100000000002
354,2012,Vallirana,082956,94.0392
355,2012,Sant Joan Despí,082172,87.5486
356,2012,Premià de Dalt,082303,51.553200000000004
357,2012,Sant Hipòlit de Voltregà,082153,13.0522
358,2012,Vilassar de Dalt,082140,28.990899999999996
359,2012,Sant Fruitós de Bages,082135,61.4206
360,2012,Sant Feliu Sasserra,082129,7.728400000000001
361,2012,Sant Feliu de Llobregat,082114,97.8453
362,2012,Sant Feliu de Codines,082107,26.698800000000002
363,2012,Sant Fost de Campsentelles,082093,54.342699999999994
364,2012,Sant Esteve Sesrovires,082080,45.1556
365,2012,Sant Esteve de Palautordera,082074,7.814399999999999
366,2012,Sant Joan de Vilatorrada,082188,28.2603
367,2012,Sant Sadurní d'Anoia,082401,51.3827
368,2012,Santa Margarida i els Monjos,082515,54.042199999999994
369,2012,Santa Margarida de Montbui,082508,20.8819
370,2012,Santa Fe del Penedès,082495,4.3926
371,2012,Santa Eulàlia de Ronçana,082482,59.4103
372,2012,Santa Eulàlia de Riuprimer,082476,6.426
373,2012,Santa Eugènia de Berga,082460,11.1801
374,2012,Santa Coloma de Gramenet,082457,99.69380000000001
375,2012,Santa Coloma de Cervelló,082444,30.1237
376,2012,Santa Cecília de Voltregà,082439,0.3493
377,2012,Sant Martí Sesgueioles,082286,2.6552
378,2012,Sant Sadurní d'Osormort,082418,0.8069
379,2012,Sant Mateu de Bages,082299,2.1431999999999998
380,2012,Sant Quirze Safaja,082397,15.633099999999999
381,2012,Sant Quirze del Vallès,082384,80.9869
382,2012,Sant Quirze de Besora,082378,12.5908
383,2012,Sant Quintí de Mediona,082362,10.3033
384,2012,Sant Pol de Mar,082359,10.626999999999999
385,2012,Sant Pere de Vilamajor,082346,52.703500000000005
386,2012,Sant Pere de Torelló,082331,13.689
387,2012,Sant Pere de Riudebitlles,082325,9.9915
388,2012,Sant Pere de Ribes,082310,69.0834
389,2012,Sant Climent de Llobregat,082042,12.4651
390,2012,Marganell,082423,1.7692
391,2012,Puigdàlber,081748,3.3622
392,2012,Sant Cugat Sesgarrigues,082068,11.1836
393,2012,Rubí,081846,164.3442
394,2012,Roda de Ter,081831,25.0748
395,2012,el Pont de Vilomara i Rocafort,081825,18.9057
396,2012,la Roca del Vallès,081810,51.6222
397,2012,Ripollet,081803,79.2911
398,2012,Rellinars,081799,14.5068
399,2012,Rajadell,081786,4.4412
400,2012,la Quar,081770,0.3018
401,2012,Sabadell,081878,436.9491
402,2012,Puig-reig,081751,28.3985
403,2012,Sagàs,081884,0.0
404,2012,Premià de Mar,081727,39.8288
405,2012,Prats de Lluçanès,081712,14.8825
406,2012,els Prats de Rei,081705,4.5266
407,2012,el Prat de Llobregat,081691,166.52839999999998
408,2012,Pontons,081688,10.9861
409,2012,Polinyà,081672,44.7225
410,2012,la Pobla de Lillet,081666,4.7278
411,2012,la Pobla de Claramunt,081653,11.4733
412,2012,el Pla del Penedès,081640,9.9681
413,2012,Pineda de Mar,081635,77.4726
414,2012,Pujalt,081764,3.9911000000000003
415,2012,Sant Iscle de Vallalta,081939,5.9124
416,2012,l'Esquirol,082541,19.8306
417,2012,Sant Cebrià de Vallalta,082037,31.7912
418,2012,Sant Celoni,082021,73.3703
419,2012,Sant Boi de Lluçanès,082016,5.8202
420,2012,Sant Boi de Llobregat,082009,205.6015
421,2012,Sant Bartomeu del Grau,081995,7.668100000000001
422,2012,Sant Antoni de Vilamajor,081982,42.5743
423,2012,Sant Andreu de Llavaneres,081976,27.610599999999998
424,2012,Sant Andreu de la Barca,081960,82.6084
425,2012,Rubió,081859,0.7743
426,2012,Sant Adrià de Besòs,081944,104.7267
427,2012,Sant Cugat del Vallès,082055,461.1042
428,2012,Santpedor,081923,37.2731
429,2012,Sallent,081918,45.3524
430,2012,Saldes,081901,3.7934
431,2012,Sant Pere Sallavinera,081897,2.0896
432,2012,els Hostalets de Pierola,081629,16.6702
433,2012,Piera,081614,123.5175
434,2012,Perafita,081607,6.181
435,2012,Parets del Vallès,081593,81.3836
436,2012,el Papiol,081580,26.310000000000002
437,2012,Pallejà,081574,60.6539
438,2012,Sant Agustí de Lluçanès,081957,0.8966000000000001
439,2012,Badia del Vallès,089045,19.224400000000003
440,2012,Viladecans,083015,161.18349999999998
441,2012,Arbúcies,170097,20.1739
442,2012,Anglès,170084,18.8769
443,2012,Amer,170078,15.436700000000002
444,2012,Alp,170062,32.8423
445,2012,el Far d'Empordà,170059,2.8376
446,2012,Albons,170046,7.293699999999999
447,2012,Albanyà,170031,1.4628
448,2012,Aiguaviva,170025,4.5381
449,2012,l'Armentera,170118,9.3071
450,2012,la Palma de Cervelló,089058,9.6235
451,2012,Avinyonet de Puigventós,170123,12.6506
452,2012,Sant Julià de Cerdanyola,089030,2.8841
453,2012,Vilanova del Vallès,089024,34.653000000000006
454,2012,Rupit i Pruit,089019,1.3966
455,2012,Viver i Serrateix,083089,0.4073
456,2012,Vilanova i la Geltrú,083073,149.8594
457,2012,Vilalba Sasserra,083067,5.2022
458,2012,Vilafranca del Penedès,083054,89.8561
459,2012,Vilobí del Penedès,083041,9.1694
460,2012,Vilanova de Sau,083036,2.6401000000000003
461,2012,Barberà del Vallès,082520,158.4735
462,2012,Agullana,170010,6.0799
463,2012,Bolvir,170242,14.5519
464,2012,Camós,170353,5.4993
465,2012,Calonge i Sant Antoni,170340,115.8695
466,2012,Caldes de Malavella,170335,62.7204
467,2012,Cadaqués,170329,23.9647
468,2012,Cabanelles,170314,1.313
469,2012,Cabanes,170307,3.7081
470,2012,Boadella i les Escaules,170293,2.3805
471,2012,Brunyola i Sant Martí Sapresa,170280,1.1479
472,2012,Breda,170274,18.061600000000002
473,2012,Argelaguer,170101,3.4112
474,2012,Bordils,170255,10.8137
475,2012,Viladecavalls,083008,42.838899999999995
476,2012,Blanes,170237,111.8698
477,2012,la Bisbal d'Empordà,170221,24.586299999999998
478,2012,Beuda,170216,0.389
479,2012,Bescanó,170209,45.9296
480,2012,Besalú,170195,21.3327
481,2012,Bellcaire d'Empordà,170182,7.1189
482,2012,Bàscara,170160,8.860199999999999
483,2012,Banyoles,170157,56.7329
484,2012,la Vajol,170144,2.5622
485,2012,Begur,170139,79.80279999999999
486,2012,Borrassà,170268,6.135400000000001
