,Literal,Codi,Any,Riscos
83,Bell-lloc d'Urgell,250485,2020,4
84,Bellaguarda,251706,2020,5
85,Bellcaire d'Empordà,170182,2020,3
86,Bellcaire d'Urgell,250479,2020,3
87,Bellmunt d'Urgell,250498,2020,3
88,Bellmunt del Priorat,430234,2020,5
89,Bellprat,080214,2020,3
90,Bellpuig,250501,2020,4
91,Bellvei,430249,2020,5
92,Bellver de Cerdanya,250518,2020,6
93,Bellvís,250523,2020,3
94,Benavent de Segrià,250539,2020,2
95,Benifallet,430252,2020,6
96,Benissanet,430265,2020,6
97,Berga,080229,2020,4
98,Besalú,170195,2020,5
99,Bescanó,170209,2020,5
100,Beuda,170216,2020,4
101,Bigues i Riells,080235,2020,6
102,Biosca,250557,2020,4
103,Biure,172348,2020,5
104,Blancafort,430290,2020,5
105,Blanes,170237,2020,6
106,Boadella i les Escaules,170293,2020,4
107,Bolvir,170242,2020,5
108,Bonastre,430304,2020,4
109,Bordils,170255,2020,5
110,Borrassà,170268,2020,4
111,Borredà,080240,2020,3
112,Bossòst,250595,2020,6
113,Bot,430326,2020,5
114,Botarell,430332,2020,5
115,Bovera,250560,2020,5
116,Breda,170274,2020,6
117,Brunyola,170280,2020,3
118,Bràfim,430347,2020,3
119,Bàscara,170160,2020,5
120,Cabacés,430350,2020,5
121,Cabanabona,250609,2020,3
122,Cabanelles,170314,2020,3
123,Cabanes,170307,2020,4
124,Cabra del Camp,430363,2020,5
125,Cabrera d'Anoia,080288,2020,4
126,Cabrera de Mar,080291,2020,5
127,Cabrils,080305,2020,5
128,Cabó,250616,2020,3
129,Cadaqués,170329,2020,5
130,Calaf,080312,2020,3
131,Calafell,430379,2020,7
132,Calders,080348,2020,5
133,Caldes d'Estrac,080327,2020,6
134,Caldes de Malavella,170335,2020,6
135,Caldes de Montbui,080333,2020,4
136,Calella,080351,2020,6
137,Calldetenes,080370,2020,3
138,Callús,080386,2020,4
139,Calonge,170340,2020,6
140,Calonge de Segarra,080364,2020,4
141,Camarasa,250621,2020,5
142,Camarles,439039,2020,6
143,Cambrils,430385,2020,9
144,Campdevànol,170366,2020,5
145,Campelles,170372,2020,3
146,Campins,080399,2020,4
147,Campllong,170388,2020,5
148,Camprodon,170391,2020,5
149,Camós,170353,2020,4
150,Canejan,250637,2020,5
151,Canet d'Adri,170405,2020,4
152,Canet de Mar,080403,2020,6
153,Canovelles,080410,2020,7
154,Cantallops,170412,2020,4
155,Canyelles,080431,2020,5
156,Capafonts,430398,2020,3
157,Capellades,080446,2020,4
158,Capmany,170427,2020,6
159,Capolat,080459,2020,3
160,Capçanes,430402,2020,6
161,Cardedeu,080462,2020,6
162,Cardona,080478,2020,4
163,Carme,080484,2020,4
164,Caseres,430419,2020,5
165,Casserres,080497,2020,3
166,Cassà de la Selva,170448,2020,4
167,Castell de Mur,259046,2020,5
168,Castell de l'Areny,080575,2020,3
169,Castell-Platja d'Aro,170486,2020,6
170,Castellar de la Ribera,250642,2020,4
171,Castellar de n'Hug,080522,2020,5
172,Castellar del Riu,080500,2020,3
173,Castellar del Vallès,080517,2020,8
174,Castellbell i el Vilar,080538,2020,6
175,Castellbisbal,080543,2020,8
176,Castellcir,080556,2020,5
177,Castelldans,250674,2020,5
178,Castelldefels,080569,2020,7
179,Castellet i la Gornal,080581,2020,5
180,Castellfollit de Riubregós,080608,2020,4
181,Castellfollit de la Roca,170464,2020,3
182,Castellfollit del Boix,080594,2020,3
183,Castellgalí,080615,2020,6
184,Castellnou de Bages,080620,2020,3
185,Castellnou de Seana,250680,2020,3
186,Castellolí,080636,2020,5
187,Castellserà,250707,2020,3
188,Castellterçol,080641,2020,4
189,Castellvell del Camp,430424,2020,5
190,Castellví de Rosanes,080667,2020,7
191,Castellví de la Marca,080654,2020,5
192,Castelló d'Empúries,170470,2020,6
193,Castelló de Farfanya,250693,2020,4
194,Cava,250714,2020,3
195,Celrà,170499,2020,7
196,Centelles,080673,2020,5
197,Cercs,082687,2020,4
198,Cerdanyola del Vallès,082665,2020,9
199,Cervelló,080689,2020,4
200,Cervera,250729,2020,5
201,Cervià de Ter,170502,2020,5
202,Cervià de les Garrigues,250735,2020,3
203,Cistella,170519,2020,3
204,Ciutadilla,250740,2020,4
205,Clariana de Cardener,250753,2020,4
206,Colera,170545,2020,7
207,Coll de Nargó,250772,2020,4
208,Collbató,080692,2020,6
209,Colldejou,430458,2020,5
210,Collsuspina,080706,2020,3
211,Colomers,170558,2020,5
212,Conca de Dalt,251615,2020,3
213,Conesa,430461,2020,4
214,Constantí,430477,2020,8
215,Copons,080713,2020,5
216,Corbera d'Ebre,430483,2020,5
217,Corbera de Llobregat,080728,2020,7
218,Corbins,250788,2020,4
219,Cornellà de Llobregat,080734,2020,9
220,Cornellà del Terri,170561,2020,5
221,Cornudella de Montsant,430496,2020,5
222,Corçà,170577,2020,5
223,Creixell,430509,2020,8
224,Crespià,170583,2020,3
225,"Cruïlles, Monells i Sant Sadurní de l'Heura",179011,2020,4
226,Cubelles,080749,2020,7
227,Cubells,250791,2020,4
228,Cunit,430516,2020,7
229,Cànoves i Samalús,080425,2020,4
230,Darnius,170600,2020,5
231,Das,170617,2020,6
232,Deltebre,439018,2020,7
233,Dosrius,080752,2020,4
234,Duesaigües,430537,2020,7
235,El Bruc,080253,2020,7
236,El Brull,080266,2020,3
237,El Catllar,430430,2020,7
238,El Cogul,250766,2020,4
239,El Far d'Empordà,170059,2020,4
240,El Lloar,430727,2020,4
241,El Masnou,081189,2020,6
242,El Masroig,430825,2020,5
243,El Milà,430831,2020,4
244,El Molar,430859,2020,4
245,El Montmell,430901,2020,5
246,El Morell,430957,2020,6
247,El Palau d'Anglesola,251581,2020,5
248,El Papiol,081580,2020,7
249,El Perelló,431042,2020,8
250,El Pinell de Brai,431068,2020,6
251,El Pla de Santa Maria,431080,2020,6
252,El Pla del Penedès,081640,2020,2
253,El Poal,251689,2020,3
254,El Pont d'Armentera,431135,2020,4
255,El Pont de Bar,250306,2020,4
256,El Pont de Suert,251734,2020,7
257,El Pont de Vilomara i Rocafort,081825,2020,6
258,El Port de la Selva,171404,2020,6
259,El Prat de Llobregat,081691,2020,11
260,El Rourell,431346,2020,5
261,El Soleràs,252069,2020,5
262,El Vendrell,431634,2020,9
263,El Vilosell,252537,2020,3
264,Els Alamús,250045,2020,4
265,Els Garidells,430666,2020,5
266,Els Guiamets,430705,2020,5
267,Els Hostalets de Pierola,081629,2020,6
268,Els Omellons,251538,2020,3
269,Els Omells de na Gaia,251543,2020,4
270,Els Pallaresos,431009,2020,6
271,Els Plans de Sió,259118,2020,3
272,Els Prats de Rei,081705,2020,5
273,Els Torms,252249,2020,6
274,Es Bòrdes,250576,2020,6
275,Esparreguera,080765,2020,8
276,Espinelves,170638,2020,3
277,Esplugues de Llobregat,080771,2020,9
278,Espolla,170643,2020,4
279,Esponellà,170656,2020,4
280,Espot,250827,2020,5
281,Estamariu,250886,2020,4
282,Estaràs,250851,2020,4
283,Esterri d'Àneu,250864,2020,5
284,Esterri de Cardós,250870,2020,4
285,Falset,430555,2020,6
286,Farrera,250899,2020,4
287,Figaró-Montmany,081347,2020,5
288,Figueres,170669,2020,6
289,Figuerola del Camp,430593,2020,3
290,Flaçà,170675,2020,5
291,Flix,430607,2020,8
292,Fogars de Montclús,080811,2020,4
293,Fogars de la Selva,080826,2020,6
294,Foixà,170681,2020,4
295,Folgueroles,080832,2020,5
296,Fondarella,250931,2020,4
297,Fonollosa,080847,2020,4
298,Font-rubí,080850,2020,4
299,Fontanals de Cerdanya,170694,2020,5
300,Fontanilles,170708,2020,3
301,Fontcoberta,170715,2020,4
302,Foradada,250946,2020,4
303,Forallac,179026,2020,4
304,Fornells de la Selva,170736,2020,6
305,Fortià,170741,2020,3
306,Forès,430614,2020,3
307,Freginals,430629,2020,5
308,Fulleda,250978,2020,3
309,Fígols,080804,2020,4
310,Fígols i Alinyà,259084,2020,4
311,Gaià,080902,2020,5
312,Gallifa,080879,2020,3
313,Gandesa,430640,2020,5
314,Garcia,430653,2020,7
315,Garrigoles,170767,2020,4
316,Garriguella,170773,2020,5
317,Garrigàs,170754,2020,5
318,Gavet de la Conca,250984,2020,3
319,Gavà,080898,2020,7
320,Gelida,080919,2020,6
321,Ger,170789,2020,4
322,Gimenells i el Pla de la Font,259123,2020,3
323,Ginestar,430672,2020,6
324,Girona,170792,2020,9
325,Gironella,080924,2020,4
326,Gisclareny,080930,2020,3
327,Godall,430688,2020,4
328,Golmés,250997,2020,5
329,Gombrèn,170806,2020,3
330,Granera,080958,2020,3
331,Granollers,080961,2020,7
332,Granyanella,251039,2020,4
333,Granyena de Segarra,251044,2020,3
334,Granyena de les Garrigues,251057,2020,4
335,Gratallops,430691,2020,5
336,Gualba,080977,2020,6
337,Gualta,170813,2020,3
338,Guardiola de Berguedà,080996,2020,5
339,Guils de Cerdanya,170828,2020,4
340,Guimerà,251095,2020,4
341,Guissona,251109,2020,4
342,Guixers,251116,2020,6
343,Gurb,081000,2020,6
344,Gósol,251001,2020,5
345,Horta de Sant Joan,430712,2020,5
346,Hostalric,170834,2020,6
347,Igualada,081022,2020,7
348,Isona i Conca Dellà,251155,2020,3
349,Isòvol,170849,2020,5
350,Ivars d'Urgell,251137,2020,3
351,Ivars de Noguera,251121,2020,4
352,Ivorra,251142,2020,3
353,Jafre,170852,2020,4
354,Jorba,081038,2020,5
355,Josa i Tuixén,259101,2020,4
356,Juià,170871,2020,5
357,Juncosa,251180,2020,6
358,Juneda,251193,2020,4
359,L'Albagés,250061,2020,5
360,L'Albi,250096,2020,3
361,L'Albiol,430038,2020,6
362,L'Aldea,439044,2020,6
363,L'Aleixar,430075,2020,6
364,L'Ametlla de Mar,430136,2020,9
365,L'Ametlla del Vallès,080057,2020,6
366,L'Ampolla,439060,2020,7
367,L'Arboç,430167,2020,5
368,L'Argentera,430173,2020,7
369,L'Armentera,170118,2020,4
370,L'Escala,170622,2020,5
371,L'Espluga Calba,250812,2020,4
372,L'Espluga de Francolí,430542,2020,5
373,L'Espunyola,080787,2020,3
374,L'Esquirol,082541,2020,5
375,L'Estany,080790,2020,3
376,L'Hospitalet de Llobregat,081017,2020,9
377,La Baronia de Rialb,250426,2020,4
378,La Bisbal d'Empordà,170221,2020,5
379,La Bisbal de Falset,430271,2020,5
380,La Bisbal del Penedès,430287,2020,5
381,La Canonja,439076,2020,8
382,La Cellera de Ter,171899,2020,4
383,La Coma i la Pedra,251636,2020,5
384,La Fatarella,430568,2020,6
385,La Febró,430574,2020,3
386,La Figuera,430580,2020,4
387,La Floresta,250925,2020,3
388,La Fuliola,250962,2020,2
389,La Galera,430635,2020,3
390,La Garriga,080885,2020,6
391,La Granada,080945,2020,4
392,La Granadella,251018,2020,6
393,La Granja d'Escarp,251023,2020,5
394,La Guingueta d'Àneu,259031,2020,5
395,La Jonquera,170865,2020,6
396,La Llacuna,081043,2020,4
397,La Llagosta,081056,2020,6
398,La Masó,430803,2020,4
399,La Molsosa,251364,2020,4
400,La Morera de Montsant,430960,2020,5
401,La Nou de Berguedà,081424,2020,3
402,La Nou de Gaià,430976,2020,4
403,La Palma d'Ebre,430995,2020,5
404,La Palma de Cervelló,089058,2020,4
405,La Pera,171306,2020,4
406,La Pobla de Claramunt,081653,2020,6
407,La Pobla de Cérvoles,251692,2020,4
408,La Pobla de Lillet,081666,2020,4
409,La Pobla de Mafumet,431093,2020,9
410,La Pobla de Massaluca,431107,2020,7
411,La Pobla de Montornès,431114,2020,5
412,La Pobla de Segur,251713,2020,5
413,La Portella,251749,2020,3
414,La Quar,081770,2020,3
415,La Riba,431248,2020,4
416,La Riera de Gaià,431264,2020,6
417,La Roca del Vallès,081810,2020,7
418,La Secuita,431444,2020,4
419,La Selva de Mar,171886,2020,4
420,La Selva del Camp,431457,2020,8
421,La Sentiu de Sió,250352,2020,3
422,La Seu d'Urgell,252038,2020,6
423,La Sénia,430445,2020,4
424,La Tallada d'Empordà,171959,2020,4
425,La Torre de Cabdella,252271,2020,5
426,La Torre de Claramunt,082861,2020,5
427,La Torre de Fontaubella,431515,2020,5
428,La Torre de l'Espanyol,431520,2020,6
429,La Vajol,170144,2020,3
430,La Vall d'en Bas,172076,2020,5
431,La Vall de Bianya,172082,2020,4
432,La Vall de Boí,250432,2020,6
433,La Vansa i Fórnols,259097,2020,5
434,La Vilella Alta,431732,2020,5
435,La Vilella Baixa,431747,2020,5
436,Les,251214,2020,6
437,Les Avellanes i Santa Linya,250371,2020,4
438,Les Borges Blanques,250582,2020,5
439,Les Borges del Camp,430311,2020,6
440,Les Cabanyes,080272,2020,2
441,Les Franqueses del Vallès,080863,2020,7
442,Les Llosses,170963,2020,4
443,Les Masies de Roda,081167,2020,5
444,Les Masies de Voltregà,081173,2020,6
445,Les Oluges,251522,2020,3
446,Les Piles,431055,2020,4
447,Les Planes d'Hostoles,171334,2020,4
448,Les Preses,171390,2020,4
449,Les Valls d'Aguilar,259062,2020,4
450,Les Valls de Valira,252398,2020,4
451,Linyola,251229,2020,3
452,Lladorre,251235,2020,5
453,Lladurs,251240,2020,4
454,Lladó,170887,2020,3
455,Llagostera,170890,2020,4
456,Llambilles,170904,2020,4
457,Llanars,170911,2020,4
458,Llançà,170926,2020,7
459,Llardecans,251253,2020,6
460,Llavorsí,251266,2020,6
461,Lleida,251207,2020,11
462,Llers,170932,2020,5
463,Lles de Cerdanya,251272,2020,3
464,Llimiana,251288,2020,4
465,Llinars del Vallès,081069,2020,7
466,Lliçà d'Amunt,081075,2020,7
467,Lliçà de Vall,081081,2020,7
468,Llobera,251291,2020,3
469,Llorac,430733,2020,4
470,Llorenç del Penedès,430748,2020,5
471,Lloret de Mar,170950,2020,6
472,Lluçà,081094,2020,3
473,Llívia,170947,2020,5
474,Madremanya,170979,2020,3
475,Maials,251333,2020,6
476,Maià de Montcal,170985,2020,4
477,Maldà,251305,2020,4
478,Malgrat de Mar,081108,2020,7
479,Malla,081115,2020,4
480,Manlleu,081120,2020,4
481,Manresa,081136,2020,10
482,Margalef,430751,2020,5
483,Marganell,082423,2020,5
484,Martorell,081141,2020,9
485,Martorelles,081154,2020,6
486,Marçà,430764,2020,6
487,Mas de Barberans,430770,2020,4
488,Masarac,171002,2020,4
489,Masdenverge,430786,2020,5
490,Masllorenç,430799,2020,4
491,Maspujols,430810,2020,6
492,Masquefa,081192,2020,6
493,Massalcoreig,251312,2020,4
494,Massanes,171019,2020,6
495,Massoteres,251327,2020,4
496,Matadepera,081206,2020,4
497,Mataró,081213,2020,8
498,Maçanet de Cabrenys,171024,2020,4
499,Maçanet de la Selva,171030,2020,6
500,Mediona,081228,2020,4
501,Menàrguens,251348,2020,3
502,Meranges,170998,2020,4
503,Mieres,171058,2020,4
504,Miralcamp,251351,2020,2
505,Miravet,430846,2020,6
506,Moià,081385,2020,5
507,Molins de Rei,081234,2020,7
508,Mollerussa,251370,2020,4
509,Mollet de Peralada,171061,2020,4
510,Mollet del Vallès,081249,2020,7
511,Molló,171077,2020,5
512,Monistrol de Calders,081287,2020,5
513,Monistrol de Montserrat,081271,2020,6
514,Mont-ral,430918,2020,3
515,Mont-ras,171100,2020,5
516,Mont-roig del Camp,430923,2020,9
517,Montagut i Oix,171096,2020,4
518,Montblanc,430862,2020,6
519,Montbrió del Camp,430884,2020,5
520,Montcada i Reixac,081252,2020,9
521,Montclar,081304,2020,3
522,Montellà i Martinet,251399,2020,5
523,Montesquiu,081311,2020,4
524,Montferrer i Castellbò,251403,2020,5
525,Montferri,430897,2020,4
526,Montgai,251386,2020,3
527,Montgat,081265,2020,5
528,Montmajor,081326,2020,4
529,Montmaneu,081332,2020,4
530,Montmeló,081350,2020,6
531,Montoliu de Lleida,251425,2020,4
532,Montoliu de Segarra,251410,2020,4
533,Montornès de Segarra,251431,2020,4
534,Montornès del Vallès,081363,2020,7
535,Montseny,081379,2020,3
536,Muntanyola,081290,2020,5
537,Mura,081398,2020,4
538,Móra d'Ebre,430939,2020,7
539,Móra la Nova,430944,2020,6
540,Nalec,251459,2020,4
541,Naut Aran,250254,2020,6
542,Navarcles,081402,2020,5
543,Navata,171117,2020,4
544,Navàs,081419,2020,4
545,Navès,251462,2020,4
546,Nulles,430982,2020,3
547,Odèn,251484,2020,4
548,Ogassa,171122,2020,2
549,Olesa de Bonesvalls,081461,2020,4
550,Olesa de Montserrat,081477,2020,8
551,Oliana,251497,2020,4
552,Oliola,251500,2020,4
553,Olius,251517,2020,3
554,Olivella,081483,2020,3
555,Olost,081496,2020,3
556,Olot,171143,2020,5
557,Olvan,081445,2020,4
558,Olèrdola,081458,2020,6
559,Ordis,171156,2020,3
560,Organyà,251556,2020,5
561,Oristà,081516,2020,4
562,Orpí,081521,2020,3
563,Orís,081509,2020,4
564,Os de Balaguer,251569,2020,4
565,Osor,171169,2020,4
566,Ossó de Sió,251575,2020,3
567,Pacs del Penedès,081542,2020,3
568,Palafolls,081555,2020,6
569,Palafrugell,171175,2020,6
570,Palamós,171181,2020,6
571,Palau de Santa Eulàlia,171194,2020,5
572,Palau-sator,171215,2020,3
573,Palau-saverdera,171208,2020,5
574,Palau-solità i Plegamans,081568,2020,7
575,Pallejà,081574,2020,7
576,Palol de Revardit,171236,2020,5
577,Pals,171241,2020,6
578,Pardines,171254,2020,3
579,Parets del Vallès,081593,2020,6
580,Parlavà,171267,2020,3
581,Passanant i Belltall,431016,2020,4
582,Pau,171289,2020,5
583,Paüls,431021,2020,5
584,Pedret i Marzà,171292,2020,5
585,Penelles,251641,2020,3
586,Perafita,081607,2020,3
587,Perafort,431037,2020,8
588,Peralada,171328,2020,5
589,Peramola,251654,2020,4
590,Piera,081614,2020,5
591,Pineda de Mar,081635,2020,6
592,Pinell de Solsonès,251667,2020,4
593,Pinós,251673,2020,4
594,Pira,431074,2020,3
595,Planoles,171349,2020,4
596,Poboleda,431129,2020,5
597,Polinyà,081672,2020,7
598,Pont de Molins,171352,2020,5
599,Pontils,431418,2020,4
600,Pontons,081688,2020,4
601,Ponts,251728,2020,4
602,Pontós,171365,2020,4
603,Porqueres,171371,2020,4
604,Porrera,431140,2020,5
605,Portbou,171387,2020,8
606,Pradell de la Teixeta,431153,2020,8
607,Prades,431166,2020,3
608,Prat de Comte,431172,2020,5
609,Pratdip,431188,2020,6
610,Prats de Lluçanès,081712,2020,4
611,Prats i Sansor,251752,2020,5
612,Preixana,251765,2020,3
613,Preixens,251771,2020,3
614,Premià de Dalt,082303,2020,4
615,Premià de Mar,081727,2020,5
616,Prullans,251790,2020,4
617,Puig-reig,081751,2020,5
618,Puigcerdà,171411,2020,6
619,Puigdàlber,081748,2020,2
620,Puiggròs,251804,2020,2
621,Puigpelat,431191,2020,6
622,Puigverd d'Agramunt,251811,2020,3
623,Puigverd de Lleida,251826,2020,4
624,Pujalt,081764,2020,3
625,Quart,171426,2020,4
626,Queralbs,170433,2020,5
627,Querol,431205,2020,3
628,Rabós,171432,2020,4
629,Rajadell,081786,2020,4
630,Rasquera,431212,2020,6
631,Regencós,171447,2020,4
632,Rellinars,081799,2020,4
633,Renau,431227,2020,4
634,Reus,431233,2020,10
635,Rialp,251832,2020,5
636,Riba-roja d'Ebre,431251,2020,8
637,Ribera d'Ondara,259059,2020,4
638,Ribera d'Urgellet,251850,2020,5
639,Ribes de Freser,171450,2020,6
640,Riells i Viabrea,171463,2020,6
641,Riner,251863,2020,4
642,Ripoll,171479,2020,5
643,Ripollet,081803,2020,8
644,Riu de Cerdanya,259139,2020,3
645,Riudarenes,171485,2020,5
646,Riudaura,171498,2020,3
647,Riudecanyes,431270,2020,7
648,Riudecols,431286,2020,6
649,Riudellots de la Selva,171501,2020,5
650,Riudoms,431299,2020,8
651,Riumors,171518,2020,3
652,Rocafort de Queralt,431303,2020,4
653,Roda de Berà,431310,2020,9
654,Roda de Ter,081831,2020,4
655,Rodonyà,431325,2020,5
656,Roquetes,431331,2020,6
657,Roses,171523,2020,7
658,Rosselló,251898,2020,4
659,Rubió,081859,2020,3
660,Rubí,081846,2020,8
661,Rupit i Pruit,089019,2020,3
662,Rupià,171539,2020,2
663,Sabadell,081878,2020,9
664,Sagàs,081884,2020,3
665,Saldes,081901,2020,4
666,Sales de Llierca,171544,2020,3
667,Sallent,081918,2020,7
668,Salomó,431359,2020,4
669,Salou,439057,2020,11
670,Salt,171557,2020,7
671,Salàs de Pallars,251902,2020,4
672,Sanaüja,251919,2020,4
673,Sant Adrià de Besòs,081944,2020,9
674,Sant Agustí de Lluçanès,081957,2020,3
675,Sant Andreu Salou,171576,2020,5
676,Sant Andreu de Llavaneres,081976,2020,6
677,Sant Andreu de la Barca,081960,2020,8
678,Sant Aniol de Finestres,171833,2020,4
679,Sant Antoni de Vilamajor,081982,2020,5
680,Sant Bartomeu del Grau,081995,2020,3
681,Sant Boi de Llobregat,082009,2020,10
682,Sant Boi de Lluçanès,082016,2020,3
683,Sant Carles de la Ràpita,431362,2020,7
684,Sant Cebrià de Vallalta,082037,2020,4
685,Sant Celoni,082021,2020,6
686,Sant Climent Sescebes,171582,2020,4
687,Sant Climent de Llobregat,082042,2020,5
688,Sant Cugat Sesgarrigues,082068,2020,3
689,Sant Cugat del Vallès,082055,2020,8
690,Sant Esteve Sesrovires,082080,2020,7
691,Sant Esteve de Palautordera,082074,2020,5
692,Sant Esteve de la Sarga,251961,2020,3
693,Sant Feliu Sasserra,082129,2020,3
694,Sant Feliu de Buixalleu,171595,2020,6
695,Sant Feliu de Codines,082107,2020,4
696,Sant Feliu de Guíxols,171609,2020,6
697,Sant Feliu de Llobregat,082114,2020,7
698,Sant Feliu de Pallerols,171616,2020,3
699,Sant Ferriol,171621,2020,4
700,Sant Fost de Campsentelles,082093,2020,7
701,Sant Fruitós de Bages,082135,2020,6
702,Sant Gregori,171637,2020,5
703,Sant Guim de Freixenet,251924,2020,4
704,Sant Guim de la Plana,251977,2020,2
705,Sant Hilari Sacalm,171642,2020,3
706,Sant Hipòlit de Voltregà,082153,2020,2
707,Sant Iscle de Vallalta,081939,2020,4
708,Sant Jaume d'Enveja,439023,2020,6
709,Sant Jaume de Frontanyà,082166,2020,3
710,Sant Jaume de Llierca,171655,2020,3
711,Sant Jaume dels Domenys,431378,2020,6
712,Sant Joan Despí,082172,2020,7
713,Sant Joan de Mollet,171680,2020,4
714,Sant Joan de Vilatorrada,082188,2020,5
715,Sant Joan de les Abadesses,171674,2020,5
716,Sant Joan les Fonts,171851,2020,4
717,Sant Jordi Desvalls,171668,2020,5
718,Sant Julià de Cerdanyola,089030,2020,4
719,Sant Julià de Ramis,171693,2020,5
720,Sant Julià de Vilatorta,082205,2020,4
721,Sant Julià del Llor i Bonmatí,179032,2020,4
722,Sant Just Desvern,082212,2020,6
723,Sant Llorenç Savall,082233,2020,5
724,Sant Llorenç d'Hortons,082227,2020,6
725,Sant Llorenç de Morunys,251930,2020,4
726,Sant Llorenç de la Muga,171714,2020,4
727,Sant Martí Sarroca,082270,2020,5
728,Sant Martí Sesgueioles,082286,2020,3
729,Sant Martí Vell,171735,2020,5
730,Sant Martí d'Albars,082251,2020,3
731,Sant Martí de Centelles,082248,2020,5
732,Sant Martí de Llémena,171729,2020,4
733,Sant Martí de Riucorb,259025,2020,3
734,Sant Martí de Tous,082264,2020,3
735,Sant Mateu de Bages,082299,2020,4
736,Sant Miquel de Campmajor,171740,2020,3
737,Sant Miquel de Fluvià,171753,2020,4
738,Sant Mori,171766,2020,4
739,Sant Pau de Segúries,171772,2020,4
740,Sant Pere Pescador,171788,2020,4
741,Sant Pere Sallavinera,081897,2020,4
742,Sant Pere de Ribes,082310,2020,6
743,Sant Pere de Riudebitlles,082325,2020,4
744,Sant Pere de Torelló,082331,2020,4
745,Sant Pere de Vilamajor,082346,2020,4
746,Sant Pol de Mar,082359,2020,6
747,Sant Quintí de Mediona,082362,2020,3
748,Sant Quirze Safaja,082397,2020,5
749,Sant Quirze de Besora,082378,2020,4
750,Sant Quirze del Vallès,082384,2020,7
751,Sant Ramon,251945,2020,3
752,Sant Sadurní d'Anoia,082401,2020,5
753,Sant Sadurní d'Osormort,082418,2020,3
754,Sant Salvador de Guardiola,080983,2020,5
755,Sant Vicenç de Castellet,082628,2020,6
756,Sant Vicenç de Montalt,082649,2020,5
757,Sant Vicenç de Torelló,082652,2020,4
758,Sant Vicenç dels Horts,082634,2020,7
759,Santa Bàrbara,431384,2020,3
760,Santa Cecília de Voltregà,082439,2020,5
761,Santa Coloma de Cervelló,082444,2020,7
762,Santa Coloma de Farners,171805,2020,4
763,Santa Coloma de Gramenet,082457,2020,8
764,Santa Coloma de Queralt,431397,2020,3
765,Santa Cristina d'Aro,171812,2020,6
766,Santa Eugènia de Berga,082460,2020,3
767,Santa Eulàlia de Riuprimer,082476,2020,4
768,Santa Eulàlia de Ronçana,082482,2020,5
769,Santa Fe del Penedès,082495,2020,3
770,Santa Llogaia d'Àlguema,171827,2020,4
771,Santa Margarida de Montbui,082508,2020,4
772,Santa Margarida i els Monjos,082515,2020,6
773,Santa Maria d'Oló,082589,2020,3
