,Any,Equipament,Literal,Codi
185,2012,9.1499,Pont de Molins,171352
186,2012,47.7172,Planoles,171349
187,2012,48.849,Peralada,171328
188,2012,12.0645,Pedret i Marzà,171292
189,2012,21.2937,"Pera, la",171306
190,2012,40.9124,Parlavà,171267
191,2012,68.4434,Ogassa,171122
192,2012,200.173,Pals,171241
193,2012,8.75,Palol de Revardit,171236
194,2012,23.1966,Palau-sator,171215
195,2012,17.5604,Palau-saverdera,171208
196,2012,6.0055,Palau de Santa Eulàlia,171194
197,2012,8.4507,Palamós,171181
198,2012,13.0668,Palafrugell,171175
199,2012,48.4058,Osor,171169
200,2012,15.1863,Ordis,171156
201,2012,10.8001,Olot,171143
202,2012,30.7063,Pau,171289
203,2012,20.4077,Castellfollit de la Roca,170464
204,2012,163.1498,Das,170617
205,2012,46.8549,Darnius,170600
206,2012,21.1038,Crespià,170583
207,2012,6.8966,Corçà,170577
208,2012,21.9038,Cornellà del Terri,170561
209,2012,6.4403,Colomers,170558
210,2012,34.5901,Colera,170545
211,2012,74.37,Siurana,170524
212,2012,61.1832,Cistella,170519
213,2012,18.0602,Celrà,170499
214,2012,37.3544,Castell-Platja d'Aro,170486
215,2012,51.9234,Espolla,170643
216,2012,8.6504,Cassà de la Selva,170448
217,2012,14.5058,Queralbs,170433
218,2012,41.4828,Capmany,170427
219,2012,22.2383,Cantallops,170412
220,2012,5.9576,Canet d'Adri,170405
221,2012,22.6706,Camprodon,170391
222,2012,70.7371,Campllong,170388
223,2012,40.1481,"Port de la Selva, el",171404
224,2012,24.9863,Torroella de Fluvià,171984
225,2012,28.9805,Cervià de Ter,170502
226,2012,18.5373,Garrigàs,170754
227,2012,50.1535,"Jonquera, la",170865
228,2012,28.7748,Jafre,170852
229,2012,27.3928,Isòvol,170849
230,2012,10.7925,Hostalric,170834
231,2012,59.0685,Guils de Cerdanya,170828
232,2012,7.0007,Gualta,170813
233,2012,42.7316,Gombrèn,170806
234,2012,17.2471,Girona,170792
235,2012,43.8418,Ger,170789
236,2012,13.3238,"Escala, l'",170622
237,2012,18.5803,Garrigoles,170767
238,2012,44.9304,Espinelves,170638
239,2012,10.7912,Fortià,170741
240,2012,18.4743,Fornells de la Selva,170736
241,2012,13.8827,Fontcoberta,170715
242,2012,11.7501,Fontanilles,170708
243,2012,40.8316,Fontanals de Cerdanya,170694
244,2012,8.785,Foixà,170681
245,2012,32.4523,Flaçà,170675
246,2012,8.7306,Figueres,170669
247,2012,19.5408,Esponellà,170656
248,2012,13.3492,Juià,170871
249,2012,93.6749,Garriguella,170773
250,2012,36.3564,Tortellà,172001
251,2012,22.4586,Verges,172116
252,2012,46.6449,Ventalló,172109
253,2012,9.5318,Vall-llobrega,172095
254,2012,14.3109,"Vall de Bianya, la",172082
255,2012,24.151,"Vall d'en Bas, la",172076
256,2012,20.1554,Urús,172060
257,2012,4.5614,Ullastret,172057
258,2012,12.6913,Ullà,172044
259,2012,29.5583,Ultramort,172039
260,2012,12.7216,Serinyà,171903
261,2012,31.4928,Toses,172018
262,2012,34.6629,Vilabertran,172142
263,2012,19.9298,Torroella de Montgrí,171997
264,2012,18.8502,Vallcebre,082938
265,2012,8.0746,Torrent,171978
266,2012,79.6927,Campelles,170372
267,2012,56.0796,"Tallada d'Empordà, la",171959
268,2012,12.7847,Susqueda,171946
269,2012,9.8223,Sils,171931
270,2012,2.6278,Setcases,171925
271,2012,15.8596,Terrades,171962
272,2012,11.9318,Tossa de Mar,172023
273,2012,19.7957,Vilamacolum,172253
274,2012,10.0167,Abella de la Conca,250019
275,2012,24.3533,Sant Julià del Llor i Bonmatí,179032
276,2012,17.5234,Forallac,179026
277,2012,50.8204,Biure,172348
278,2012,15.5768,Vilobí d'Onyar,172333
279,2012,9.6462,Vilopriu,172327
280,2012,20.1328,Vila-sacra,172305
281,2012,25.0308,Vilanant,172288
282,2012,86.9743,Vidrà,172121
283,2012,177.9331,Vilamalla,172266
284,2012,31.1105,Vidreres,172137
285,2012,32.6371,Vilallonga de Ter,172240
286,2012,39.0616,Vilajuïga,172235
287,2012,140.6171,Vilaür,172229
288,2012,12.4594,Vilafant,172214
289,2012,84.2317,Viladrau,172207
290,2012,10.3273,Vilademuls,172180
291,2012,51.9125,Viladamat,172174
292,2012,13.3581,Viladasens,172168
293,2012,12.8695,Vilablareix,172155
294,2012,15.2062,"Cellera de Ter, la",171899
295,2012,66.2943,Vilamaniscle,172272
296,2012,9.6587,Riumors,171518
297,2012,32.8,Sant Gregori,171637
298,2012,12.6256,Sant Ferriol,171621
299,2012,27.4026,Sant Feliu de Pallerols,171616
300,2012,13.5591,Sant Feliu de Guíxols,171609
301,2012,171.5511,Sant Feliu de Buixalleu,171595
302,2012,33.8958,Sant Climent Sescebes,171582
303,2012,27.5501,Sant Andreu Salou,171576
304,2012,9.5442,Salt,171557
305,2012,94.1906,Sales de Llierca,171544
306,2012,36.4828,Serra de Daró,171910
307,2012,11.0401,Roses,171523
308,2012,34.4214,Sant Jordi Desvalls,171668
309,2012,31.2107,Riudellots de la Selva,171501
310,2012,22.6427,Riudaura,171498
311,2012,84.5983,Riudarenes,171485
312,2012,16.4053,Ripoll,171479
313,2012,5.0249,Riells i Viabrea,171463
314,2012,19.1624,Ribes de Freser,171450
315,2012,24.6033,Regencós,171447
316,2012,5.2765,Rabós,171432
317,2012,14.4198,Quart,171426
318,2012,18.3626,Rupià,171539
319,2012,13.6627,Sant Mori,171766
320,2012,40.1224,"Selva de Mar, la",171886
321,2012,15.1408,"Saus, Camallera i Llampaies",171870
322,2012,13.5383,Sarrià de Ter,171864
323,2012,22.9327,Sant Joan les Fonts,171851
324,2012,20.6301,Santa Pau,171848
325,2012,12.5294,Sant Aniol de Finestres,171833
326,2012,115.2507,Santa Llogaia d'Àlguema,171827
327,2012,37.5414,Santa Cristina d'Aro,171812
328,2012,18.8516,Santa Coloma de Farners,171805
329,2012,19.0965,Sant Hilari Sacalm,171642
330,2012,8.8435,Sant Pau de Segúries,171772
331,2012,36.5925,Sant Jaume de Llierca,171655
332,2012,6.3702,Sant Miquel de Fluvià,171753
333,2012,61.9143,Sant Miquel de Campmajor,171740
334,2012,7.5055,Sant Martí Vell,171735
335,2012,18.6632,Sant Martí de Llémena,171729
336,2012,49.5034,Sant Llorenç de la Muga,171714
337,2012,84.5775,Vallfogona de Ripollès,171707
338,2012,166.8797,Sant Julià de Ramis,171693
339,2012,12.2338,Sant Joan de Mollet,171680
340,2012,15.2546,Sant Joan de les Abadesses,171674
341,2012,20.2721,Puigcerdà,171411
342,2012,15.5154,Sant Pere Pescador,171788
343,2012,34.3292,Sant Jaume de Frontanyà,082166
344,2012,10.9734,Sant Martí Sarroca,082270
345,2012,13.8481,Sant Martí de Tous,082264
346,2012,26.3518,Sant Martí d'Albars,082251
347,2012,13.7486,Sant Martí de Centelles,082248
348,2012,17.6212,Sant Llorenç Savall,082233
349,2012,16.029,Sant Llorenç d'Hortons,082227
350,2012,13.0938,Sant Just Desvern,082212
351,2012,37.754,Sant Julià de Vilatorta,082205
352,2012,4.8533,Vilassar de Mar,082191
353,2012,30.4859,Vallirana,082956
354,2012,15.1172,Sant Joan Despí,082172
355,2012,16.1253,Premià de Dalt,082303
356,2012,14.673,Sant Hipòlit de Voltregà,082153
357,2012,11.2272,Vilassar de Dalt,082140
358,2012,28.5185,Sant Fruitós de Bages,082135
359,2012,38.2857,Sant Feliu Sasserra,082129
360,2012,11.1766,Sant Feliu de Llobregat,082114
361,2012,12.2705,Sant Feliu de Codines,082107
362,2012,13.5155,Sant Fost de Campsentelles,082093
363,2012,22.8236,Sant Esteve Sesrovires,082080
364,2012,6.7163,Sant Esteve de Palautordera,082074
365,2012,12.934,Sant Joan de Vilatorrada,082188
366,2012,16.009,Sant Sadurní d'Anoia,082401
367,2012,19.082,Santa Margarida i els Monjos,082515
368,2012,12.0026,Santa Margarida de Montbui,082508
369,2012,31.7097,Santa Fe del Penedès,082495
370,2012,19.9246,Santa Eulàlia de Ronçana,082482
371,2012,28.6699,Santa Eulàlia de Riuprimer,082476
372,2012,16.8198,Santa Eugènia de Berga,082460
373,2012,6.7752,Santa Coloma de Gramenet,082457
374,2012,19.7202,Santa Coloma de Cervelló,082444
375,2012,61.5195,Santa Cecília de Voltregà,082439
376,2012,33.4246,Sant Martí Sesgueioles,082286
377,2012,21.3385,Sant Sadurní d'Osormort,082418
378,2012,26.0179,Sant Mateu de Bages,082299
379,2012,102.6201,Sant Quirze Safaja,082397
380,2012,21.0994,Sant Quirze del Vallès,082384
381,2012,17.944,Sant Quirze de Besora,082378
382,2012,23.0818,Sant Quintí de Mediona,082362
383,2012,6.9437,Sant Pol de Mar,082359
384,2012,31.9735,Sant Pere de Vilamajor,082346
385,2012,16.6352,Sant Pere de Torelló,082331
386,2012,14.2414,Sant Pere de Riudebitlles,082325
387,2012,9.7889,Sant Pere de Ribes,082310
388,2012,16.7947,Sant Climent de Llobregat,082042
389,2012,3.6368,Marganell,082423
390,2012,20.2575,Puigdàlber,081748
391,2012,33.8188,Sant Cugat Sesgarrigues,082068
392,2012,4.5355,Rubí,081846
393,2012,13.7664,Roda de Ter,081831
394,2012,13.1825,"Pont de Vilomara i Rocafort, el",081825
395,2012,14.2917,"Roca del Vallès, la",081810
396,2012,9.3842,Ripollet,081803
397,2012,54.8533,Rellinars,081799
398,2012,11.3213,Rajadell,081786
399,2012,36.5916,"Quar, la",081770
400,2012,8.5794,Sabadell,081878
401,2012,52.1845,Puig-reig,081751
402,2012,0.0,Sagàs,081884
403,2012,4.9602,Premià de Mar,081727
404,2012,14.4639,Prats de Lluçanès,081712
405,2012,38.7496,"Prats de Rei, els",081705
406,2012,7.752,"Prat de Llobregat, el",081691
407,2012,60.5815,Pontons,081688
408,2012,13.7258,Polinyà,081672
409,2012,25.3671,"Pobla de Lillet, la",081666
410,2012,16.4173,"Pobla de Claramunt, la",081653
411,2012,26.4751,"Pla del Penedès, el",081640
412,2012,7.7738,Pineda de Mar,081635
413,2012,84.9251,Pujalt,081764
414,2012,28.5664,Sant Iscle de Vallalta,081939
415,2012,35.3533,"Esquirol, l'",082541
416,2012,30.794,Sant Cebrià de Vallalta,082037
417,2012,13.7739,Sant Celoni,082021
418,2012,32.4754,Sant Boi de Lluçanès,082016
419,2012,12.8096,Sant Boi de Llobregat,082009
420,2012,26.1914,Sant Bartomeu del Grau,081995
421,2012,12.3789,Sant Antoni de Vilamajor,081982
422,2012,8.0846,Sant Andreu de Llavaneres,081976
423,2012,13.4139,Sant Andreu de la Barca,081960
424,2012,23.5847,Rubió,081859
425,2012,10.6475,Sant Adrià de Besòs,081944
426,2012,28.1862,Sant Cugat del Vallès,082055
427,2012,13.0275,Santpedor,081923
428,2012,32.0913,Sallent,081918
429,2012,13.925,Saldes,081901
430,2012,57.8363,Sant Pere Sallavinera,081897
431,2012,15.7659,"Hostalets de Pierola, els",081629
432,2012,27.2374,Piera,081614
433,2012,32.7065,Perafita,081607
434,2012,7.8471,Parets del Vallès,081593
435,2012,12.764,"Papiol, el",081580
436,2012,24.9516,Pallejà,081574
437,2012,9.1964,Sant Agustí de Lluçanès,081957
438,2012,8.8541,Badia del Vallès,089045
439,2012,8.7958,Viladecans,083015
440,2012,3.3573,Arbúcies,170097
441,2012,6.9933,Anglès,170084
442,2012,35.3009,Amer,170078
443,2012,55.4766,Alp,170062
444,2012,19.8641,"Far d'Empordà, el",170059
445,2012,31.9412,Albons,170046
446,2012,19.02,Albanyà,170031
447,2012,10.4753,Aiguaviva,170025
448,2012,24.4928,"Armentera, l'",170118
449,2012,21.6047,"Palma de Cervelló, la",089058
450,2012,46.7323,Avinyonet de Puigventós,170123
451,2012,65.0425,Sant Julià de Cerdanyola,089030
452,2012,42.2144,Vilanova del Vallès,089024
453,2012,8.9133,Rupit i Pruit,089019
454,2012,45.3394,Viver i Serrateix,083089
455,2012,10.19,Vilanova i la Geltrú,083073
456,2012,26.2376,Vilalba Sasserra,083067
457,2012,9.71,Vilafranca del Penedès,083054
458,2012,21.4716,Vilobí del Penedès,083041
459,2012,82.9821,Vilanova de Sau,083036
460,2012,9.1064,Barberà del Vallès,082520
461,2012,39.848,Agullana,170010
462,2012,114.3794,Bolvir,170242
463,2012,26.3952,Camós,170353
464,2012,19.9426,Calonge de Segarra,170340
465,2012,30.5024,Caldes de Malavella,170335
466,2012,30.2772,Cadaqués,170329
467,2012,10.7472,Cabanelles,170314
468,2012,4.3702,Cabanes,170307
469,2012,34.8621,Boadella i les Escaules,170293
470,2012,37.3781,Brunyola,170280
471,2012,8.8473,Breda,170274
472,2012,33.9901,Argelaguer,170101
473,2012,17.2673,Bordils,170255
474,2012,17.4574,Viladecavalls,083008
475,2012,10.4798,Blanes,170237
476,2012,12.9858,"Bisbal d'Empordà, la",170221
477,2012,6.3396,Beuda,170216
478,2012,32.2841,Bescanó,170209
479,2012,18.8222,Besalú,170195
480,2012,27.8267,Bellcaire d'Empordà,170182
481,2012,37.4719,Bàscara,170160
482,2012,9.8385,Banyoles,170157
483,2012,102.4338,"Vajol, la",170144
484,2012,53.4193,Begur,170139
485,2012,33.5027,Borrassà,170268
486,2012,29.3999,Sant Vicenç de Montalt,082649
487,2012,14.9325,Vilanova del Camí,083020
488,2012,19.8589,Súria,082747
489,2012,41.8606,Subirats,082732
490,2012,105.216,Sora,082726
491,2012,37.6926,Sobremunt,082711
492,2012,14.0806,Sitges,082704
493,2012,94.2824,Seva,082690
494,2012,66.4077,Cercs,082687
495,2012,26.2815,Sentmenat,082671
496,2012,11.9835,Tagamanent,082763
497,2012,28.4056,Sant Vicenç de Torelló,082652
498,2012,184.3706,Talamanca,082779
499,2012,11.844,Sant Vicenç dels Horts,082634
500,2012,11.0684,Sant Vicenç de Castellet,082628
501,2012,22.8431,Santa Susanna,082613
502,2012,13.8188,Santa Perpètua de Mogoda,082606
503,2012,22.9607,Santa Maria de Palautordera,082592
504,2012,7.4709,Santa Maria d'Oló,082589
505,2012,0.0,Santa Maria de Miralles,082573
506,2012,6.9795,Santa Maria de Martorelles,082567
507,2012,0.0,Santa Maria de Merlès,082554
508,2012,9.8189,Campdevànol,170366
509,2012,35.8479,Cerdanyola del Vallès,082665
510,2012,35.2308,Torrelles de Foix,082883
511,2012,9.4621,Vilada,082994
512,2012,22.2664,Vic,082981
513,2012,10.155,Veciana,082975
514,2012,24.6324,Vallromanes,082969
515,2012,37.1102,Àger,250024
516,2012,22.0805,Vallgorguina,082943
517,2012,14.764,Bausen,250450
518,2012,17.632,Vallbona d'Anoia,082922
519,2012,22.9561,Vacarisses,082917
520,2012,27.0331,Tavèrnoles,082750
521,2012,32.3487,Torrelles de Llobregat,082896
522,2012,26.4036,Santa Maria de Besora,082536
523,2012,17.0582,Torrelavit,082877
524,2012,31.4706,"Torre de Claramunt, la",082861
525,2012,14.0105,Torelló,082858
526,2012,17.207,Tordera,082845
527,2012,22.9139,Tona,082830
528,2012,15.3722,Tiana,082824
529,2012,41.3304,Teià,082819
530,2012,79.6417,Tavertet,082802
531,2012,9.892,Terrassa,082798
532,2012,18.296,Taradell,082785
533,2012,101.8045,Ullastrell,082900
534,2012,35.9458,"Sénia, la",430445
535,2012,30.3249,"Fatarella, la",430568
536,2012,26.6248,Falset,430555
537,2012,12.8052,"Espluga de Francolí, l'",430542
538,2012,61.472,Duesaigües,430537
539,2012,19.6111,Xerta,430521
540,2012,17.2715,Cunit,430516
541,2012,16.0973,Creixell,430509
542,2012,32.2958,Cornudella de Montsant,430496
543,2012,27.2267,Corbera d'Ebre,430483
544,2012,30.2684,Constantí,430477
545,2012,25.7706,"Milà, el",430831
546,2012,69.3803,Colldejou,430458
547,2012,52.6325,Figuerola del Camp,430593
548,2012,33.0994,"Catllar, el",430430
549,2012,10.2331,Castellvell del Camp,430424
550,2012,86.7095,Caseres,430419
551,2012,19.5712,Capçanes,430402
552,2012,67.2426,Capafonts,430398
553,2012,15.0054,Cambrils,430385
554,2012,17.4699,Calafell,430379
555,2012,41.7992,Cabra del Camp,430363
556,2012,30.5805,Cabacés,430350
557,2012,49.6566,Bràfim,430347
558,2012,68.9283,Conesa,430461
559,2012,55.5703,"Guiamets, els",430705
560,2012,58.7666,"Vall de Boí, la",250432
561,2012,15.2621,Maspujols,430810
562,2012,11.7844,"Masó, la",430803
563,2012,46.3601,Masllorenç,430799
564,2012,9.0318,Masdenverge,430786
565,2012,6.8818,Mas de Barberans,430770
566,2012,51.6043,Marçà,430764
567,2012,55.3106,Margalef,430751
568,2012,44.4307,Llorenç del Penedès,430748
569,2012,17.7586,Llorac,430733
570,2012,69.2458,"Febró, la",430574
571,2012,17.5239,Horta de Sant Joan,430712
572,2012,53.5239,"Figuera, la",430580
573,2012,39.7658,Gratallops,430691
574,2012,18.853,Godall,430688
575,2012,24.2737,Ginestar,430672
576,2012,32.1528,"Garidells, els",430666
577,2012,27.9896,Garcia,430653
578,2012,22.6963,Gandesa,430640
579,2012,18.571,"Galera, la",430635
580,2012,41.6989,Freginals,430629
581,2012,34.5746,Forès,430614
582,2012,29.4333,Flix,430607
583,2012,18.8487,"Borges del Camp, les",430311
584,2012,29.7336,"Lloar, el",430727
585,2012,20.3734,"Valls d'Aguilar, les",259062
586,2012,26.7512,Botarell,430332
587,2012,12.2092,Alcanar,430043
588,2012,3.7711,"Albiol, l'",430038
589,2012,13.3946,Albinyana,430022
590,2012,79.2058,Aiguamúrcia,430017
591,2012,27.9574,Riu de Cerdanya,259139
592,2012,66.6169,Gimenells i el Pla de la Font,259123
593,2012,24.24,"Plans de Sió, els",259118
594,2012,47.6563,Josa i Tuixén,259101
595,2012,26.0463,"Vansa i Fórnols, la",259097
596,2012,4.6841,Aldover,430069
597,2012,19.4228,Torrefeta i Florejacs,259078
598,2012,10.6894,"Aleixar, l'",430075
599,2012,66.2211,Ribera d'Ondara,259059
600,2012,27.7731,Castell de Mur,259046
601,2012,25.0821,"Guingueta d'Àneu, la",259031
602,2012,16.8734,Sant Martí de Riucorb,259025
603,2012,22.2147,Vall de Cardós,259010
604,2012,58.3161,Vinaixa,252555
605,2012,34.8943,Vilanova de la Barca,252542
606,2012,46.4271,"Vilosell, el",252537
607,2012,0.0,Vila-sana,252521
608,2012,22.6664,Vilanova de Segrià,252516
609,2012,32.4772,Vilanova de Meià,252509
610,2012,17.0826,Fígols i Alinyà,259084
611,2012,48.0159,Ascó,430192
612,2012,21.8127,Miravet,430846
613,2012,37.2838,Bonastre,430304
614,2012,23.8425,Blancafort,430290
615,2012,43.2043,"Bisbal del Penedès, la",430287
616,2012,16.3093,"Bisbal de Falset, la",430271
617,2012,20.2329,Benissanet,430265
618,2012,26.6279,Benifallet,430252
619,2012,35.0862,Bellvei,430249
620,2012,45.2994,Bellmunt del Priorat,430234
621,2012,15.1174,Batea,430228
622,2012,16.2386,Alcover,430056
623,2012,13.666,Banyeres del Penedès,430206
624,2012,31.969,Bot,430326
625,2012,30.9854,Arnes,430189
626,2012,34.1193,"Argentera, l'",430173
627,2012,15.5844,"Arboç, l'",430167
628,2012,10.4144,Arbolí,430154
629,2012,15.4676,Amposta,430141
630,2012,57.9973,"Ametlla de Mar, l'",430136
631,2012,27.8799,Altafulla,430120
632,2012,32.8831,Almoster,430115
633,2012,34.6264,Alió,430108
634,2012,8.338,Alforja,430094
635,2012,9.7777,Alfara de Carles,430081
636,2012,31.7893,Barberà de la Conca,430213
637,2012,22.6095,Tarragona,431482
638,2012,54.9827,Vallmoll,431606
639,2012,102.108,Vallfogona de Riucorb,431592
640,2012,50.1491,Vallclara,431589
641,2012,23.4177,Ulldemolins,431573
642,2012,4.6787,Ulldecona,431567
643,2012,25.5552,Tortosa,431554
644,2012,11.3622,Torroja del Priorat,431541
645,2012,10.8421,Torredembarra,431536
646,2012,25.739,"Torre de l'Espanyol, la",431520
647,2012,33.4189,"Torre de Fontaubella, la",431515
648,2012,25.8941,"Masroig, el",430825
649,2012,26.2534,Tivenys,431495
650,2012,12.2496,"Vendrell, el",431634
651,2012,23.7208,Solivella,431476
652,2012,15.5987,Senan,431460
653,2012,20.5328,"Selva del Camp, la",431457
654,2012,10.6103,"Secuita, la",431444
655,2012,89.9162,Savallà del Comtat,431439
656,2012,32.1535,Sarral,431423
657,2012,60.6563,Pontils,431418
