Codi,Municipi,2012,2013,2014,2015,2016,2017,2018,2019,2020
80253.0,"Bruc, el",139.8,146.7,119.3,116.0,96.8,82.8,81.1,77.1,78.7
80266.0,"Brull, el",4.9,6.9,8.5,6.8,5.2,6.4,6.1,3.3,11.0
170280.0,Brunyola i Sant Martí Sapresa,14.9,12.8,12.2,10.9,11.6,8.7,9.6,6.8,9.7
430350.0,Cabacés,21.9,23.2,22.4,18.3,15.6,11.2,12.8,13.0,13.7
250609.0,Cabanabona,3.3,2.8,1.7,2.8,2.3,2.0,0.0,1.7,2.1
170314.0,Cabanelles,14.1,14.8,14.3,15.8,18.3,18.7,14.7,13.1,16.5
170307.0,Cabanes,61.7,53.7,57.0,54.8,53.9,49.1,47.0,48.3,51.0
80272.0,"Cabanyes, les",54.0,54.3,52.2,39.1,35.5,30.2,28.7,23.1,27.7
250616.0,Cabó,2.7,3.8,6.0,6.9,5.1,3.8,3.7,2.7,4.3
430363.0,Cabra del Camp,129.0,128.2,118.2,106.1,97.2,86.3,84.8,90.8,102.7
80288.0,Cabrera d'Anoia,162.3,169.8,149.8,150.8,144.2,121.8,106.6,110.5,118.4
80291.0,Cabrera de Mar,214.5,226.4,202.9,184.8,162.8,143.8,141.5,137.6,165.3
80305.0,Cabrils,360.1,356.9,347.9,305.9,276.3,261.6,247.1,239.9,285.8
170329.0,Cadaqués,98.3,110.6,107.7,91.7,75.3,76.1,72.2,61.0,77.8
80312.0,Calaf,308.7,361.8,345.5,285.7,259.1,200.3,198.2,183.5,229.9
430379.0,Calafell,2569.9,2606.9,2470.3,2284.3,2046.4,1918.8,1804.0,1741.0,2097.8
80348.0,Calders,57.3,62.5,57.2,49.3,46.8,37.7,28.2,27.8,38.9
80327.0,Caldes d'Estrac,171.8,189.5,187.3,175.1,151.4,138.5,132.8,148.7,166.4
170335.0,Caldes de Malavella,569.6,571.5,509.1,453.4,407.7,359.6,344.2,325.6,438.7
80333.0,Caldes de Montbui,1376.4,1408.2,1304.9,1134.9,981.4,881.9,796.3,832.7,947.3
