Codi,Literal,Abans de 1900,De 1900 a 1920,De 1921 a 1940,De 1941 a 1950,De 1951 a 1960,De 1961 a 1970,De 1971 a 1980,De 1981 a 1990,De 1991 a 2001,De 2002 a 2011,Total
430939,Móra d'Ebre,260,94,75,96,64,121,290,202,205,186,1593
430944,Móra la Nova,66,76,57,40,40,159,139,96,127,133,933
430957,"Morell, el",85,58,43,53,57,71,91,37,133,197,825
081402,Navarcles,173,23,83,102,107,148,543,323,323,61,1886
081419,Navàs,106,58,135,63,119,165,226,192,175,165,1404
081430,Òdena,64,27,30,25,38,205,145,69,143,231,977
081458,Olèrdola,240,28,14,10,11,106,236,130,219,555,1549
081477,Olesa de Montserrat,566,100,133,136,383,273,496,797,609,261,3754
081483,Olivella,11,0,0,1,17,71,428,435,616,332,1911
171143,Olot,682,151,205,197,951,1014,1772,807,947,586,7312
081555,Palafolls,134,23,24,47,273,254,273,460,555,349,2392
171175,Palafrugell,1081,219,149,279,658,1111,1509,798,490,803,7097
171181,Palamós,163,81,118,187,482,558,785,643,526,532,4075
251581,"Palau d'Anglesola, el",72,54,72,65,62,60,60,42,123,143,753
081568,Palau-solità i Plegamans,98,27,52,53,112,460,765,861,872,764,4064
431009,"Pallaresos, els",23,8,9,6,9,30,167,222,680,437,1591
081574,Pallejà,72,29,27,44,163,247,414,258,320,329,1903
089058,"Palma de Cervelló, la",12,7,33,26,21,35,143,258,73,15,623
171241,Pals,217,103,33,20,50,293,374,429,263,278,2060
081580,"Papiol, el",112,51,31,20,99,129,69,66,175,130,882
081593,Parets del Vallès,56,129,74,50,229,409,476,509,636,297,2865
431042,"Perelló, el",221,35,35,105,151,182,256,100,86,21,1192
081614,Piera,316,97,31,76,191,491,2851,1366,958,757,7134
081635,Pineda de Mar,91,63,114,66,158,556,1314,900,601,388,4251
431080,"Pla de Santa Maria, el",283,25,80,10,21,38,303,78,70,215,1123
081653,"Pobla de Claramunt, la",164,24,28,25,16,89,70,60,148,154,778
431093,"Pobla de Mafumet, la",46,15,9,4,11,33,46,30,115,62,371
431114,"Pobla de Montornès, la",307,28,8,39,82,181,436,51,119,17,1268
251713,"Pobla de Segur, la",123,41,37,98,67,57,115,39,56,48,681
081672,Polinyà,59,10,14,11,18,55,95,187,166,183,798
251734,"Pont de Suert, el",88,8,6,20,73,12,38,9,34,198,486
081825,"Pont de Vilomara i Rocafort, el",173,28,29,11,43,51,110,302,270,194,1211
251728,Ponts,166,94,63,41,50,82,132,94,145,76,943
171371,Porqueres,49,15,25,21,50,192,328,193,180,289,1342
081691,"Prat de Llobregat, el",156,167,314,242,499,629,696,349,671,334,4057
081712,Prats de Lluçanès,68,7,23,57,50,83,147,113,84,48,680
082303,Premià de Dalt,87,22,38,81,159,373,706,602,538,195,2801
081727,Premià de Mar,325,153,164,64,399,570,544,637,522,140,3518
171411,Puigcerdà,81,36,50,122,176,194,218,254,322,303,1756
081751,Puig-reig,142,161,110,60,98,88,177,117,24,50,1027
171426,Quart,46,9,18,24,25,76,168,184,149,224,923
431233,Reus,725,438,400,431,1040,1338,1424,1312,2026,1278,10412
171463,Riells i Viabrea,0,17,5,10,4,43,694,549,502,273,2097
171479,Ripoll,346,121,65,51,138,176,308,238,144,196,1783
081803,Ripollet,107,63,105,82,268,363,318,401,528,330,2565
171485,Riudarenes,51,10,44,47,35,35,150,233,382,53,1040
171501,Riudellots de la Selva,46,29,27,11,19,55,107,89,75,122,580
431299,Riudoms,391,73,50,50,75,133,254,216,265,152,1659
081810,"Roca del Vallès, la",161,22,59,67,77,159,388,486,487,403,2309
431310,Roda de Berà,143,26,19,32,70,327,1204,919,765,542,4047
081831,Roda de Ter,156,66,46,41,80,216,322,289,210,358,1784
431331,Roquetes,319,238,140,125,112,132,340,255,255,197,2113
171523,Roses,111,25,32,111,207,627,2350,1247,564,393,5667
251898,Rosselló,56,23,24,27,47,48,121,79,123,272,820
081846,Rubí,225,133,160,130,506,1522,2249,1728,2183,1723,10559
081878,Sabadell,1013,1006,1513,1766,5467,5191,3343,2206,2319,1591,25415
081918,Sallent,367,183,138,142,163,150,196,137,135,151,1762
439057,Salou,54,5,6,19,68,350,728,381,278,208,2097
171557,Salt,87,70,88,92,292,393,565,369,250,350,2556
081944,Sant Adrià de Besòs,13,15,140,112,206,302,255,86,118,90,1337
081960,Sant Andreu de la Barca,28,43,14,35,76,176,376,501,513,415,2177
081976,Sant Andreu de Llavaneres,89,37,49,53,131,277,309,690,337,349,2321
081982,Sant Antoni de Vilamajor,44,38,22,48,70,125,423,534,317,368,1989
082009,Sant Boi de Llobregat,335,192,200,220,544,1287,1128,800,794,395,5895
431362,Sant Carles de la Ràpita,100,104,126,141,326,523,631,587,445,196,3179
082037,Sant Cebrià de Vallalta,2,0,2,1,11,55,383,454,400,201,1509
082021,Sant Celoni,90,58,81,132,385,438,663,634,642,286,3409
082042,Sant Climent de Llobregat,163,17,17,12,43,60,154,84,261,147,958
082055,Sant Cugat del Vallès,219,165,542,626,1137,1507,1950,1630,2568,1548,11892
082074,Sant Esteve de Palautordera,95,2,13,28,229,84,153,193,89,149,1035
082080,Sant Esteve Sesrovires,98,42,42,30,91,121,592,332,560,400,2308
082107,Sant Feliu de Codines,119,60,86,146,173,287,337,191,185,173,1757
171609,Sant Feliu de Guíxols,393,240,289,312,522,1024,1324,936,716,641,6397
082114,Sant Feliu de Llobregat,247,152,254,81,249,352,308,179,635,206,2663
082093,Sant Fost de Campsentelles,22,30,82,62,108,190,440,752,758,275,2719
082135,Sant Fruitós de Bages,250,36,34,30,321,171,328,345,339,297,2151
171637,Sant Gregori,65,12,12,20,36,60,193,144,242,221,1005
171642,Sant Hilari Sacalm,170,92,107,83,145,233,321,271,203,171,1796
082153,Sant Hipòlit de Voltregà,79,17,17,24,61,177,197,85,175,137,969
439023,Sant Jaume d'Enveja,111,72,105,139,192,234,268,97,145,148,1511
431378,Sant Jaume dels Domenys,197,73,32,28,21,47,278,238,239,199,1352
171674,Sant Joan de les Abadesses,165,99,51,38,70,81,133,54,65,104,860
082188,Sant Joan de Vilatorrada,81,44,24,36,137,296,645,277,425,204,2169
082172,Sant Joan Despí,43,79,71,59,214,561,292,94,368,97,1878
171851,Sant Joan les Fonts,154,6,10,14,32,155,256,62,90,151,930
171693,Sant Julià de Ramis,204,18,5,52,121,83,120,140,105,88,936
082205,Sant Julià de Vilatorta,177,9,12,21,29,68,215,90,217,106,944
082212,Sant Just Desvern,93,67,103,124,185,331,328,300,226,171,1928
082227,Sant Llorenç d'Hortons,10,7,6,5,18,65,312,228,197,89,937
082233,Sant Llorenç Savall,182,80,58,11,29,64,161,198,93,138,1014
082270,Sant Martí Sarroca,107,64,90,46,33,55,115,103,92,140,845
082310,Sant Pere de Ribes,238,62,58,54,130,536,1974,1507,1102,501,6162
082325,Sant Pere de Riudebitlles,190,29,16,17,24,101,91,40,65,147,720
082331,Sant Pere de Torelló,184,29,22,11,52,41,78,87,107,134,745
082346,Sant Pere de Vilamajor,4,10,15,9,19,79,359,358,525,656,2034
171788,Sant Pere Pescador,19,41,87,57,58,107,113,168,90,296,1036
082359,Sant Pol de Mar,90,24,26,17,64,147,280,366,276,255,1545
