Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
430271,"Bisbal de Falset, la",6,6,0,0,1,-1,3,0,3,2,
430287,"Bisbal del Penedès, la",284,187,97,16,28,-12,33,32,1,86,
172348,Biure,7,21,-14,0,0,0,4,0,4,-10,
430290,Blancafort,23,15,8,3,3,0,1,0,1,9,
170237,Blanes,1293,1256,37,274,291,-17,795,428,367,387,
170293,Boadella i les Escaules,6,22,-16,1,0,1,0,1,-1,-16,
170242,Bolvir,31,41,-10,2,4,-2,0,0,0,-12,
430304,Bonastre,68,55,13,2,17,-15,8,5,3,1,
250576,"Bòrdes, Es",12,15,-3,6,5,1,0,1,-1,-3,
170255,Bordils,102,66,36,8,8,0,39,8,31,67,
250582,"Borges Blanques, les",244,198,46,50,29,21,82,45,37,104,
430311,"Borges del Camp, les",88,107,-19,12,3,9,9,12,-3,-13,
170268,Borrassà,49,44,5,2,3,-1,7,7,0,4,
080240,Borredà,9,23,-14,0,2,-2,6,2,4,-12,
250595,Bossòst,27,42,-15,26,22,4,10,4,6,-5,
430326,Bot,4,31,-27,0,1,-1,9,2,7,-21,
430332,Botarell,58,71,-13,5,9,-4,13,4,9,-8,
250560,Bovera,0,8,-8,0,3,-3,4,0,4,-7,
430347,Bràfim,28,32,-4,8,1,7,23,1,22,25,
170274,Breda,119,123,-4,15,15,0,42,11,31,27,
080253,"Bruc, el",141,146,-5,14,11,3,22,3,19,17,
080266,"Brull, el",13,9,4,2,1,1,0,0,0,5,
170280,Brunyola i Sant Martí Sapresa,52,28,24,0,0,0,4,4,0,24,
430350,Cabacés,6,10,-4,0,2,-2,2,0,2,-4,
250609,Cabanabona,2,3,-1,2,2,0,1,0,1,0,
170314,Cabanelles,15,11,4,0,0,0,5,0,5,9,
170307,Cabanes,54,61,-7,7,5,2,20,7,13,8,
080272,"Cabanyes, les",36,29,7,1,6,-5,3,3,0,2,
250616,Cabó,2,9,-7,0,0,0,3,0,3,-4,
430363,Cabra del Camp,81,63,18,7,3,4,7,5,2,24,
080288,Cabrera d'Anoia,127,92,35,7,5,2,6,3,3,40,
080291,Cabrera de Mar,267,262,5,28,30,-2,63,8,55,58,
080305,Cabrils,354,319,35,18,30,-12,117,30,87,110,
170329,Cadaqués,50,103,-53,21,24,-3,45,16,29,-27,
080312,Calaf,108,130,-22,17,8,9,78,71,7,-6,
430379,Calafell,2081,1552,529,237,243,-6,791,223,568,1091,
080348,Calders,75,46,29,5,4,1,1,2,-1,29,
080327,Caldes d'Estrac,292,191,101,16,14,2,66,19,47,150,
170335,Caldes de Malavella,454,318,136,35,37,-2,90,44,46,180,
080333,Caldes de Montbui,602,571,31,80,86,-6,187,97,90,115,
080351,Calella,1038,798,240,120,147,-27,585,288,297,510,
080370,Calldetenes,108,111,-3,3,11,-8,12,15,-3,-14,
080386,Callús,127,110,17,10,11,-1,37,19,18,34,
080364,Calonge de Segarra,5,9,-4,0,0,0,0,0,0,-4,
170340,Calonge i Sant Antoni,620,487,133,51,55,-4,259,177,82,211,
250621,Camarasa,20,43,-23,3,4,-1,4,0,4,-20,
439039,Camarles,99,122,-23,14,15,-1,30,7,23,-1,
430385,Cambrils,1488,1228,260,365,369,-4,811,395,416,672,
170353,Camós,21,17,4,0,0,0,3,0,3,7,
170366,Campdevànol,87,64,23,5,8,-3,28,0,28,48,
170372,Campelles,17,7,10,1,0,1,0,0,0,11,
080399,Campins,40,28,12,3,0,3,5,0,5,20,
170388,Campllong,26,19,7,1,1,0,3,0,3,10,
170391,Camprodon,92,97,-5,16,8,8,39,0,39,42,
250637,Canejan,24,1,23,3,0,3,1,1,0,26,
170405,Canet d'Adri,30,27,3,9,1,8,5,0,5,16,
080403,Canet de Mar,721,626,95,63,54,9,188,93,95,199,
439076,"Canonja, la",256,250,6,25,20,5,49,18,31,42,
080410,Canovelles,745,752,-7,85,76,9,364,44,320,322,
080425,Cànoves i Samalús,243,162,81,11,15,-4,33,2,31,108,
170412,Cantallops,10,13,-3,0,0,0,4,0,4,1,
080431,Canyelles,332,189,143,19,27,-8,37,20,17,152,
430398,Capafonts,25,1,24,0,0,0,0,0,0,24,
430402,Capçanes,16,13,3,2,2,0,1,1,0,3,
080446,Capellades,251,180,71,25,15,10,44,15,29,110,
170427,Capmany,28,24,4,2,8,-6,6,3,3,1,
080459,Capolat,1,4,-3,0,0,0,0,0,0,-3,
080462,Cardedeu,718,719,-1,68,57,11,144,18,126,136,
080478,Cardona,125,101,24,13,27,-14,29,5,24,34,
080484,Carme,26,40,-14,0,3,-3,6,0,6,-11,
430419,Caseres,28,5,23,2,2,0,4,0,4,27,
170448,Cassà de la Selva,341,302,39,44,57,-13,110,86,24,50,
080497,Casserres,77,63,14,11,2,9,15,0,15,38,
080575,Castell de l'Areny,1,4,-3,0,0,0,0,0,0,-3,
259046,Castell de Mur,21,2,19,0,4,-4,1,1,0,15,
250642,Castellar de la Ribera,9,10,-1,0,0,0,0,1,-1,-2,
080522,Castellar de n'Hug,6,9,-3,0,0,0,0,0,0,-3,
080500,Castellar del Riu,12,6,6,0,1,-1,0,0,0,5,
080517,Castellar del Vallès,826,669,157,53,128,-75,146,55,91,173,
080538,Castellbell i el Vilar,237,181,56,17,21,-4,29,12,17,69,
080543,Castellbisbal,455,453,2,41,86,-45,115,45,70,27,
080556,Castellcir,62,45,17,3,3,0,12,0,12,29,
250674,Castelldans,43,28,15,6,2,4,20,10,10,29,
080569,Castelldefels,2510,2790,-280,604,668,-64,1840,892,948,604,
080581,Castellet i la Gornal,186,129,57,7,5,2,28,19,9,68,
170464,Castellfollit de la Roca,35,49,-14,11,4,7,19,1,18,11,
080608,Castellfollit de Riubregós,3,8,-5,0,0,0,0,0,0,-5,
080594,Castellfollit del Boix,12,19,-7,0,0,0,1,0,1,-6,
080615,Castellgalí,124,119,5,16,13,3,4,5,-1,7,
080620,Castellnou de Bages,71,53,18,4,3,1,52,0,52,71,
250680,Castellnou de Seana,28,29,-1,2,4,-2,7,6,1,-2,
170470,Castelló d'Empúries,419,390,29,75,94,-19,533,350,183,193,
250693,Castelló de Farfanya,25,26,-1,3,3,0,3,0,3,2,
080636,Castellolí,23,17,6,0,2,-2,0,0,0,4,
170486,Castell-Platja d'Aro,584,544,40,100,92,8,479,244,235,283,
250707,Castellserà,38,28,10,1,0,1,8,12,-4,7,
080641,Castellterçol,166,118,48,13,16,-3,19,14,5,50,
430424,Castellvell del Camp,138,147,-9,5,7,-2,7,6,1,-10,
080654,Castellví de la Marca,56,52,4,3,3,0,12,4,8,12,
080667,Castellví de Rosanes,136,113,23,2,3,-1,10,1,9,31,
430430,"Catllar, el",319,214,105,16,19,-3,35,29,6,108,
250714,Cava,3,2,1,0,0,0,0,0,0,1,
171899,"Cellera de Ter, la",60,74,-14,4,2,2,18,11,7,-5,
170499,Celrà,239,189,50,23,36,-13,68,46,22,59,
080673,Centelles,263,276,-13,21,16,5,42,15,27,19,
082687,Cercs,56,50,6,2,7,-5,6,2,4,5,
