Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
430350,Cabacés,19,5,14,0,0,0,1,0,1,15
250609,Cabanabona,2,6,-4,0,1,-1,0,0,0,-5
170314,Cabanelles,14,16,-2,1,0,1,5,1,4,3
170307,Cabanes,48,58,-10,1,7,-6,5,2,3,-13
080272,"Cabanyes, les",52,27,25,2,5,-3,4,1,3,25
250616,Cabó,6,1,5,0,0,0,0,0,0,5
430363,Cabra del Camp,100,45,55,9,11,-2,15,3,12,65
080288,Cabrera d'Anoia,123,85,38,8,14,-6,7,4,3,35
080291,Cabrera de Mar,260,216,44,24,25,-1,31,12,19,62
080305,Cabrils,433,358,75,27,26,1,93,24,69,145
170329,Cadaqués,124,55,69,23,12,11,71,15,56,136
080312,Calaf,83,128,-45,14,12,2,45,30,15,-28
430379,Calafell,2261,1368,893,238,245,-7,524,381,143,1029
080348,Calders,59,37,22,1,3,-2,3,0,3,23
080327,Caldes d'Estrac,328,189,139,18,24,-6,38,33,5,138
170335,Caldes de Malavella,479,272,207,28,44,-16,96,81,15,206
080333,Caldes de Montbui,640,548,92,61,71,-10,88,30,58,140
080351,Calella,914,718,196,92,117,-25,331,261,70,241
080370,Calldetenes,81,78,3,4,8,-4,15,6,9,8
080386,Callús,81,100,-19,8,3,5,13,13,0,-14
080364,Calonge de Segarra,10,3,7,0,0,0,0,0,0,7
170340,Calonge i Sant Antoni,680,466,214,41,61,-20,218,80,138,332
250621,Camarasa,36,29,7,5,3,2,5,2,3,12
439039,Camarles,116,56,60,9,15,-6,36,20,16,70
430385,Cambrils,1326,1081,245,269,330,-61,503,114,389,573
170353,Camós,47,7,40,1,1,0,3,0,3,43
170366,Campdevànol,104,70,34,8,1,7,8,5,3,44
170372,Campelles,22,11,11,0,3,-3,0,0,0,8
080399,Campins,41,52,-11,3,0,3,4,1,3,-5
170388,Campllong,21,27,-6,0,2,-2,3,0,3,-5
170391,Camprodon,194,76,118,23,9,14,39,6,33,165
250637,Canejan,7,8,-1,2,1,1,0,0,0,0
170405,Canet d'Adri,37,22,15,1,1,0,9,0,9,24
080403,Canet de Mar,624,481,143,75,55,20,97,78,19,182
439076,"Canonja, la",195,202,-7,22,22,0,28,18,10,3
080410,Canovelles,724,716,8,79,79,0,247,92,155,163
080425,Cànoves i Samalús,193,140,53,12,10,2,15,14,1,56
170412,Cantallops,11,11,0,0,2,-2,5,1,4,2
080431,Canyelles,390,197,193,19,24,-5,42,25,17,205
430398,Capafonts,17,1,16,0,0,0,0,1,-1,15
430402,Capçanes,11,8,3,0,1,-1,3,0,3,5
080446,Capellades,189,214,-25,37,31,6,48,13,35,16
170427,Capmany,46,43,3,3,2,1,8,1,7,11
080459,Capolat,6,5,1,0,0,0,0,0,0,1
080462,Cardedeu,791,587,204,55,56,-1,106,34,72,275
080478,Cardona,124,89,35,15,22,-7,31,19,12,40
080484,Carme,26,49,-23,4,2,2,8,0,8,-13
430419,Caseres,7,11,-4,0,1,-1,1,0,1,-4
170448,Cassà de la Selva,363,289,74,40,20,20,83,10,73,167
080497,Casserres,104,59,45,10,2,8,8,2,6,59
080575,Castell de l'Areny,6,1,5,0,0,0,0,0,0,5
259046,Castell de Mur,6,9,-3,1,0,1,0,1,-1,-3
250642,Castellar de la Ribera,10,3,7,0,0,0,0,0,0,7
080522,Castellar de n'Hug,14,2,12,1,0,1,0,0,0,13
080500,Castellar del Riu,5,7,-2,0,0,0,1,0,1,-1
080517,Castellar del Vallès,885,604,281,61,102,-41,89,69,20,260
080538,Castellbell i el Vilar,256,111,145,19,24,-5,29,7,22,162
080543,Castellbisbal,412,364,48,42,54,-12,70,30,40,76
080556,Castellcir,71,46,25,0,10,-10,4,2,2,17
250674,Castelldans,28,36,-8,7,4,3,4,16,-12,-17
080569,Castelldefels,2245,2492,-247,449,683,-234,1155,808,347,-134
