Municipi,Total
Muntanyola,400.0
Mura,156.0
Móra la Nova,2092.0
Nalec,55.0
Naut Aran,1255.0
Navarcles,3954.0
Navata,781.0
Navàs,3908.0
Navès,172.0
Nulles,288.0
Odèn,176.0
Ogassa,168.0
Olesa de Bonesvalls,1174.0
Olesa de Montserrat,15872.0
Oliana,1208.0
Oliola,140.0
Olius,560.0
Olivella,2519.0
Olost,758.0
Olot,21741.0
Olvan,562.0
Olèrdola,2355.0
Ordis,248.0
Organyà,550.0
Oristà,376.0
Orpí,109.0
Orís,207.0
Os de Balaguer,604.0
Osor,286.0
Ossó de Sió,130.0
Pacs del Penedès,590.0
Palafolls,6080.0
Palafrugell,14916.0
Palamós,11747.0
Palau de Santa Eulàlia,76.0
Pallejà,7520.0
Palol de Revardit,301.0
Pals,1714.0
Pardines,87.0
Parets del Vallès,12648.0
Parlavà,254.0
Passanant i Belltall,102.0
Pau,350.0
Paüls,356.0
Pedret i Marzà,110.0
Penelles,321.0
Perafita,246.0
Perafort,851.0
Peralada,1203.0
Peramola,221.0
Piera,9804.0
Pineda de Mar,17048.0
Pinell de Solsonès,124.0
Pinós,194.0
Pira,310.0
Planoles,204.0
Poboleda,236.0
Polinyà,5663.0
Pont de Molins,359.0
Pontils,98.0
Pontons,364.0
Ponts,1678.0
Pontós,140.0
Porqueres,2914.0
Porrera,293.0
Portbou,781.0
Pradell de la Teixeta,130.0
Prades,411.0
Prat de Comte,101.0
Pratdip,461.0
Prats de Lluçanès,1729.0
Prats i Sansor,198.0
Preixana,218.0
Preixens,248.0
Premià de Dalt,6942.0
Premià de Mar,18792.0
Prullans,149.0
Puigcerdà,5984.0
Puigdàlber,356.0
Puiggròs,194.0
Puigpelat,704.0
Puigverd de Lleida,906.0
Pujalt,126.0
Quart,2250.0
Queralbs,111.0
Querol,380.0
Rabós,119.0
Rajadell,360.0
Rasquera,511.0
Regencós,174.0
Rellinars,502.0
Renau,96.0
Reus,70.68900000000001
Rialp,464.0
Ribes de Freser,1159.0
Riells i Viabrea,2750.0
Riner,182.0
Ripoll,7015.0
Ripollet,25226.0
Riu de Cerdanya,91.0
Riudarenes,1401.0
Riudaura,281.0
Riudecanyes,714.0
Riudecols,857.0
Riudellots de la Selva,1350.0
Riudoms,4185.0
Riumors,148.0
