Codi,Literal,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
25022,Alòs de Balaguer,-,-,-,-,-,-,-,-,-,-
17006,Alp,-,1,-,-,-,-,-,-,2,1
08004,Alpens,-,-,-,-,-,-,-,-,-,-
25023,Alpicat,4,1,-,5,4,-,-,-,-,3
25024,Alt Àneu,-,-,-,1,-,-,1,-,-,-
43012,Altafulla,5,9,15,18,11,9,14,3,3,14
17007,Amer,-,-,-,-,-,-,-,-,-,-
43013,"Ametlla de Mar, l'",-,-,-,-,-,1,-,2,1,1
08005,"Ametlla del Vallès, l'",45,1,2,2,2,1,2,-,-,-
43906,"Ampolla, l'",2,2,2,7,6,34,3,9,3,1
43014,Amposta,34,61,63,28,34,31,37,39,31,11
17008,Anglès,4,7,4,10,3,3,4,-,-,-
25027,Anglesola,-,-,-,-,-,-,-,-,-,-
25029,Arbeca,-,-,-,1,-,-,3,-,-,-
43016,"Arboç, l'",5,11,8,8,12,6,13,4,5,4
43015,Arbolí,-,-,-,-,-,-,-,-,-,-
17009,Arbúcies,1,4,3,-,4,6,6,-,1,8
08006,Arenys de Mar,13,21,17,22,25,8,9,29,27,160
08007,Arenys de Munt,3,3,4,2,2,3,2,-,2,2
17010,Argelaguer,-,-,-,-,-,1,-,-,-,1
08008,Argençola,-,1,-,-,-,-,-,-,-,-
43017,"Argentera, l'",-,-,-,-,-,-,-,-,-,-
08009,Argentona,8,16,13,6,5,2,1,1,4,8
17011,"Armentera, l'",1,7,10,9,2,8,5,-,-,-
43018,Arnes,-,-,-,-,-,-,-,-,-,-
25031,Arres,-,-,-,-,-,-,-,-,-,-
25032,Arsèguel,-,-,-,-,-,-,-,-,-,-
08010,Artés,24,12,14,15,18,7,4,4,6,3
25033,Artesa de Lleida,-,2,-,-,-,1,-,-,-,-
25034,Artesa de Segre,-,-,-,-,-,1,3,-,-,-
43019,Ascó,1,-,-,-,-,-,-,-,-,-
25036,Aspa,-,-,-,-,-,-,-,-,-,-
25037,"Avellanes i Santa Linya, les",-,-,-,-,-,-,-,-,-,-
08011,Avià,-,-,-,-,-,1,-,1,-,-
08012,Avinyó,8,10,6,5,3,3,10,8,4,2
17012,Avinyonet de Puigventós,1,-,-,-,-,-,-,-,-,-
08013,Avinyonet del Penedès,-,1,2,-,-,-,2,1,-,-
08015,Badalona,459,708,733,762,791,670,385,"1,033",325,345
08904,Badia del Vallès,28,30,34,44,51,22,18,14,19,14
08016,Bagà,1,-,-,-,-,3,3,-,-,-
25039,Baix Pallars,3,-,4,-,-,-,-,1,-,-
25040,Balaguer,42,53,54,70,103,108,76,47,4,27
08017,Balenyà,1,1,1,2,4,3,1,-,-,-
08018,Balsareny,4,2,3,1,6,2,3,2,3,-
43020,Banyeres del Penedès,4,8,4,2,8,10,2,1,3,11
17015,Banyoles,28,54,30,53,69,71,43,33,71,30
25041,Barbens,-,1,1,-,-,-,-,-,-,-
43021,Barberà de la Conca,-,-,-,-,-,-,-,-,-,-
08252,Barberà del Vallès,75,88,138,132,134,106,114,82,64,11
08019,Barcelona,"4,710","9,422","7,406","10,481","8,343","7,088","6,139","6,586","8,315","6,707"
25042,"Baronia de Rialb, la",-,-,-,-,-,-,-,-,-,-
17016,Bàscara,-,1,-,-,-,-,-,1,-,-
25044,Bassella,-,-,-,-,-,-,-,-,-,-
43022,Batea,2,1,2,-,2,1,2,1,-,1
25045,Bausen,-,-,-,-,-,-,-,-,-,-
08020,Begues,30,41,15,7,12,6,2,3,3,13
17013,Begur,4,2,1,1,7,1,-,-,-,1
25046,Belianes,-,-,-,-,-,1,-,-,-,-
25170,Bellaguarda,-,-,-,-,-,-,-,-,-,-
17018,Bellcaire d'Empordà,-,-,-,-,-,-,-,-,-,-
25047,Bellcaire d'Urgell,-,-,-,-,-,-,1,-,-,-
25048,Bell-lloc d'Urgell,-,1,-,2,2,1,-,2,-,3
