Codi,Literal,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
08131,Montesquiu,-,-,1,-,1,2,-,1,-,-
25140,Montferrer i Castellbò,-,-,-,-,-,-,-,-,-,1
43089,Montferri,1,-,-,-,-,-,-,-,-,-
25138,Montgai,-,-,-,-,-,-,-,-,-,-
08126,Montgat,170,135,92,75,58,33,25,21,28,179
08132,Montmajor,-,-,-,-,-,-,-,-,-,-
08133,Montmaneu,-,-,-,-,-,-,-,-,-,-
43090,"Montmell, el",-,-,1,-,-,1,-,-,-,-
08135,Montmeló,34,39,22,28,18,12,9,6,11,10
25142,Montoliu de Lleida,-,-,-,1,-,-,-,-,-,-
25141,Montoliu de Segarra,-,-,-,-,-,-,-,-,-,-
25143,Montornès de Segarra,-,-,-,-,-,-,-,-,-,-
08136,Montornès del Vallès,15,26,21,10,31,4,4,-,7,11
43091,Mont-ral,-,-,-,-,-,-,-,-,-,-
17110,Mont-ras,-,1,2,1,1,1,-,1,-,-
43092,Mont-roig del Camp,5,11,10,9,6,5,9,11,3,1
08137,Montseny,-,-,-,-,-,-,-,-,-,-
43093,Móra d'Ebre,17,22,13,17,23,21,20,1,6,24
43094,Móra la Nova,3,4,6,3,6,4,1,-,1,3
43095,"Morell, el",1,5,3,-,-,-,2,-,1,5
43096,"Morera de Montsant, la",-,-,-,-,-,-,-,-,-,-
08129,Muntanyola,-,-,-,-,-,-,1,-,-,-
08139,Mura,-,-,-,-,-,-,-,-,-,-
25145,Nalec,-,-,-,-,-,-,-,-,-,-
25025,Naut Aran,-,1,-,-,-,-,-,-,-,26
08140,Navarcles,4,-,2,7,3,4,3,13,-,1
08141,Navàs,7,6,8,3,1,2,-,11,3,5
17111,Navata,-,-,-,-,-,-,-,-,1,-
25146,Navès,-,-,-,-,-,-,-,-,-,-
08142,"Nou de Berguedà, la",-,-,-,-,-,-,-,-,-,-
43097,"Nou de Gaià, la",-,-,-,-,-,-,-,-,-,-
43098,Nulles,-,1,-,1,-,-,-,-,-,-
25148,Odèn,-,1,-,-,-,-,-,-,-,-
08143,Òdena,4,-,-,1,3,-,1,1,1,1
17112,Ogassa,-,-,-,-,-,-,-,-,-,-
08145,Olèrdola,-,3,2,2,2,-,-,-,-,-
08146,Olesa de Bonesvalls,-,-,-,1,-,-,-,-,-,-
08147,Olesa de Montserrat,178,39,16,24,23,18,41,2,-,4
25149,Oliana,-,-,1,-,-,-,-,-,-,-
25150,Oliola,-,-,-,-,-,-,-,-,-,-
25151,Olius,-,-,-,1,-,-,-,-,-,-
08148,Olivella,4,1,2,2,1,1,-,-,-,-
08149,Olost,-,-,2,1,-,1,-,-,-,-
17114,Olot,157,317,203,148,194,101,105,136,141,142
25152,"Oluges, les",-,-,-,-,-,-,-,-,-,-
08144,Olvan,-,1,-,1,2,-,3,3,1,1
25153,"Omellons, els",-,-,-,-,-,-,-,-,-,-
25154,"Omells de Na Gaia, els",-,-,-,-,-,-,-,-,-,-
17115,Ordis,-,-,-,-,-,-,-,-,-,-
25155,Organyà,-,-,-,-,-,-,-,-,-,-
08150,Orís,-,-,-,-,-,-,-,-,-,-
08151,Oristà,-,-,-,-,-,-,-,-,-,-
08152,Orpí,-,-,-,-,-,-,-,-,-,-
08153,Òrrius,-,-,-,-,-,-,-,-,-,-
25156,Os de Balaguer,-,-,-,1,-,-,-,-,-,-
17116,Osor,-,-,-,-,-,-,-,-,-,-
25157,Ossó de Sió,-,-,-,-,-,-,-,-,-,-
08154,Pacs del Penedès,-,-,1,-,-,-,-,-,-,-
08155,Palafolls,4,5,8,10,7,8,8,19,34,21
17117,Palafrugell,83,124,121,88,131,106,63,113,28,152
17118,Palamós,17,4,6,12,18,25,8,26,20,28
25158,"Palau d'Anglesola, el",-,1,-,1,-,-,-,1,-,-
17119,Palau de Santa Eulàlia,-,-,-,-,-,-,-,-,-,-
17121,Palau-sator,-,-,-,-,1,-,-,-,-,-
17120,Palau-saverdera,2,1,-,-,1,3,1,-,-,1
08156,Palau-solità i Plegamans,11,8,5,7,6,2,2,5,1,2
43100,"Pallaresos, els",1,1,2,-,-,2,-,-,2,3
08157,Pallejà,14,5,6,7,4,7,-,1,3,1
08905,"Palma de Cervelló, la",1,-,-,1,-,-,-,1,-,1
43099,"Palma d'Ebre, la",-,-,-,-,-,-,-,-,-,-
17123,Palol de Revardit,-,-,-,-,-,-,-,-,-,-
17124,Pals,-,2,-,-,-,1,-,1,-,4
08158,"Papiol, el",1,-,2,2,-,2,-,-,-,-
17125,Pardines,-,8,-,-,-,-,-,2,-,4
08159,Parets del Vallès,24,30,27,34,34,15,18,48,2,15
17126,Parlavà,-,-,-,-,-,-,-,-,-,-
43101,Passanant i Belltall,-,-,-,-,-,-,-,-,-,-
17128,Pau,-,-,-,-,-,-,-,-,-,-
43102,Paüls,-,-,-,-,-,-,-,-,-,-
17129,Pedret i Marzà,-,-,-,-,-,-,-,-,-,-
25164,Penelles,-,1,-,2,1,1,2,4,1,7
17130,"Pera, la",-,-,-,-,-,-,-,-,-,-
08160,Perafita,-,1,-,-,-,-,-,-,-,-
43103,Perafort,2,-,1,1,-,-,1,1,-,3
17132,Peralada,1,-,-,-,-,-,-,-,-,-
25165,Peramola,-,-,-,-,-,-,-,-,-,-
43104,"Perelló, el",-,-,-,1,-,-,-,-,-,-
08161,Piera,10,9,6,12,12,14,15,7,17,3
43105,"Piles, les",-,-,-,1,-,-,-,-,-,-
08163,Pineda de Mar,10,17,11,20,27,8,11,5,4,10
43106,"Pinell de Brai, el",-,-,-,-,-,-,-,-,-,-
25166,Pinell de Solsonès,-,-,-,-,-,-,-,-,-,-
25167,Pinós,-,-,-,-,-,-,-,-,-,-
43107,Pira,-,-,-,-,-,1,-,-,-,-
43108,"Pla de Santa Maria, el",3,2,3,3,2,1,2,2,-,1
08164,"Pla del Penedès, el",2,4,5,6,8,2,-,1,-,-
17133,"Planes d'Hostoles, les",1,-,-,-,-,-,1,1,1,-
17134,Planoles,5,2,3,1,1,-,-,-,2,-
25911,"Plans de Sió, els",-,-,-,-,-,-,-,-,-,-
25168,"Poal, el",-,-,-,-,-,-,-,-,-,-
25169,"Pobla de Cérvoles, la",-,-,-,-,-,-,-,-,-,-
08165,"Pobla de Claramunt, la",1,-,-,1,3,1,1,1,2,1
08166,"Pobla de Lillet, la",-,-,-,-,-,-,-,-,-,-
43109,"Pobla de Mafumet, la",-,9,3,5,4,5,3,-,2,5
43110,"Pobla de Massaluca, la",-,-,-,-,-,-,-,-,-,-
43111,"Pobla de Montornès, la",-,1,-,1,-,1,-,-,-,2
25171,"Pobla de Segur, la",19,11,28,20,12,24,10,4,3,6
43112,Poboleda,-,-,-,-,-,-,-,-,-,-
08167,Polinyà,31,53,42,67,48,6,2,7,46,38
43113,"Pont d'Armentera, el",-,-,-,-,-,-,-,-,-,-
25030,"Pont de Bar, el",-,-,-,-,-,-,-,-,-,-
17135,Pont de Molins,-,-,-,-,1,-,-,-,-,-
25173,"Pont de Suert, el",8,11,12,6,11,8,9,-,-,6
08182,"Pont de Vilomara i Rocafort, el",9,8,10,5,11,9,4,1,2,-
43141,Pontils,-,-,-,-,-,-,-,-,-,-
08168,Pontons,-,-,-,-,-,-,-,-,-,-
17136,Pontós,-,-,-,-,-,-,-,-,-,-
25172,Ponts,1,-,-,-,-,-,-,-,1,-
17137,Porqueres,1,1,-,4,2,-,2,-,1,1
43114,Porrera,-,-,-,-,-,-,-,-,-,-
17140,"Port de la Selva, el",-,-,1,-,-,1,1,4,5,4
17138,Portbou,-,1,1,1,-,-,-,-,-,-
25174,"Portella, la",-,-,-,-,-,-,-,-,-,-
43115,Pradell de la Teixeta,-,-,-,-,-,-,-,-,-,-
43116,Prades,-,-,1,-,1,-,-,-,-,-
43117,Prat de Comte,-,-,-,-,-,-,-,-,-,-
08169,"Prat de Llobregat, el",342,311,351,405,368,419,165,130,288,269
43118,Pratdip,-,1,1,-,-,-,-,-,-,-
08171,Prats de Lluçanès,-,-,-,-,-,-,-,-,-,1
08170,"Prats de Rei, els",1,1,1,2,5,4,3,1,9,-
25175,Prats i Sansor,-,-,1,-,-,-,-,-,-,-
25176,Preixana,-,-,-,-,-,-,-,-,-,-
25177,Preixens,-,-,-,-,-,-,-,-,-,-
08230,Premià de Dalt,25,44,29,20,18,5,1,6,22,75
08172,Premià de Mar,16,28,19,27,22,12,3,10,12,22
17139,"Preses, les",11,9,12,14,7,10,10,9,8,10
25179,Prullans,-,-,-,1,-,-,-,-,-,-
17141,Puigcerdà,6,13,15,19,17,16,7,12,32,23
08174,Puigdàlber,-,-,-,-,-,-,1,-,-,-
25180,Puiggròs,-,-,-,-,-,-,-,-,-,-
43119,Puigpelat,-,-,1,-,-,-,1,-,-,-
08175,Puig-reig,2,-,-,-,1,-,-,-,1,-
25181,Puigverd d'Agramunt,-,-,-,-,-,-,-,-,-,-
25182,Puigverd de Lleida,-,-,-,1,-,1,-,-,-,1
08176,Pujalt,-,-,-,-,-,-,-,-,-,-
08177,"Quar, la",-,-,-,-,-,-,-,-,-,-
17142,Quart,6,3,5,1,2,3,1,1,-,-
17043,Queralbs,-,-,-,-,-,-,-,-,-,-
43120,Querol,-,-,-,-,-,-,-,-,-,-
17143,Rabós,-,-,-,-,-,-,-,-,-,-
08178,Rajadell,-,-,-,-,-,-,-,-,-,-
43121,Rasquera,-,1,1,-,-,-,-,-,-,-
17144,Regencós,-,-,-,-,-,-,-,-,-,-
08179,Rellinars,-,-,-,-,1,-,-,-,-,-
43122,Renau,-,-,-,-,-,-,-,-,-,-
43123,Reus,165,358,277,304,350,352,411,340,558,655
25183,Rialp,2,2,10,4,1,2,1,11,1,1
43124,"Riba, la",-,-,-,-,-,-,-,-,-,-
43125,Riba-roja d'Ebre,1,-,-,-,-,-,-,-,-,1
25905,Ribera d'Ondara,-,-,-,-,-,-,-,-,-,-
25185,Ribera d'Urgellet,-,-,-,-,-,-,-,-,-,-
17145,Ribes de Freser,-,10,-,1,3,5,-,2,2,1
17146,Riells i Viabrea,1,-,1,-,3,1,-,-,-,-
43126,"Riera de Gaià, la",-,-,1,-,-,-,-,-,-,1
25186,Riner,-,-,-,-,-,-,-,-,-,-
17147,Ripoll,33,39,34,21,26,37,20,10,2,47
08180,Ripollet,87,84,75,95,428,155,28,21,45,41
25913,Riu de Cerdanya,-,-,-,-,-,-,-,-,-,1
17148,Riudarenes,2,-,-,1,1,-,-,-,-,1
17149,Riudaura,-,-,-,-,-,-,-,-,-,-
43127,Riudecanyes,-,3,-,-,-,-,-,-,-,-
43128,Riudecols,-,-,1,-,1,-,-,-,-,-
17150,Riudellots de la Selva,1,-,1,-,1,2,-,-,-,-
43129,Riudoms,2,-,5,2,2,1,1,-,1,-
17151,Riumors,-,-,-,-,-,-,-,-,-,-
08181,"Roca del Vallès, la",5,6,2,-,2,2,1,-,1,90
43130,Rocafort de Queralt,-,-,-,-,-,-,-,-,-,-
43131,Roda de Berà,3,22,5,-,3,2,3,-,22,6
08183,Roda de Ter,6,9,11,9,4,5,5,-,-,-
43132,Rodonyà,-,-,-,-,-,-,-,-,-,-
43133,Roquetes,-,-,-,1,5,4,3,6,7,5
17152,Roses,18,32,26,27,30,22,28,21,29,73
25189,Rosselló,-,2,-,2,2,2,-,1,-,-
43134,"Rourell, el",-,-,-,-,-,-,-,-,-,-
08184,Rubí,46,56,43,84,143,50,14,29,30,17
08185,Rubió,-,-,-,-,-,-,-,-,-,-
17153,Rupià,-,-,-,-,2,-,-,-,-,-
08901,Rupit i Pruit,-,-,-,-,-,-,-,-,-,-
08187,Sabadell,870,"1,291",925,853,691,613,550,595,993,"1,269"
08188,Sagàs,-,-,-,-,-,-,-,-,-,-
25190,Salàs de Pallars,-,-,-,-,-,2,-,-,-,-
08190,Saldes,-,-,-,-,-,-,-,-,-,-
17154,Sales de Llierca,-,-,-,-,-,-,-,-,-,-
08191,Sallent,10,15,9,14,9,9,9,33,2,97
43135,Salomó,1,-,-,-,-,-,-,-,-,-
43905,Salou,46,51,77,76,35,77,93,43,45,54
17155,Salt,176,236,180,225,139,117,113,81,36,150
25191,Sanaüja,-,-,-,-,-,-,-,-,-,-
08194,Sant Adrià de Besòs,150,251,194,220,269,306,171,241,174,160
08195,Sant Agustí de Lluçanès,-,-,-,-,-,-,-,-,-,-
08196,Sant Andreu de la Barca,62,114,102,109,152,62,20,42,47,469
08197,Sant Andreu de Llavaneres,5,2,2,1,1,-,-,1,1,-
17157,Sant Andreu Salou,-,-,-,-,-,-,-,-,-,-
17183,Sant Aniol de Finestres,-,-,-,1,-,-,-,1,-,-
08198,Sant Antoni de Vilamajor,2,-,2,1,-,1,-,-,1,-
08199,Sant Bartomeu del Grau,-,-,-,-,-,-,-,-,-,-
08200,Sant Boi de Llobregat,219,667,279,171,136,67,33,14,35,54
08201,Sant Boi de Lluçanès,-,-,-,-,-,-,-,-,-,-
43136,Sant Carles de la Ràpita,52,12,35,41,38,51,75,74,47,8
08203,Sant Cebrià de Vallalta,-,1,-,-,-,-,-,-,-,1
08202,Sant Celoni,7,10,11,7,5,2,3,3,2,21
08204,Sant Climent de Llobregat,4,-,1,-,2,-,-,1,1,-
17158,Sant Climent Sescebes,-,-,-,-,-,-,-,-,-,-
08205,Sant Cugat del Vallès,229,860,"1,411",709,770,543,241,265,558,311
08206,Sant Cugat Sesgarrigues,2,-,-,2,-,-,-,-,-,-
25196,Sant Esteve de la Sarga,-,-,-,-,-,-,-,-,-,-
08207,Sant Esteve de Palautordera,1,-,-,-,-,-,-,-,1,-
08208,Sant Esteve Sesrovires,6,7,1,20,17,3,-,1,6,14
17159,Sant Feliu de Buixalleu,-,-,-,-,-,-,-,-,-,-
08210,Sant Feliu de Codines,4,2,1,-,1,1,1,1,-,-
17160,Sant Feliu de Guíxols,20,15,34,57,71,37,25,13,53,44
08211,Sant Feliu de Llobregat,225,550,261,202,203,187,104,88,44,33
17161,Sant Feliu de Pallerols,-,-,-,-,-,-,-,1,1,-
08212,Sant Feliu Sasserra,-,-,-,-,-,-,-,-,-,-
17162,Sant Ferriol,-,-,-,-,-,-,-,-,-,-
08209,Sant Fost de Campsentelles,2,9,8,27,12,12,15,6,1,2
08213,Sant Fruitós de Bages,24,32,10,16,10,2,1,3,1,1
17163,Sant Gregori,8,66,24,8,16,15,16,24,10,7
25192,Sant Guim de Freixenet,-,-,-,-,-,-,-,-,-,-
25197,Sant Guim de la Plana,-,-,-,-,-,-,-,-,-,-
17164,Sant Hilari Sacalm,3,7,10,7,4,1,5,6,7,1
08215,Sant Hipòlit de Voltregà,3,7,1,3,-,1,4,1,-,-
08193,Sant Iscle de Vallalta,1,-,-,-,-,-,1,1,-,-
08216,Sant Jaume de Frontanyà,-,-,-,-,-,-,-,-,-,-
17165,Sant Jaume de Llierca,1,1,1,-,-,-,2,2,2,-
43137,Sant Jaume dels Domenys,-,-,-,-,1,-,-,-,-,-
43902,Sant Jaume d'Enveja,2,1,-,-,1,-,-,-,-,-
17167,Sant Joan de les Abadesses,4,12,14,13,9,3,6,7,11,26
17168,Sant Joan de Mollet,-,-,-,-,-,-,-,-,-,-
08218,Sant Joan de Vilatorrada,12,4,7,11,8,2,-,1,2,2
08217,Sant Joan Despí,104,802,197,337,131,83,137,75,158,253
17185,Sant Joan les Fonts,9,6,5,8,11,5,8,-,6,12
17166,Sant Jordi Desvalls,-,-,-,1,-,-,-,-,-,-
08903,Sant Julià de Cerdanyola,-,-,-,-,-,-,-,-,-,-
17169,Sant Julià de Ramis,2,-,-,-,2,1,1,1,-,-
08220,Sant Julià de Vilatorta,5,1,9,7,4,2,-,-,8,-
17903,Sant Julià del Llor i Bonmatí,1,-,-,-,-,-,-,-,-,-
08221,Sant Just Desvern,61,82,216,111,130,30,24,7,16,114
17171,Sant Llorenç de la Muga,-,-,-,-,-,-,-,-,-,-
25193,Sant Llorenç de Morunys,-,-,-,-,-,-,-,-,-,-
08222,Sant Llorenç d'Hortons,-,1,-,3,-,-,-,-,-,-
08223,Sant Llorenç Savall,4,4,4,4,8,10,9,2,-,1
08225,Sant Martí d'Albars,-,-,-,-,-,-,-,-,-,-
08224,Sant Martí de Centelles,1,-,-,-,1,3,3,-,-,-
17172,Sant Martí de Llémena,-,-,-,-,-,-,-,-,1,-
25902,Sant Martí de Riucorb,-,-,-,-,-,-,-,-,-,1
08226,Sant Martí de Tous,-,1,-,1,1,-,1,-,-,1
08227,Sant Martí Sarroca,2,6,6,6,7,2,-,1,-,-
08228,Sant Martí Sesgueioles,-,-,-,-,-,-,1,-,-,-
17173,Sant Martí Vell,-,-,-,-,-,-,-,-,-,-
08229,Sant Mateu de Bages,1,1,-,1,-,-,-,-,1,-
17174,Sant Miquel de Campmajor,-,-,-,-,-,-,-,-,-,-
17175,Sant Miquel de Fluvià,1,-,-,-,-,-,-,-,-,-
17176,Sant Mori,-,-,-,-,-,-,-,-,-,-
17177,Sant Pau de Segúries,-,-,-,-,-,-,-,-,-,-
08231,Sant Pere de Ribes,139,63,77,120,164,37,17,27,16,29
08232,Sant Pere de Riudebitlles,4,1,2,1,2,4,-,-,-,-
08233,Sant Pere de Torelló,1,4,4,5,9,10,1,-,-,-
08234,Sant Pere de Vilamajor,-,-,1,1,1,-,-,-,1,1
17178,Sant Pere Pescador,-,-,-,1,3,-,-,-,-,-
08189,Sant Pere Sallavinera,-,-,1,-,-,-,-,-,-,-
08235,Sant Pol de Mar,3,6,27,8,2,-,2,3,10,25
08236,Sant Quintí de Mediona,7,3,9,9,5,2,1,-,-,1
08237,Sant Quirze de Besora,2,2,1,1,3,3,2,1,2,2
08238,Sant Quirze del Vallès,59,86,74,77,49,37,65,85,76,91
08239,Sant Quirze Safaja,-,-,-,-,-,-,-,-,-,-
25194,Sant Ramon,-,-,-,-,-,-,-,-,-,-
08240,Sant Sadurní d'Anoia,31,37,30,39,42,35,33,26,5,24
08241,Sant Sadurní d'Osormort,-,-,-,-,-,-,-,-,-,-
08098,Sant Salvador de Guardiola,-,-,-,-,-,-,-,-,-,-
08262,Sant Vicenç de Castellet,19,9,10,20,14,33,31,2,2,1
08264,Sant Vicenç de Montalt,7,7,5,1,2,1,1,1,3,14
08265,Sant Vicenç de Torelló,6,4,4,5,4,5,3,-,-,-
08263,Sant Vicenç dels Horts,74,53,58,69,61,39,4,14,28,7
43138,Santa Bàrbara,1,4,1,2,2,2,4,-,4,-
08243,Santa Cecília de Voltregà,-,-,-,-,-,-,-,-,-,-
08244,Santa Coloma de Cervelló,4,4,6,11,6,2,2,3,7,2
17180,Santa Coloma de Farners,15,21,33,9,28,16,31,25,33,1
08245,Santa Coloma de Gramenet,180,217,297,295,367,292,150,99,124,220
43139,Santa Coloma de Queralt,2,5,8,2,1,1,2,-,-,-
17181,Santa Cristina d'Aro,4,3,4,2,14,22,1,8,7,20
08246,Santa Eugènia de Berga,2,2,1,7,3,10,5,-,-,-
08247,Santa Eulàlia de Riuprimer,-,3,4,1,-,-,-,-,-,-
08248,Santa Eulàlia de Ronçana,5,2,2,2,3,-,-,1,1,1
08249,Santa Fe del Penedès,1,-,-,-,-,-,-,-,-,-
17182,Santa Llogaia d'Àlguema,-,-,-,-,-,-,-,-,-,-
08250,Santa Margarida de Montbui,15,9,10,23,20,15,22,11,19,8
08251,Santa Margarida i els Monjos,55,38,41,34,46,45,59,52,165,1
08253,Santa Maria de Besora,-,-,-,-,-,-,-,-,-,-
08256,Santa Maria de Martorelles,-,-,-,-,-,1,-,-,1,-
08255,Santa Maria de Merlès,-,-,-,-,-,-,-,-,-,-
08257,Santa Maria de Miralles,-,-,-,-,-,-,-,-,-,-
08259,Santa Maria de Palautordera,2,5,1,2,2,-,-,1,-,2
08258,Santa Maria d'Oló,-,-,-,1,1,-,1,-,-,-
43140,Santa Oliva,-,2,-,-,-,-,-,-,1,2
17184,Santa Pau,-,-,-,-,-,-,-,-,1,-
08260,Santa Perpètua de Mogoda,73,85,97,122,79,77,73,59,63,244
08261,Santa Susanna,2,-,1,1,-,-,-,-,-,-
08192,Santpedor,13,7,9,11,7,4,12,6,3,-
43142,Sarral,3,2,2,-,1,-,-,-,-,-
17186,Sarrià de Ter,4,2,6,3,-,6,2,1,-,-
25201,Sarroca de Bellera,-,-,-,-,-,1,-,-,-,-
25200,Sarroca de Lleida,-,-,-,-,-,-,-,-,-,-
17187,"Saus, Camallera i Llampaies",1,-,-,-,-,-,-,-,-,-
43143,Savallà del Comtat,-,-,-,-,-,-,-,-,-,-
43144,"Secuita, la",-,1,-,-,-,-,-,-,-,1
17188,"Selva de Mar, la",-,-,-,-,-,-,1,-,-,-
43145,"Selva del Camp, la",-,2,7,7,3,10,6,3,6,6
43146,Senan,-,-,-,-,-,-,-,-,-,-
43044,"Sénia, la",2,1,-,-,-,1,1,-,1,-
25202,Senterada,1,-,-,-,-,-,-,-,1,-
25035,"Sentiu de Sió, la",-,-,-,-,-,2,-,-,-,-
08267,Sentmenat,17,34,18,26,17,11,22,16,-,2
17190,Serinyà,-,-,-,-,1,-,-,-,-,-
25204,Seròs,2,-,-,1,-,-,-,-,-,-
17191,Serra de Daró,-,-,-,-,-,-,-,-,-,-
17192,Setcases,-,-,-,-,-,-,-,-,-,-
25203,"Seu d'Urgell, la",24,24,24,25,37,23,37,40,42,100
08269,Seva,-,-,-,-,-,-,-,-,-,-
25205,Sidamon,1,1,2,-,-,1,-,-,-,1
17193,Sils,1,4,3,-,4,2,2,3,-,-
08270,Sitges,26,191,212,35,58,96,124,71,143,93
17052,Siurana,-,-,-,-,-,-,-,-,-,-
08271,Sobremunt,-,-,-,-,-,-,-,-,-,-
25206,"Soleràs, el",-,-,-,-,-,-,-,-,-,-
43147,Solivella,-,-,-,-,-,-,-,-,-,-
25207,Solsona,61,43,55,38,45,57,8,26,4,-
08272,Sora,-,-,-,-,-,-,-,-,-,-
25208,Soriguera,3,2,1,-,1,-,2,5,-,-
25209,Sort,21,20,27,22,24,25,10,48,4,-
25210,Soses,-,-,-,-,-,-,-,-,-,-
08273,Subirats,-,-,2,2,1,1,-,-,-,-
25211,Sudanell,-,-,1,-,1,-,1,-,-,-
25212,Sunyer,1,-,-,-,-,-,-,-,-,-
08274,Súria,21,12,12,4,3,3,2,6,10,11
17194,Susqueda,-,-,-,-,-,-,-,-,-,-
08276,Tagamanent,-,-,-,-,-,-,-,-,-,-
08277,Talamanca,-,-,1,-,-,-,-,-,-,-
25215,Talarn,2,-,1,-,-,1,1,-,-,-
25216,Talavera,-,-,-,-,-,-,1,-,-,-
17195,"Tallada d'Empordà, la",-,-,-,-,-,-,-,-,-,-
08278,Taradell,6,2,6,5,4,8,3,1,6,-
43148,Tarragona,187,286,389,348,359,329,425,300,343,533
25217,Tàrrega,29,47,94,68,70,31,22,22,24,23
25218,Tarrés,-,-,-,-,-,-,-,-,-,-
25219,Tarroja de Segarra,-,-,-,-,-,-,-,-,-,-
08275,Tavèrnoles,1,-,-,-,-,1,-,-,-,-
08280,Tavertet,-,-,-,-,-,-,-,-,-,-
08281,Teià,17,26,9,18,16,7,2,4,5,5
25220,Térmens,-,-,-,-,1,-,-,-,-,-
17196,Terrades,-,-,-,-,-,-,-,-,-,-
08279,Terrassa,"1,051","1,386","1,493","1,633","1,878","1,080",632,813,"1,202","1,370"
08282,Tiana,39,28,151,39,21,14,19,115,51,7
25221,Tírvia,-,1,-,1,-,-,2,-,-,-
25222,Tiurana,-,-,-,-,-,-,-,-,-,-
43149,Tivenys,-,-,-,-,-,-,-,-,-,-
43150,Tivissa,1,1,1,-,-,-,-,-,-,1
08283,Tona,4,2,3,-,2,3,2,1,1,3
25223,Torà,1,1,1,-,1,1,2,-,-,1
08284,Tordera,31,54,40,57,52,52,25,33,16,19
08285,Torelló,38,37,45,62,41,50,59,51,24,53
25224,"Torms, els",-,-,-,-,-,-,-,-,-,-
25225,Tornabous,-,-,-,-,-,-,-,-,-,-
25227,"Torre de Cabdella, la",2,6,2,2,6,25,2,1,1,2
08286,"Torre de Claramunt, la",3,-,-,-,1,3,1,-,-,-
43151,"Torre de Fontaubella, la",-,-,-,-,-,-,-,-,-,-
43152,"Torre de l'Espanyol, la",1,7,-,5,5,14,2,2,4,8
25226,Torrebesses,-,-,-,-,-,-,-,-,-,-
43153,Torredembarra,10,13,18,18,13,15,23,11,13,32
25228,Torrefarrera,1,4,2,1,-,-,-,-,3,3
25907,Torrefeta i Florejacs,-,1,-,-,-,-,-,-,-,-
25230,Torregrossa,2,3,-,1,-,-,-,-,-,-
25231,Torrelameu,-,-,-,-,-,-,-,-,-,-
08287,Torrelavit,-,-,2,-,2,2,1,-,-,-
08288,Torrelles de Foix,2,1,4,4,4,2,2,-,-,2
08289,Torrelles de Llobregat,10,13,12,11,6,2,2,-,-,-
17197,Torrent,-,-,-,-,-,-,-,-,-,-
25232,Torres de Segre,-,1,2,-,3,1,5,7,6,-
25233,Torre-serona,-,-,-,1,-,-,-,-,-,-
17198,Torroella de Fluvià,-,-,-,-,-,-,-,-,-,-
17199,Torroella de Montgrí,5,2,5,4,14,10,13,10,28,33
43154,Torroja del Priorat,-,-,-,1,-,-,-,-,-,-
17200,Tortellà,1,-,-,-,-,-,-,-,-,-
43155,Tortosa,12,15,29,34,40,28,25,34,16,50
17201,Toses,-,-,-,-,-,-,-,-,-,-
17202,Tossa de Mar,2,2,2,1,2,-,-,-,1,49
25234,Tremp,24,33,46,68,52,56,34,2,2,10
17204,Ullà,1,-,-,1,2,-,-,-,-,2
08290,Ullastrell,-,-,1,1,-,-,-,-,-,-
17205,Ullastret,-,-,-,-,-,-,-,-,-,-
43156,Ulldecona,2,1,-,-,-,-,-,-,-,2
43157,Ulldemolins,-,-,-,-,-,-,-,-,-,-
17203,Ultramort,-,-,-,-,-,-,-,-,-,-
17206,Urús,-,-,-,-,-,-,-,-,-,-
08291,Vacarisses,-,1,1,3,3,-,-,2,-,-
17014,"Vajol, la",-,-,-,-,-,-,-,-,-,-
17208,"Vall de Bianya, la",2,-,-,-,-,-,-,2,4,1
25043,"Vall de Boí, la",-,-,-,-,-,-,-,-,-,-
25901,Vall de Cardós,1,1,1,-,1,-,1,2,-,-
17207,"Vall d'en Bas, la",1,-,-,1,1,-,2,3,2,3
08292,Vallbona d'Anoia,1,-,1,-,1,-,1,-,1,-
25238,Vallbona de les Monges,-,-,-,-,-,-,-,-,-,-
08293,Vallcebre,-,-,-,-,1,-,-,-,1,-
43158,Vallclara,-,-,-,-,-,-,-,-,-,-
25240,Vallfogona de Balaguer,1,-,-,1,-,-,1,-,-,-
17170,Vallfogona de Ripollès,-,-,-,-,-,-,-,-,-,-
43159,Vallfogona de Riucorb,-,1,-,-,-,-,-,-,-,-
08294,Vallgorguina,-,-,-,-,-,-,-,-,-,-
08295,Vallirana,8,4,6,6,3,2,9,3,4,1
17209,Vall-llobrega,-,-,-,-,-,-,-,-,-,-
43160,Vallmoll,-,-,-,-,-,1,-,-,-,-
08296,Vallromanes,-,2,-,-,-,-,-,-,-,-
43161,Valls,43,83,68,98,75,47,46,32,51,74
25906,"Valls d'Aguilar, les",-,-,1,-,-,-,-,-,-,-
25239,"Valls de Valira, les",-,1,1,-,-,-,-,-,-,-
43162,Vandellòs i l'Hospitalet de l'Infant,6,10,8,3,10,8,6,-,-,1
25909,"Vansa i Fórnols, la",-,-,-,-,-,-,-,-,-,-
08297,Veciana,-,-,-,-,-,-,-,-,-,-
43163,"Vendrell, el",37,102,102,133,97,100,145,58,83,39
17210,Ventalló,-,-,-,1,-,-,-,-,-,-
25242,Verdú,-,1,1,1,-,-,-,-,-,-
17211,Verges,2,1,1,1,-,1,-,-,-,1
43164,Vespella de Gaià,-,-,-,-,-,-,-,-,-,-
08298,Vic,147,230,205,330,226,151,73,79,34,26
17212,Vidrà,2,-,1,1,-,1,-,-,-,-
