Codi,Literal,Habitatges familiars    principals,Habitatges familiars  no principals  secundaris,Habitatges familiars  no principals  buits,Habitatges familiars  no principals  total,Habitatges familiars    total,Habitatges col·lectius
080636,Castellolí,219,0,62,68,287,0
170486,Castell-Platja d'Aro,4542,10038,659,10697,15239,2
250707,Castellserà,448,0,70,91,539,0
080641,Castellterçol,937,557,121,678,1615,3
430424,Castellvell del Camp,954,253,112,365,1319,0
080654,Castellví de la Marca,586,0,0,123,709,0
080667,Castellví de Rosanes,579,167,0,197,776,2
430430,"Catllar, el",1531,796,106,902,2433,0
250714,Cava,37,68,23,91,128,0
171899,"Cellera de Ter, la",779,0,106,175,954,2
170499,Celrà,1791,0,217,245,2036,1
080673,Centelles,2960,0,239,289,3249,2
082687,Cercs,585,270,337,607,1192,0
082665,Cerdanyola del Vallès,21316,435,3549,3984,25300,21
080689,Cervelló,3117,553,314,867,3984,5
250729,Cervera,3560,158,872,1030,4590,2
250735,Cervià de les Garrigues,314,271,87,358,672,0
170502,Cervià de Ter,324,31,0,42,366,0
170519,Cistella,101,16,0,24,125,0
250740,Ciutadilla,84,97,0,110,194,0
250753,Clariana de Cardener,41,0,23,29,70,1
250766,"Cogul, el",70,18,49,67,137,0
170545,Colera,223,778,55,833,1056,0
250772,Coll de Nargó,241,289,68,357,598,0
080692,Collbató,1469,593,0,726,2195,2
430458,Colldejou,70,36,0,46,116,0
080706,Collsuspina,123,44,0,57,180,1
170558,Colomers,88,32,0,36,124,0
251636,"Coma i la Pedra, la",117,559,51,610,727,3
251615,Conca de Dalt,191,252,13,265,456,0
430461,Conesa,62,103,15,118,180,0
430477,Constantí,2502,0,154,171,2673,0
080713,Copons,124,40,0,45,169,0
430483,Corbera d'Ebre,414,45,120,165,579,0
080728,Corbera de Llobregat,5067,1215,440,1655,6722,9
250788,Corbins,507,0,65,96,603,0
170577,Corçà,516,157,0,179,695,0
080734,Cornellà de Llobregat,33424,550,2688,3238,36662,14
170561,Cornellà del Terri,747,0,0,185,932,1
430496,Cornudella de Montsant,452,306,81,387,839,0
430509,Creixell,1409,2249,366,2615,4024,2
170583,Crespià,96,0,18,29,125,0
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",476,126,30,156,632,1
080749,Cubelles,5803,3076,1721,4797,10600,1
250791,Cubells,147,85,68,153,300,1
430516,Cunit,5010,7587,416,8003,13013,3
170600,Darnius,233,144,31,175,408,0
170617,Das,92,295,0,305,397,0
439018,Deltebre,4270,440,1549,1989,6259,1
