Codi,Literal,Habitatges familiars  principals  convencionals,Habitatges familiars  principals  allotjaments,Habitatges familiars  no principals  secundaris,Habitatges familiars  no principals  vacants,Habitatges familiars  no principals  altres,Habitatges familiars    total,Establiments col·lectius
170448,Cassà de la Selva,2738,1,206,846,32,3823,1
080497,Casserres,564,0,56,151,0,771,0
080575,Castell de l'Areny,26,0,12,8,0,46,0
259046,Castell de Mur,66,1,71,2,0,140,0
250642,Castellar de la Ribera,39,0,8,20,0,67,0
080522,Castellar de n'Hug,61,0,76,76,9,222,0
080500,Castellar del Riu,48,0,19,2,0,69,0
080517,Castellar del Vallès,6171,0,849,1328,21,8369,5
080538,Castellbell i el Vilar,1061,0,120,181,0,1362,1
080543,Castellbisbal,3080,0,370,433,6,3889,0
080556,Castellcir,144,0,42,26,1,213,0
250674,Castelldans,355,0,32,59,2,448,0
080569,Castelldefels,16585,0,5648,2966,692,25891,19
080581,Castellet i la Gornal,571,0,352,95,11,1029,0
170464,Castellfollit de la Roca,382,0,63,77,2,524,0
080608,Castellfollit de Riubregós,72,0,29,22,0,123,0
080594,Castellfollit del Boix,132,0,6,9,0,147,0
080615,Castellgalí,340,0,70,75,0,485,1
080620,Castellnou de Bages,209,0,126,24,0,359,0
250680,Castellnou de Seana,253,0,91,21,26,391,0
170470,Castelló d'Empúries,2371,0,6028,5147,45,13591,1
250693,Castelló de Farfanya,205,1,117,29,3,355,0
080636,Castellolí,145,0,43,0,0,188,0
170486,Castell-Platja d'Aro,2849,0,9299,983,1,13132,4
250707,Castellserà,384,0,52,48,0,484,0
080641,Castellterçol,736,0,0,320,1,1057,1
430424,Castellvell del Camp,484,0,308,40,0,832,0
080654,Castellví de la Marca,474,0,133,119,0,726,0
080667,Castellví de Rosanes,407,0,267,0,102,776,1
430430,"Catllar, el",895,0,1454,59,15,2423,0
250714,Cava,24,0,33,10,2,69,0
171899,"Cellera de Ter, la",677,0,48,107,0,832,1
170499,Celrà,949,0,14,185,0,1148,0
080673,Centelles,2056,0,254,302,0,2612,3
082687,Cercs,561,0,98,271,0,930,0
082665,Cerdanyola del Vallès,18278,0,985,2916,196,22375,9
080689,Cervelló,2050,0,498,134,13,2695,4
250729,Cervera,2710,0,379,759,4,3852,5
250735,Cervià de les Garrigues,328,0,165,70,6,569,0
170502,Cervià de Ter,240,0,48,67,1,356,0
170519,Cistella,82,0,7,61,2,152,0
250740,Ciutadilla,79,0,78,20,0,177,0
250753,Clariana de Cardener,43,0,7,10,3,63,0
250766,"Cogul, el",83,4,18,19,1,125,0
170545,Colera,221,0,442,173,1,837,0
250772,Coll de Nargó,222,0,135,7,0,364,0
080692,Collbató,925,0,668,76,2,1671,0
430458,Colldejou,58,0,33,5,0,96,0
080706,Collsuspina,94,0,91,1,1,187,0
170558,Colomers,75,0,44,10,8,137,0
251636,"Coma i la Pedra, la",99,0,434,44,0,577,3
251615,Conca de Dalt,162,0,0,191,0,353,0
430461,Conesa,59,0,90,17,0,166,0
430477,Constantí,1692,0,49,390,0,2131,0
080713,Copons,118,0,64,33,0,215,0
430483,Corbera d'Ebre,340,0,23,92,1,456,0
080728,Corbera de Llobregat,3285,0,1418,444,69,5216,6
250788,Corbins,386,1,36,36,2,461,0
170577,Corçà,386,0,87,3,0,476,0
080734,Cornellà de Llobregat,28891,0,440,3441,63,32835,10
170561,Cornellà del Terri,607,0,27,111,0,745,0
430496,Cornudella de Montsant,353,0,278,96,5,732,0
430509,Creixell,828,0,2372,145,12,3357,1
170583,Crespià,79,0,20,17,0,116,1
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",367,0,77,11,0,455,0
080749,Cubelles,2897,0,1845,176,2856,7774,2
250791,Cubells,123,0,113,41,0,277,1
430516,Cunit,2658,0,8748,27,65,11498,2
170600,Darnius,221,0,117,41,0,379,0
170617,Das,56,0,180,16,1,253,0
439018,Deltebre,3314,0,781,315,18,4428,2
080752,Dosrius,1043,0,363,86,3,1495,1
430537,Duesaigües,86,0,84,15,6,191,0
170622,"Escala, l'",2347,0,9670,1027,185,13229,0
080765,Esparreguera,6470,0,990,1406,80,8946,2
170638,Espinelves,69,0,31,6,0,106,1
250812,"Espluga Calba, l'",153,0,111,44,13,321,0
430542,"Espluga de Francolí, l'",1225,0,377,360,3,1965,2
080771,Esplugues de Llobregat,15575,0,503,1819,77,17974,10
170643,Espolla,133,0,87,20,0,240,0
170656,Esponellà,111,0,41,26,0,178,1
250827,Espot,114,0,69,0,0,183,0
080787,"Espunyola, l'",74,0,0,5,0,79,0
082541,"Esquirol, l'",716,0,237,71,0,1024,2
250886,Estamariu,43,0,12,9,0,64,0
080790,"Estany, l'",148,0,110,29,8,295,1
250851,Estaràs,63,0,3,4,0,70,0
250864,Esterri d'Àneu,247,0,442,12,12,713,1
250870,Esterri de Cardós,25,0,29,1,3,58,0
430555,Falset,895,0,190,173,0,1258,2
170059,"Far d'Empordà, el",141,0,5,26,0,172,0
250899,Farrera,45,0,0,4,0,49,0
430568,"Fatarella, la",416,0,83,78,3,580,1
430574,"Febró, la",25,0,26,9,0,60,1
081347,Figaró-Montmany,302,0,101,54,0,457,2
080804,Fígols,22,0,10,2,0,34,0
259084,Fígols i Alinyà,106,0,51,7,0,164,0
430580,"Figuera, la",52,0,116,10,1,179,0
170669,Figueres,12357,0,1524,3685,90,17656,8
430593,Figuerola del Camp,110,0,99,19,0,228,0
170675,Flaçà,325,0,45,79,3,452,0
430607,Flix,1419,0,38,559,0,2016,0
250925,"Floresta, la",74,0,37,31,0,142,0
080826,Fogars de la Selva,291,0,475,0,0,766,0
080811,Fogars de Montclús,117,0,25,0,0,142,0
170681,Foixà,114,0,59,7,5,185,0
080832,Folgueroles,584,0,109,22,0,715,0
250931,Fondarella,210,0,11,8,0,229,0
080847,Fonollosa,350,0,293,23,0,666,0
170694,Fontanals de Cerdanya,154,0,811,39,0,1004,0
170708,Fontanilles,46,0,39,1,7,93,0
170715,Fontcoberta,344,0,7,68,0,419,1
080850,Font-rubí,425,0,241,20,3,689,0
250946,Foradada,68,1,33,32,1,135,0
179026,Forallac,561,0,176,77,8,822,0
430614,Forès,26,0,58,10,0,94,0
170736,Fornells de la Selva,515,0,33,221,0,769,0
170741,Fortià,194,0,39,35,0,268,1
080863,"Franqueses del Vallès, les",4420,0,199,1137,0,5756,4
430629,Freginals,136,0,34,52,0,222,0
250962,"Fuliola, la",417,0,13,79,0,509,1
250978,Fulleda,39,0,44,14,0,97,0
080902,Gaià,47,0,42,16,0,105,0
430635,"Galera, la",286,0,2,139,0,427,0
080879,Gallifa,67,0,64,0,0,131,0
430640,Gandesa,897,0,91,353,13,1354,0
430653,Garcia,201,0,104,89,8,402,0
430666,"Garidells, els",57,0,49,4,0,110,0
080885,"Garriga, la",4180,0,406,805,10,5401,4
170754,Garrigàs,112,1,64,5,0,182,0
170767,Garrigoles,58,0,3,41,0,102,0
170773,Garriguella,270,0,23,58,0,351,1
080898,Gavà,13790,0,2833,1820,25,18468,9
250984,Gavet de la Conca,116,0,126,29,10,281,0
080919,Gelida,1661,0,636,340,17,2654,1
170789,Ger,151,0,164,7,1,323,0
259123,Gimenells i el Pla de la Font,354,0,23,54,1,432,0
430672,Ginestar,292,0,39,111,1,443,0
170792,Girona,27689,0,4972,7381,997,41039,44
080924,Gironella,1798,0,109,516,17,2440,1
