Codi,Literal,1,2,3,4,5,6 i més,Total llars
170464,Castellfollit de la Roca,100,114,77,65,17,9,382
80608,Castellfollit de Riubregós,17,13,13,11,13,5,72
80594,Castellfollit del Boix,34,28,24,24,11,11,132
80615,Castellgalí,66,84,89,62,22,17,340
80620,Castellnou de Bages,36,53,50,50,14,6,209
250680,Castellnou de Seana,67,58,55,43,15,15,253
170470,Castelló d'Empúries,706,696,389,401,109,70,2371
250693,Castelló de Farfanya,54,54,28,35,25,10,206
80636,Castellolí,32,29,31,29,16,8,145
170486,Castell-Platja d'Aro,962,750,511,428,134,64,2849
250707,Castellserà,80,95,78,78,36,17,384
80641,Castellterçol,174,205,148,140,47,22,736
430424,Castellvell del Camp,67,102,102,140,52,21,484
80654,Castellví de la Marca,82,111,114,93,44,30,474
80667,Castellví de Rosanes,59,102,99,115,26,6,407
430430,"Catllar, el",145,239,210,211,63,27,895
250714,Cava,10,6,4,2,1,1,24
171899,"Cellera de Ter, la",131,162,152,145,59,28,677
170499,Celrà,161,249,234,202,75,28,949
80673,Centelles,380,571,454,458,131,62,2056
82687,Cercs,163,160,113,94,24,7,561
82665,Cerdanyola del Vallès,2776,4850,4466,4567,1186,433,18278
80689,Cervelló,293,509,521,494,158,75,2050
250729,Cervera,507,719,618,558,202,106,2710
250735,Cervià de les Garrigues,86,90,69,44,30,9,328
170502,Cervià de Ter,52,59,53,54,18,4,240
170519,Cistella,16,18,18,19,7,4,82
250740,Ciutadilla,17,27,10,13,7,5,79
250753,Clariana de Cardener,7,8,5,8,9,6,43
250766,"Cogul, el",30,19,14,8,6,10,87
170545,Colera,78,70,30,31,6,6,221
250772,Coll de Nargó,60,56,46,39,12,9,222
80692,Collbató,219,254,210,165,56,21,925
430458,Colldejou,14,12,6,12,6,8,58
80706,Collsuspina,19,21,20,24,9,1,94
170558,Colomers,18,17,23,9,5,3,75
251636,"Coma i la Pedra, la",45,17,16,10,4,7,99
251615,Conca de Dalt,55,39,25,18,11,14,162
430461,Conesa,21,17,11,7,2,1,59
