Municipi,2010,2011,2012,2013,2014,2015,2016,2017,2018
Castellgalí,26662,19300.0,19375.0,20283.0,20175.0,20805.0,23610.0,24026.0,24026.0
Castellnou de Bages,19141,113855.0,106576.0,105894.0,107771.0,119199.0,126231.0,131001.0,131001.0
Castelló d'Empúries,116048,135490.0,125938.0,123389.0,125092.0,129161.0,136197.0,148349.0,148349.0
Castell-Platja d'Aro,144153,38522.0,36298.0,36307.0,37304.0,36978.0,38257.0,41345.0,41345.0
Castellterçol,40259,52682.0,51901.0,50263.0,55771.0,57292.0,54392.0,55424.0,55424.0
Castellvell del Camp,52903,25262.0,23141.0,23399.0,22445.0,22446.0,23711.0,24098.0,24098.0
Castellví de la Marca,26037,30449.0,30158.0,30496.0,32172.0,32837.0,33673.0,35554.0,35554.0
Castellví de Rosanes,30480,71187.0,69439.0,69839.0,72984.0,73084.0,79012.0,79317.0,79317.0
"Catllar, el",72567,30020.0,29248.0,29543.0,29358.0,30549.0,31881.0,32092.0,32092.0
"Cellera de Ter, la",30351,72140.0,73477.0,74660.0,80585.0,78912.0,79048.0,82417.0,82417.0
Celrà,72627,117498.0,113310.0,113231.0,116600.0,121037.0,123894.0,126543.0,126543.0
Centelles,116219,22929.0,21286.0,20246.0,21070.0,18626.0,18612.0,18788.0,18788.0
Cercs,21868,1032038.0,987444.0,993802.0,1037452.0,1057493.0,1070359.0,1082641.0,1082641.0
Cerdanyola del Vallès,1043488,162416.0,154856.0,155759.0,165744.0,179611.0,169156.0,173262.0,173262.0
Cervelló,161099,128202.0,118401.0,116842.0,117840.0,119343.0,118387.0,124669.0,124669.0
Cervera,131124,82071.0,78527.0,80818.0,88421.0,88953.0,95226.0,92612.0,92612.0
Collbató,81459,78603.0,73150.0,73218.0,75413.0,76125.0,77303.0,82482.0,82482.0
Constantí,79414,14005.0,14251.0,13834.0,12791.0,13283.0,13714.0,13392.0,13392.0
Corbera d'Ebre,13992,245666.0,233408.0,237530.0,241462.0,250979.0,264551.0,278930.0,278930.0
Corbera de Llobregat,246243,18764.0,19396.0,18615.0,20209.0,18941.0,19536.0,19770.0,19770.0
Corbins,18840,19521.0,18301.0,19528.0,18316.0,19272.0,19966.0,21108.0,21108.0
Corçà,19774,1386170.0,1314434.0,1330117.0,1374412.0,1383334.0,1395049.0,1433260.0,1433260.0
Cornellà de Llobregat,1367595,37220.0,35264.0,35191.0,36261.0,36461.0,37491.0,38705.0,38705.0
Cornellà del Terri,36434,50528.0,47554.0,47322.0,47659.0,48217.0,48563.0,51433.0,51433.0
Creixell,51494,19157.0,21572.0,21058.0,21568.0,19665.0,26799.0,21221.0,21221.0
