ine5,ine6,municipiNom,comarca,provincia,serveiTerritorial,risc,nivell,altura,cens,superficie,,ine5,Codi_ine_6_txt
25011,250117,Alcarràs,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Obligat,137,9372,114.65,,8020,80207
25011,250117,Alcarràs,Segrià,Lleida,Lleida,sísmic,Recomanat,137,9372,114.65,,17013,170139
25011,250117,Alcarràs,Segrià,Lleida,Lleida,químic,Recomanat,137,9372,114.65,,25046,250463
25011,250117,Alcarràs,Segrià,Lleida,Lleida,nevades,Recomanat,137,9372,114.65,,25048,250485
25011,250117,Alcarràs,Segrià,Lleida,Lleida,inundacions,Obligat,137,9372,114.65,,25170,251706
25012,250122,Alcoletge,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Obligat,213,3285,16.41,,17018,170182
25012,250122,Alcoletge,Segrià,Lleida,Lleida,sísmic,Recomanat,213,3285,16.41,,25047,250479
25012,250122,Alcoletge,Segrià,Lleida,Lleida,inundacions,Recomanat,213,3285,16.41,,25049,250498
25012,250122,Alcoletge,Segrià,Lleida,Lleida,nevades,Recomanat,213,3285,16.41,,43023,430234
43005,430056,Alcover,Alt Camp,Tarragona,Tarragona,transport de mercaderies perilloses,Recomanat,243,5073,46.28,,8021,80214
43005,430056,Alcover,Alt Camp,Tarragona,Tarragona,nevades,Recomanat,243,5073,46.28,,25050,250501
43005,430056,Alcover,Alt Camp,Tarragona,Tarragona,incendi forestal,Obligat,243,5073,46.28,,43024,430249
43005,430056,Alcover,Alt Camp,Tarragona,Tarragona,inundacions,Obligat,243,5073,46.28,,25051,250518
43005,430056,Alcover,Alt Camp,Tarragona,Tarragona,sísmic,Recomanat,243,5073,46.28,,25052,250523
43005,430056,Alcover,Alt Camp,Tarragona,Tarragona,químic,Obligat,243,5073,46.28,,25053,250539
43006,430069,Aldover,Baix Ebre,Tarragona,Terres de l'Ebre,sísmic,Recomanat,14,918,20.26,,43025,430252
43006,430069,Aldover,Baix Ebre,Tarragona,Terres de l'Ebre,inundacions,Obligat,14,918,20.26,,43026,430265
43006,430069,Aldover,Baix Ebre,Tarragona,Terres de l'Ebre,nevades,Recomanat,14,918,20.26,,8022,80229
43006,430069,Aldover,Baix Ebre,Tarragona,Terres de l'Ebre,contaminació Ebre (Flix),Recomanat,14,918,20.26,,17019,170195
43006,430069,Aldover,Baix Ebre,Tarragona,Terres de l'Ebre,incendi forestal,Obligat,14,918,20.26,,17020,170209
8003,80039,Alella,Maresme,Barcelona,Barcelona,incendi forestal,Obligat,90,9660,9.68,,17021,170216
8003,80039,Alella,Maresme,Barcelona,Barcelona,territori,Obligat,90,9660,9.68,,8023,80235
8003,80039,Alella,Maresme,Barcelona,Barcelona,sísmic,Obligat,90,9660,9.68,,25055,250557
8003,80039,Alella,Maresme,Barcelona,Barcelona,nevades,Recomanat,90,9660,9.68,,17234,172348
8003,80039,Alella,Maresme,Barcelona,Barcelona,inundacions,Obligat,90,9660,9.68,,43029,430290
43008,430081,Alfara de Carles,Baix Ebre,Tarragona,Terres de l'Ebre,incendi forestal,Obligat,334,378,64.06,,17023,170237
43008,430081,Alfara de Carles,Baix Ebre,Tarragona,Terres de l'Ebre,inundacions,Obligat,334,378,64.06,,17029,170293
43008,430081,Alfara de Carles,Baix Ebre,Tarragona,Terres de l'Ebre,sísmic,Recomanat,334,378,64.06,,17024,170242
43008,430081,Alfara de Carles,Baix Ebre,Tarragona,Terres de l'Ebre,nevades,Recomanat,334,378,64.06,,43030,430304
25013,250138,Alfarràs,Segrià,Lleida,Lleida,incendi forestal,Obligat,281,2976,11.51,,17025,170255
25013,250138,Alfarràs,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Recomanat,281,2976,11.51,,17026,170268
25013,250138,Alfarràs,Segrià,Lleida,Lleida,sísmic,Recomanat,281,2976,11.51,,8024,80240
25013,250138,Alfarràs,Segrià,Lleida,Lleida,nevades,Recomanat,281,2976,11.51,,25059,250595
25014,250143,Alfés,Segrià,Lleida,Lleida,aeroport,Obligat,236,326,32.09,,43032,430326
25014,250143,Alfés,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Obligat,236,326,32.09,,43033,430332
25014,250143,Alfés,Segrià,Lleida,Lleida,sísmic,Recomanat,236,326,32.09,,25056,250560
25014,250143,Alfés,Segrià,Lleida,Lleida,nevades,Recomanat,236,326,32.09,,43034,430347
43009,430094,Alforja,Baix Camp,Tarragona,Tarragona,nuclear,Obligat,374,1883,38.02,,17027,170274
43009,430094,Alforja,Baix Camp,Tarragona,Tarragona,inundacions,Obligat,374,1883,38.02,,17028,170280
43009,430094,Alforja,Baix Camp,Tarragona,Tarragona,sísmic,Recomanat,374,1883,38.02,,43035,430350
43009,430094,Alforja,Baix Camp,Tarragona,Tarragona,nevades,Recomanat,374,1883,38.02,,25060,250609
43009,430094,Alforja,Baix Camp,Tarragona,Tarragona,incendi forestal,Obligat,374,1883,38.02,,17031,170314
25015,250156,Algerri,Noguera,Lleida,Lleida,sísmic,Recomanat,345,422,54.12,,17030,170307
25015,250156,Algerri,Noguera,Lleida,Lleida,inundacions,Obligat,345,422,54.12,,25061,250616
25015,250156,Algerri,Noguera,Lleida,Lleida,nevades,Recomanat,345,422,54.12,,43036,430363
25015,250156,Algerri,Noguera,Lleida,Lleida,incendi forestal,Obligat,345,422,54.12,,8028,80288
25016,250169,Alguaire,Segrià,Lleida,Lleida,aeroport,Obligat,304,3002,50.26,,8029,80291
25016,250169,Alguaire,Segrià,Lleida,Lleida,sísmic,Recomanat,304,3002,50.26,,8030,80305
25016,250169,Alguaire,Segrià,Lleida,Lleida,inundacions,Recomanat,304,3002,50.26,,17032,170329
25016,250169,Alguaire,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Recomanat,304,3002,50.26,,8031,80312
25016,250169,Alguaire,Segrià,Lleida,Lleida,nevades,Recomanat,304,3002,50.26,,43037,430379
25017,250175,Alins,Pallars Sobirà,Lleida,Alt Pirineu i Aran,nevades,Obligat,1048,288,183.84,,8034,80348
25017,250175,Alins,Pallars Sobirà,Lleida,Alt Pirineu i Aran,allaus,Obligat,1048,288,183.84,,8032,80327
