Municipi,NomMun,Codi
Cunit,Cunit,430516
Darnius,Darnius,170600
Das,Das,170617
Deltebre,Deltebre,439018
Dosrius,Dosrius,80752
Duesaigües,Duesaigües,430537
"Bruc, el",el Bruc,80253
"Brull, el",el Brull,80266
"Catllar, el",el Catllar,430430
"Cogul, el",el Cogul,250766
"Far d'Empordà, el",el Far d'Empordà,170059
"Lloar, el",el Lloar,430727
"Masnou, el",el Masnou,81189
"Masroig, el",el Masroig,430825
"Milà, el",el Milà,430831
"Molar, el",el Molar,430859
"Montmell, el",el Montmell,430901
"Morell, el",el Morell,430957
"Palau d'Anglesola, el",el Palau d'Anglesola,251581
"Papiol, el",el Papiol,81580
"Perelló, el",el Perelló,431042
"Pinell de Brai, el",el Pinell de Brai,431068
"Pla de Santa Maria, el",el Pla de Santa Maria,431080
"Pla del Penedès, el",el Pla del Penedès,81640
"Poal, el",el Poal,251689
"Pont d'Armentera, el",el Pont d'Armentera,431135
"Pont de Bar, el",el Pont de Bar,250306
"Pont de Suert, el",el Pont de Suert,251734
"Pont de Vilomara i Rocafort, el",el Pont de Vilomara i Rocafort,81825
"Port de la Selva, el",el Port de la Selva,171404
"Prat de Llobregat, el",el Prat de Llobregat,81691
"Rourell, el",el Rourell,431346
"Soleràs, el",el Soleràs,252069
"Vendrell, el",el Vendrell,431634
"Vilosell, el",el Vilosell,252537
"Alamús, els",els Alamús,250045
"Garidells, els",els Garidells,430666
"Guiamets, els",els Guiamets,430705
"Hostalets de Pierola, els",els Hostalets de Pierola,81629
"Omellons, els",els Omellons,251538
"Omells de na Gaia, els",els Omells de na Gaia,251543
"Pallaresos, els",els Pallaresos,431009
"Plans de Sió, els",els Plans de Sió,259118
"Prats de Rei, els",els Prats de Rei,81705
"Torms, els",els Torms,252249
"Bòrdes, Es",Es Bòrdes,250576
Esparreguera,Esparreguera,80765
Espinelves,Espinelves,170638
Esplugues de Llobregat,Esplugues de Llobregat,80771
Espolla,Espolla,170643
Esponellà,Esponellà,170656
Espot,Espot,250827
Estamariu,Estamariu,250886
Estaràs,Estaràs,250851
Esterri d'Àneu,Esterri d'Àneu,250864
Esterri de Cardós,Esterri de Cardós,250870
Falset,Falset,430555
Farrera,Farrera,250899
Figaró-Montmany,Figaró-Montmany,81347
Fígols,Fígols,80804
Fígols i Alinyà,Fígols i Alinyà,259084
Figueres,Figueres,170669
Figuerola del Camp,Figuerola del Camp,430593
Flaçà,Flaçà,170675
Flix,Flix,430607
Fogars de la Selva,Fogars de la Selva,80826
Fogars de Montclús,Fogars de Montclús,80811
Foixà,Foixà,170681
Folgueroles,Folgueroles,80832
Fondarella,Fondarella,250931
Fonollosa,Fonollosa,80847
Font-rubí,Font-rubí,80850
Fontanals de Cerdanya,Fontanals de Cerdanya,170694
Fontanilles,Fontanilles,170708
Fontcoberta,Fontcoberta,170715
Foradada,Foradada,250946
Forallac,Forallac,179026
Forès,Forès,430614
Fornells de la Selva,Fornells de la Selva,170736
Fortià,Fortià,170741
Freginals,Freginals,430629
Fulleda,Fulleda,250978
Gaià,Gaià,80902
Gallifa,Gallifa,80879
Gandesa,Gandesa,430640
Garcia,Garcia,430653
Garrigàs,Garrigàs,170754
Garrigoles,Garrigoles,170767
Garriguella,Garriguella,170773
Gavà,Gavà,80898
Gavet de la Conca,Gavet de la Conca,250984
Gelida,Gelida,80919
Ger,Ger,170789
Gimenells i el Pla de la Font,Gimenells i el Pla de la Font,259123
Ginestar,Ginestar,430672
Girona,Girona,170792
Gironella,Gironella,80924
Gisclareny,Gisclareny,80930
Godall,Godall,430688
Golmés,Golmés,250997
Gombrèn,Gombrèn,170806
Gósol,Gósol,251001
Granera,Granera,80958
Granollers,Granollers,80961
Granyanella,Granyanella,251039
Granyena de les Garrigues,Granyena de les Garrigues,251057
Granyena de Segarra,Granyena de Segarra,251044
Gratallops,Gratallops,430691
Gualba,Gualba,80977
Gualta,Gualta,170813
Guardiola de Berguedà,Guardiola de Berguedà,80996
Guils de Cerdanya,Guils de Cerdanya,170828
Guimerà,Guimerà,251095
Guissona,Guissona,251109
Guixers,Guixers,251116
Gurb,Gurb,81000
Horta de Sant Joan,Horta de Sant Joan,430712
Hostalric,Hostalric,170834
Igualada,Igualada,81022
Isona i Conca Dellà,Isona i Conca Dellà,251155
Isòvol,Isòvol,170849
Ivars d'Urgell,Ivars d'Urgell,251137
Ivars de Noguera,Ivars de Noguera,251121
Ivorra,Ivorra,251142
Jafre,Jafre,170852
Jorba,Jorba,81038
Josa i Tuixén,Josa i Tuixén,259101
Juià,Juià,170871
Juncosa,Juncosa,251180
Juneda,Juneda,251193
"Albagés, l'",l'Albagés,250061
"Albi, l'",l'Albi,250096
"Albiol, l'",l'Albiol,430038
"Aldea, l'",l'Aldea,439044
"Aleixar, l'",l'Aleixar,430075
"Ametlla de Mar, l'",l'Ametlla de Mar,430136
"Ametlla del Vallès, l'",l'Ametlla del Vallès,80057
"Ampolla, l'",l'Ampolla,439060
"Arboç, l'",l'Arboç,430167
"Argentera, l'",l'Argentera,430173
"Armentera, l'",l'Armentera,170118
"Escala, l'",l'Escala,170622
"Espluga Calba, l'",l'Espluga Calba,250812
"Espluga de Francolí, l'",l'Espluga de Francolí,430542
"Espunyola, l'",l'Espunyola,80787
"Esquirol, l'",l'Esquirol,82541
"Estany, l'",l'Estany,80790
"Hospitalet de Llobregat, l'",l'Hospitalet de Llobregat,81017
"Baronia de Rialb, la",la Baronia de Rialb,250426
"Bisbal d'Empordà, la",la Bisbal d'Empordà,170221
"Bisbal de Falset, la",la Bisbal de Falset,430271
"Bisbal del Penedès, la",la Bisbal del Penedès,430287
"Canonja, la",la Canonja,439076
"Cellera de Ter, la",la Cellera de Ter,171899
"Coma i la Pedra, la",la Coma i la Pedra,251636
"Fatarella, la",la Fatarella,430568
"Febró, la",la Febró,430574
"Figuera, la",la Figuera,430580
"Floresta, la",la Floresta,250925
"Fuliola, la",la Fuliola,250962
"Galera, la",la Galera,430635
"Garriga, la",la Garriga,80885
"Granada, la",la Granada,80945
"Granadella, la",la Granadella,251018
"Granja d'Escarp, la",la Granja d'Escarp,251023
"Guingueta d'Àneu, la",la Guingueta d'Àneu,259031
"Jonquera, la",la Jonquera,170865
"Llacuna, la",la Llacuna,81043
"Llagosta, la",la Llagosta,81056
"Masó, la",la Masó,430803
"Molsosa, la",la Molsosa,251364
"Morera de Montsant, la",la Morera de Montsant,430960
"Nou de Berguedà, la",la Nou de Berguedà,81424
"Nou de Gaià, la",la Nou de Gaià,430976
"Palma d'Ebre, la",la Palma d'Ebre,430995
"Palma de Cervelló, la",la Palma de Cervelló,89058
"Pera, la",la Pera,171306
"Pobla de Cérvoles, la",la Pobla de Cérvoles,251692
"Pobla de Claramunt, la",la Pobla de Claramunt,81653
"Pobla de Lillet, la",la Pobla de Lillet,81666
"Pobla de Mafumet, la",la Pobla de Mafumet,431093
"Pobla de Massaluca, la",la Pobla de Massaluca,431107
"Pobla de Montornès, la",la Pobla de Montornès,431114
"Pobla de Segur, la",la Pobla de Segur,251713
"Portella, la",la Portella,251749
"Quar, la",la Quar,81770
"Riba, la",la Riba,431248
"Riera de Gaià, la",la Riera de Gaià,431264
"Roca del Vallès, la",la Roca del Vallès,81810
"Secuita, la",la Secuita,431444
"Selva de Mar, la",la Selva de Mar,171886
"Selva del Camp, la",la Selva del Camp,431457
"Sénia, la",la Sénia,430445
"Sentiu de Sió, la",la Sentiu de Sió,250352
"Seu d'Urgell, la",la Seu d'Urgell,252038
"Tallada d'Empordà, la",la Tallada d'Empordà,171959
"Torre de Cabdella, la",la Torre de Cabdella,252271
"Torre de Claramunt, la",la Torre de Claramunt,82861
"Torre de Fontaubella, la",la Torre de Fontaubella,431515
"Torre de l'Espanyol, la",la Torre de l'Espanyol,431520
"Vajol, la",la Vajol,170144
"Vall d'en Bas, la",la Vall d'en Bas,172076
"Vall de Bianya, la",la Vall de Bianya,172082
"Vall de Boí, la",la Vall de Boí,250432
"Vansa i Fórnols, la",la Vansa i Fórnols,259097
"Vilella Alta, la",la Vilella Alta,431732
"Vilella Baixa, la",la Vilella Baixa,431747
Les,Les,251214
"Avellanes i Santa Linya, les",les Avellanes i Santa Linya,250371
"Borges Blanques, les",les Borges Blanques,250582
"Borges del Camp, les",les Borges del Camp,430311
"Cabanyes, les",les Cabanyes,80272
"Franqueses del Vallès, les",les Franqueses del Vallès,80863
"Llosses, les",les Llosses,170963
"Masies de Roda, les",les Masies de Roda,81167
"Masies de Voltregà, les",les Masies de Voltregà,81173
"Oluges, les",les Oluges,251522
"Piles, les",les Piles,431055
"Planes d'Hostoles, les",les Planes d'Hostoles,171334
"Preses, les",les Preses,171390
"Valls d'Aguilar, les",les Valls d'Aguilar,259062
"Valls de Valira, les",les Valls de Valira,252398
Linyola,Linyola,251229
Lladó,Lladó,170887
Lladorre,Lladorre,251235
Lladurs,Lladurs,251240
Llagostera,Llagostera,170890
Llambilles,Llambilles,170904
Llanars,Llanars,170911
Llançà,Llançà,170926
Llardecans,Llardecans,251253
Llavorsí,Llavorsí,251266
Lleida,Lleida,251207
Llers,Llers,170932
Lles de Cerdanya,Lles de Cerdanya,251272
Lliçà d'Amunt,Lliçà d'Amunt,81075
Lliçà de Vall,Lliçà de Vall,81081
Llimiana,Llimiana,251288
Llinars del Vallès,Llinars del Vallès,81069
Llívia,Llívia,170947
Llobera,Llobera,251291
Llorac,Llorac,430733
Llorenç del Penedès,Llorenç del Penedès,430748
Lloret de Mar,Lloret de Mar,170950
Lluçà,Lluçà,81094
Maçanet de Cabrenys,Maçanet de Cabrenys,171024
Maçanet de la Selva,Maçanet de la Selva,171030
Madremanya,Madremanya,170979
Maià de Montcal,Maià de Montcal,170985
Maials,Maials,251333
Maldà,Maldà,251305
Malgrat de Mar,Malgrat de Mar,81108
Malla,Malla,81115
Manlleu,Manlleu,81120
Manresa,Manresa,81136
Marçà,Marçà,430764
Margalef,Margalef,430751
Marganell,Marganell,82423
Martorell,Martorell,81141
Martorelles,Martorelles,81154
Mas de Barberans,Mas de Barberans,430770
Masarac,Masarac,171002
Masdenverge,Masdenverge,430786
Masllorenç,Masllorenç,430799
Maspujols,Maspujols,430810
Masquefa,Masquefa,81192
Massalcoreig,Massalcoreig,251312
Massanes,Massanes,171019
Massoteres,Massoteres,251327
Matadepera,Matadepera,81206
Mataró,Mataró,81213
Medinyà,Medinyà,171045
Mediona,Mediona,81228
Menàrguens,Menàrguens,251348
Meranges,Meranges,170998
Mieres,Mieres,171058
Miralcamp,Miralcamp,251351
Miravet,Miravet,430846
Moià,Moià,81385
Molins de Rei,Molins de Rei,81234
Mollerussa,Mollerussa,251370
Mollet de Peralada,Mollet de Peralada,171061
Mollet del Vallès,Mollet del Vallès,81249
Molló,Molló,171077
Monistrol de Calders,Monistrol de Calders,81287
Monistrol de Montserrat,Monistrol de Montserrat,81271
Mont-ral,Mont-ral,430918
Mont-ras,Mont-ras,171100
Mont-roig del Camp,Mont-roig del Camp,430923
Montagut i Oix,Montagut i Oix,171096
Montblanc,Montblanc,430862
Montbrió del Camp,Montbrió del Camp,430884
Montcada i Reixac,Montcada i Reixac,81252
Montclar,Montclar,81304
Montellà i Martinet,Montellà i Martinet,251399
Montesquiu,Montesquiu,81311
Montferrer i Castellbò,Montferrer i Castellbò,251403
Montferri,Montferri,430897
Montgai,Montgai,251386
Montgat,Montgat,81265
Montmajor,Montmajor,81326
Montmaneu,Montmaneu,81332
Montmeló,Montmeló,81350
Montoliu de Lleida,Montoliu de Lleida,251425
Montoliu de Segarra,Montoliu de Segarra,251410
Montornès de Segarra,Montornès de Segarra,251431
Montornès del Vallès,Montornès del Vallès,81363
Montseny,Montseny,81379
Móra d'Ebre,Móra d'Ebre,430939
Móra la Nova,Móra la Nova,430944
Muntanyola,Muntanyola,81290
Mura,Mura,81398
Nalec,Nalec,251459
Naut Aran,Naut Aran,250254
Navarcles,Navarcles,81402
Navàs,Navàs,81419
Navata,Navata,171117
Navès,Navès,251462
Nulles,Nulles,430982
Odèn,Odèn,251484
Òdena,Òdena,81430
Ogassa,Ogassa,171122
Olèrdola,Olèrdola,81458
Olesa de Bonesvalls,Olesa de Bonesvalls,81461
Olesa de Montserrat,Olesa de Montserrat,81477
Oliana,Oliana,251497
Oliola,Oliola,251500
Olius,Olius,251517
Olivella,Olivella,81483
Olost,Olost,81496
Olot,Olot,171143
Olvan,Olvan,81445
Ordis,Ordis,171156
Organyà,Organyà,251556
Orís,Orís,81509
Oristà,Oristà,81516
Orpí,Orpí,81521
Òrrius,Òrrius,81537
Os de Balaguer,Os de Balaguer,251569
Osor,Osor,171169
Ossó de Sió,Ossó de Sió,251575
Pacs del Penedès,Pacs del Penedès,81542
Palafolls,Palafolls,81555
Palafrugell,Palafrugell,171175
Palamós,Palamós,171181
Palau de Santa Eulàlia,Palau de Santa Eulàlia,171194
Palau-sator,Palau-sator,171215
Palau-saverdera,Palau-saverdera,171208
Palau-solità i Plegamans,Palau-solità i Plegamans,81568
Pallejà,Pallejà,81574
Palol de Revardit,Palol de Revardit,171236
Pals,Pals,171241
Pardines,Pardines,171254
Parets del Vallès,Parets del Vallès,81593
Parlavà,Parlavà,171267
Passanant i Belltall,Passanant i Belltall,431016
Pau,Pau,171289
Paüls,Paüls,431021
Pedret i Marzà,Pedret i Marzà,171292
Penelles,Penelles,251641
Perafita,Perafita,81607
Perafort,Perafort,431037
Peralada,Peralada,171328
Peramola,Peramola,251654
Piera,Piera,81614
Pineda de Mar,Pineda de Mar,81635
Pinell de Solsonès,Pinell de Solsonès,251667
Pinós,Pinós,251673
Pira,Pira,431074
Planoles,Planoles,171349
Poboleda,Poboleda,431129
Polinyà,Polinyà,81672
Pont de Molins,Pont de Molins,171352
Pontils,Pontils,431418
Pontons,Pontons,81688
Pontós,Pontós,171365
Ponts,Ponts,251728
Porqueres,Porqueres,171371
Porrera,Porrera,431140
Portbou,Portbou,171387
Pradell de la Teixeta,Pradell de la Teixeta,431153
Prades,Prades,431166
Prat de Comte,Prat de Comte,431172
Pratdip,Pratdip,431188
Prats de Lluçanès,Prats de Lluçanès,81712
Prats i Sansor,Prats i Sansor,251752
Preixana,Preixana,251765
Preixens,Preixens,251771
Premià de Dalt,Premià de Dalt,82303
Premià de Mar,Premià de Mar,81727
Prullans,Prullans,251790
Puig-reig,Puig-reig,81751
Puigcerdà,Puigcerdà,171411
Puigdàlber,Puigdàlber,81748
Puiggròs,Puiggròs,251804
Puigpelat,Puigpelat,431191
Puigverd d'Agramunt,Puigverd d'Agramunt,251811
Puigverd de Lleida,Puigverd de Lleida,251826
Pujalt,Pujalt,81764
Quart,Quart,171426
Queralbs,Queralbs,170433
Querol,Querol,431205
Rabós,Rabós,171432
Rajadell,Rajadell,81786
Rasquera,Rasquera,431212
Regencós,Regencós,171447
Rellinars,Rellinars,81799
Renau,Renau,431227
Reus,Reus,431233
Rialp,Rialp,251832
Riba-roja d'Ebre,Riba-roja d'Ebre,431251
Ribera d'Ondara,Ribera d'Ondara,259059
Ribera d'Urgellet,Ribera d'Urgellet,251850
Ribes de Freser,Ribes de Freser,171450
Riells i Viabrea,Riells i Viabrea,171463
Riner,Riner,251863
Ripoll,Ripoll,171479
Ripollet,Ripollet,81803
Riu de Cerdanya,Riu de Cerdanya,259139
Riudarenes,Riudarenes,171485
Riudaura,Riudaura,171498
Riudecanyes,Riudecanyes,431270
Riudecols,Riudecols,431286
Riudellots de la Selva,Riudellots de la Selva,171501
Riudoms,Riudoms,431299
Riumors,Riumors,171518
Rocafort de Queralt,Rocafort de Queralt,431303
Roda de Berà,Roda de Berà,431310
Roda de Ter,Roda de Ter,81831
Rodonyà,Rodonyà,431325
Roquetes,Roquetes,431331
Roses,Roses,171523
Rosselló,Rosselló,251898
Rubí,Rubí,81846
Rubió,Rubió,81859
Rupià,Rupià,171539
Rupit i Pruit,Rupit i Pruit,89019
Sabadell,Sabadell,81878
Sagàs,Sagàs,81884
Salàs de Pallars,Salàs de Pallars,251902
Saldes,Saldes,81901
Sales de Llierca,Sales de Llierca,171544
Sallent,Sallent,81918
Salomó,Salomó,431359
Salou,Salou,439057
Salt,Salt,171557
Sanaüja,Sanaüja,251919
Sant Adrià de Besòs,Sant Adrià de Besòs,81944
Sant Agustí de Lluçanès,Sant Agustí de Lluçanès,81957
Sant Andreu de la Barca,Sant Andreu de la Barca,81960
Sant Andreu de Llavaneres,Sant Andreu de Llavaneres,81976
Sant Andreu Salou,Sant Andreu Salou,171576
Sant Aniol de Finestres,Sant Aniol de Finestres,171833
Sant Antoni de Vilamajor,Sant Antoni de Vilamajor,81982
Sant Bartomeu del Grau,Sant Bartomeu del Grau,81995
Sant Boi de Llobregat,Sant Boi de Llobregat,82009
Sant Boi de Lluçanès,Sant Boi de Lluçanès,82016
Sant Carles de la Ràpita,Sant Carles de la Ràpita,431362
Sant Cebrià de Vallalta,Sant Cebrià de Vallalta,82037
Sant Celoni,Sant Celoni,82021
Sant Climent de Llobregat,Sant Climent de Llobregat,82042
Sant Climent Sescebes,Sant Climent Sescebes,171582
Sant Cugat del Vallès,Sant Cugat del Vallès,82055
Sant Cugat Sesgarrigues,Sant Cugat Sesgarrigues,82068
Sant Esteve de la Sarga,Sant Esteve de la Sarga,251961
Sant Esteve de Palautordera,Sant Esteve de Palautordera,82074
Sant Esteve Sesrovires,Sant Esteve Sesrovires,82080
Sant Feliu de Buixalleu,Sant Feliu de Buixalleu,171595
Sant Feliu de Codines,Sant Feliu de Codines,82107
Sant Feliu de Guíxols,Sant Feliu de Guíxols,171609
Sant Feliu de Llobregat,Sant Feliu de Llobregat,82114
Sant Feliu de Pallerols,Sant Feliu de Pallerols,171616
Sant Feliu Sasserra,Sant Feliu Sasserra,82129
Sant Ferriol,Sant Ferriol,171621
Sant Fost de Campsentelles,Sant Fost de Campsentelles,82093
Sant Fruitós de Bages,Sant Fruitós de Bages,82135
Sant Gregori,Sant Gregori,171637
Sant Guim de Freixenet,Sant Guim de Freixenet,251924
Sant Guim de la Plana,Sant Guim de la Plana,251977
Sant Hilari Sacalm,Sant Hilari Sacalm,171642
Sant Hipòlit de Voltregà,Sant Hipòlit de Voltregà,82153
Sant Iscle de Vallalta,Sant Iscle de Vallalta,81939
Sant Jaume d'Enveja,Sant Jaume d'Enveja,439023
Sant Jaume de Frontanyà,Sant Jaume de Frontanyà,82166
Sant Jaume de Llierca,Sant Jaume de Llierca,171655
Sant Jaume dels Domenys,Sant Jaume dels Domenys,431378
Sant Joan de les Abadesses,Sant Joan de les Abadesses,171674
Sant Joan de Mollet,Sant Joan de Mollet,171680
Sant Joan de Vilatorrada,Sant Joan de Vilatorrada,82188
Sant Joan Despí,Sant Joan Despí,82172
Sant Joan les Fonts,Sant Joan les Fonts,171851
Sant Jordi Desvalls,Sant Jordi Desvalls,171668
Sant Julià de Cerdanyola,Sant Julià de Cerdanyola,89030
Sant Julià de Ramis,Sant Julià de Ramis,171693
Sant Julià de Vilatorta,Sant Julià de Vilatorta,82205
Sant Julià del Llor i Bonmatí,Sant Julià del Llor i Bonmatí,179032
Sant Just Desvern,Sant Just Desvern,82212
Sant Llorenç d'Hortons,Sant Llorenç d'Hortons,82227
Sant Llorenç de la Muga,Sant Llorenç de la Muga,171714
Sant Llorenç de Morunys,Sant Llorenç de Morunys,251930
Sant Llorenç Savall,Sant Llorenç Savall,82233
Sant Martí d'Albars,Sant Martí d'Albars,82251
Sant Martí de Centelles,Sant Martí de Centelles,82248
Sant Martí de Llémena,Sant Martí de Llémena,171729
Sant Martí de Riucorb,Sant Martí de Riucorb,259025
Sant Martí de Tous,Sant Martí de Tous,82264
Sant Martí Sarroca,Sant Martí Sarroca,82270
Sant Martí Sesgueioles,Sant Martí Sesgueioles,82286
Sant Martí Vell,Sant Martí Vell,171735
Sant Mateu de Bages,Sant Mateu de Bages,82299
Sant Miquel de Campmajor,Sant Miquel de Campmajor,171740
Sant Miquel de Fluvià,Sant Miquel de Fluvià,171753
Sant Mori,Sant Mori,171766
