,Municipi,Codi,Any,Total,Homes,Dones,0-14 Anys,15-64 Anys,64 o més,Índex d'envelliment,Índex de sobreenvelliment,Saldo migratori total,Immigracions,Emigracions,Aturats,Poblacio activa,Renda,Demanda,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Habitatges familiars principals,De lloguer,De propietat,Serveis,Solar,Zones verdes,Equipament,Connectivitat,Densitat comercial,Hab Lloguer
64,Avinyonet del Penedès,80137,2000,1167.0,0.5304198800342759,0.4695801199657241,0.10711225364181662,0.6589545844044559,0.23393316195372751,,,,,,,,,,,,,,,,,,,,,,0.0
65,Badalona,80155,2000,208944.0,0.49354851060571253,0.5064514893942874,0.1399418025882533,0.7205567041886821,0.13950149322306454,99.0,9.0,,,,,,,,,,,,,,,,,,,,1.0
66,Badia del Vallès,89045,2000,15533.0,0.503766175239812,0.496233824760188,0.1407326337475053,0.7547157664327561,0.10455159981973862,,,,,,,,,,,,,,,,,,,,,,0.0
67,Bagà,80168,2000,2078.0,0.48315688161693937,0.5168431183830606,0.13185755534167468,0.6366698748796921,0.2314725697786333,,,,,,,,,,,,,,,,,,,,,,0.0
68,Baix Pallars,250390,2000,363.0,0.5702479338842975,0.4297520661157025,0.049586776859504134,0.6225895316804407,0.3278236914600551,,,,,,,,,,,,,,,,,,,,,,0.0
69,Balaguer,250404,2000,13275.0,0.4903201506591337,0.5096798493408663,0.14365348399246705,0.6565725047080979,0.19977401129943503,,,,,,,,,,,,,,,,,,,,,,0.0
70,Balenyà,80174,2000,3125.0,0.4992,0.5008,0.15808,0.69856,0.14336,,,,,,,,,,,,,,,,,,,,,,0.0
71,Balsareny,80180,2000,3230.0,0.49226006191950467,0.5077399380804953,0.12755417956656348,0.6560371517027864,0.21640866873065015,,,,,,,,,,,,,,,,,,,,,,0.0
72,Banyeres del Penedès,430206,2000,1694.0,0.5224321133412042,0.47756788665879574,0.12219598583234947,0.7467532467532467,0.13105076741440377,,,,,,,,,,,,,,,,,,,,,,0.0
73,Banyoles,170157,2000,15084.0,0.4912490055688146,0.5087509944311853,0.16732962079024133,0.6459162025987801,0.1867541766109785,,,,,,,,,,,,,,,,,,,,,,0.0
74,Barbens,250411,2000,787.0,0.5120711562897078,0.48792884371029227,0.10165184243964422,0.6086404066073697,0.289707750952986,,,,,,,,,,,,,,,,,,,,,,0.0
75,Barberà de la Conca,430213,2000,409.0,0.4938875305623472,0.5061124694376528,0.10757946210268948,0.6063569682151589,0.2860635696821516,,,,,,,,,,,,,,,,,,,,,,0.0
76,Barberà del Vallès,82520,2000,26681.0,0.5019676923653537,0.4980323076346464,0.16427420261609385,0.7405644466099471,0.095161350773959,,,,,,,,,,,,,,,,,,,,,,0.0
77,Barcelona,80193,2000,1496266.0,0.46759399732400525,0.5324060026759948,0.11419159427534943,0.6647588062550376,0.22104959946961303,190.0,11.0,,,,,,,,,,,,,,,,,,,,1.0
78,Bàscara,170160,2000,822.0,0.51338199513382,0.48661800486618007,0.10462287104622871,0.683698296836983,0.2116788321167883,,,,,,,,,,,,,,,,,,,,,,0.0
79,Bassella,250447,2000,308.0,0.5064935064935064,0.4935064935064935,0.12337662337662338,0.5422077922077922,0.3344155844155844,,,,,,,,,,,,,,,,,,,,,,0.0
80,Batea,430228,2000,1964.0,0.5025458248472505,0.4974541751527495,0.1109979633401222,0.6109979633401222,0.2780040733197556,,,,,,,,,,,,,,,,,,,,,,0.0
81,Bausen,250450,2000,62.0,0.5806451612903226,0.41935483870967744,0.03225806451612903,0.4838709677419355,0.4838709677419355,,,,,,,,,,,,,,,,,,,,,,0.0
82,Begues,80207,2000,4189.0,0.5032227261876343,0.4967772738123657,0.20148006684172834,0.7025543089042731,0.09596562425399857,,,,,,,,,,,,,,,,,,,,,,0.0
83,Begur,170139,2000,3411.0,0.5068894752272061,0.4931105247727939,0.15127528583992964,0.6995016124303723,0.14922310172969805,,,,,,,,,,,,,,,,,,,,,,0.0
84,Belianes,250463,2000,550.0,0.4727272727272727,0.5272727272727272,0.10181818181818182,0.5672727272727273,0.33090909090909093,,,,,,,,,,,,,,,,,,,,,,0.0
85,Bell-lloc d'Urgell,250485,2000,2124.0,0.4943502824858757,0.5056497175141242,0.1327683615819209,0.6370056497175142,0.23022598870056496,,,,,,,,,,,,,,,,,,,,,,0.0
86,Bellaguarda,251706,2000,354.0,0.4915254237288136,0.5084745762711864,0.12146892655367232,0.5310734463276836,0.3474576271186441,,,,,,,,,,,,,,,,,,,,,,0.0
87,Bellcaire d'Empordà,170182,2000,535.0,0.5121495327102804,0.48785046728971965,0.1233644859813084,0.6411214953271028,0.23551401869158878,,,,,,,,,,,,,,,,,,,,,,0.0
88,Bellcaire d'Urgell,250479,2000,1307.0,0.4789594491201224,0.5210405508798776,0.09410864575363427,0.6159143075745983,0.2899770466717674,,,,,,,,,,,,,,,,,,,,,,0.0
89,Bellmunt d'Urgell,250498,2000,231.0,0.48917748917748916,0.5108225108225108,0.12121212121212122,0.5974025974025974,0.2813852813852814,,,,,,,,,,,,,,,,,,,,,,0.0
90,Bellmunt del Priorat,430234,2000,310.0,0.4870967741935484,0.5129032258064516,0.06774193548387097,0.5483870967741935,0.38387096774193546,,,,,,,,,,,,,,,,,,,,,,0.0
91,Bellprat,80214,2000,95.0,0.5789473684210527,0.42105263157894735,0.10526315789473684,0.6526315789473685,0.24210526315789474,,,,,,,,,,,,,,,,,,,,,,0.0
92,Bellpuig,250501,2000,4041.0,0.4971541697599604,0.5028458302400396,0.12942341004701807,0.6674090571640683,0.20316753278891364,,,,,,,,,,,,,,,,,,,,,,0.0
93,Bellvei,430249,2000,1368.0,0.5277777777777778,0.4722222222222222,0.1600877192982456,0.679093567251462,0.1608187134502924,,,,,,,,,,,,,,,,,,,,,,0.0
94,Bellver de Cerdanya,250518,2000,1614.0,0.533457249070632,0.46654275092936803,0.10966542750929369,0.6759603469640645,0.21437422552664187,,,,,,,,,,,,,,,,,,,,,,0.0
