Municipi,Codi_ine_6_txt,Comarca,Àmbit territorial,Any,Població,Establiments,Superfície de venda (m2),Densitat comercial (est. / 1.000 hab.),Densitat comercial (m2 / 1.000 hab.),Superfície mitjana per establiment (m2),Percentatge d'establiments dintre de TUC,Percentatge de superfície de venda dintre de TUC,Percentatge d'establiments,Percentatge de superfície de venda,Altres,Automoció i carburants,Comerç mixt,Equipament llar,Equipament persona,Lleure i cultura,Quotidià alimentari (exc. vending),Quotidià no alimentari,Superfície Altres,Superfície Automoció i carburants,Superfície Comerç mixt,Superfície Equipament llar,Superfície Equipament persona,Superfície Lleure i cultura,Superfície Quotidià alimentari (exc. vending),Superfície Quotidià no alimentari
Manresa,81136,Bages,Comarques Centrals,2018,76250,1175,216058,15.41,2834,184,0.9066,0.7004,0.011602,0.01473,78,117,45,204,240,93,330,68,9204,48082,29341,37449,30916,14230,40052,6784
Marçà,430764,Priorat,Camp de Tarragona,2018,599,7,278,11.69,464,40,,,0.000069,0.000019,,,,,,,,,,,,,,,,
Margalef,430751,Priorat,Camp de Tarragona,2018,94,1,73,10.64,777,73,,,0.00001,0.000005,,,,,,,,,,,,,,,,
Marganell,82423,Bages,Comarques Centrals,2018,258,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Martorell,81141,Baix Llobregat,Metropolità,2018,27850,380,70634,13.64,2536,186,0.7855,0.5749,0.003752,0.004815,26,29,20,85,64,31,106,19,2872,8497,12800,18741,6663,3417,15910,1734
Martorelles,81154,Vallès Oriental,Metropolità,2018,4794,46,8350,9.6,1742,182,0.9111,0.7291,0.000454,0.000569,,,,,,,,,,,,,,,,
Mas de Barberans,430770,Montsià,Terres de l'Ebre,2018,577,10,373,17.33,646,37,,,0.000099,0.000025,,,,,,,,,,,,,,,,
Masarac,171002,Alt Empordà,Comarques Gironines,2018,272,3,291,11.03,1070,97,,,0.00003,0.00002,,,,,,,,,,,,,,,,
Masdenverge,430786,Montsià,Terres de l'Ebre,2018,1066,11,974,10.32,914,89,,,0.000109,0.000066,,,,,,,,,,,,,,,,
"Masies de Roda, les",81167,Osona,Comarques Centrals,2018,704,5,1028,7.1,1460,206,,,0.000049,0.00007,,,,,,,,,,,,,,,,
"Masies de Voltregà, les",81173,Osona,Comarques Centrals,2018,3124,27,3498,8.64,1120,130,,,0.000267,0.000238,,,,,,,,,,,,,,,,
Masllorenç,430799,Baix Penedès,Penedès,2018,498,5,484,10.04,972,97,,,0.000049,0.000033,,,,,,,,,,,,,,,,
"Masnou, el",81189,Maresme,Metropolità,2018,23340,281,32594,12.04,1396,116,0.6095,0.4291,0.002775,0.002222,16,27,8,51,40,26,100,13,1343,4943,7242,5687,2651,1681,8045,1002
"Masó, la",430803,Alt Camp,Camp de Tarragona,2018,276,1,1,3.62,4,1,,,0.00001,0,,,,,,,,,,,,,,,,
Maspujols,430810,Baix Camp,Camp de Tarragona,2018,799,4,192,5.01,240,48,,,0.000039,0.000013,,,,,,,,,,,,,,,,
Masquefa,81192,Anoia,Penedès,2018,8641,86,11339,9.95,1312,132,0.7882,0.6849,0.000849,0.000773,,,,,,,,,,,,,,,,
"Masroig, el",430825,Priorat,Camp de Tarragona,2018,498,5,267,10.04,536,53,,,0.000049,0.000018,,,,,,,,,,,,,,,,
Massalcoreig,251312,Segrià,Ponent,2018,585,5,270,8.55,462,54,,,0.000049,0.000018,,,,,,,,,,,,,,,,
Massanes,171019,Selva,Comarques Gironines,2018,730,2,146,2.74,200,73,,,0.00002,0.00001,,,,,,,,,,,,,,,,
Massoteres,251327,Segarra,Ponent,2018,232,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Matadepera,81206,Vallès Occidental,Metropolità,2018,9291,62,10200,6.67,1098,165,0.5593,0.2896,0.000612,0.000695,,,,,,,,,,,,,,,,
